문제번호	보기1	보기2	보기3	보기4
11	제목은 제목만 보고도 쉽게 문서의 성격과 내용을 알 수 있도록 작성한다. 	행정효율과 협업 촉진에 관한 규정에 의해 공문서는 한글 맞춤법에 따라 세로로 작성한다. 	목적이 있는 사외문서라 하더라도 인사말부터 시작하는 것이 기본적인 예의이다. 	기안문 작성 시 하나의 항목만 있을 경우 항목 구분을 할 필요가 없으므로 번호를 기재하지 않는다. 
12	문서의 내용과 혼돈되지 않도록 글자 색과 동일한 색으로 표기하도록 한다. 	한번 교정된 부분도 다시 교정할 수 있다. 	교정하고자 하는 글자를 명확하게 지적해야 한다. 	여러 교정부호를 동일한 행에 사용할 때 교정부호가 겹치지 않도록 한다. 
13	문서관리는 문서를 산출한 업무와는 독립적으로 이루어지는 것이 바람직하다. 	문서관리 시 조직의 업무 활동 분석이 선행되는 것이 좋다. 	문서관리자는 조직의 업무를 분석함으로써 업무와 문서 사이의 연관성을 이해하고 있어야 한다. 	업무활동에 기반한 문서관리는 업무 수행을 돕는 강력한 도구가 된다. 
14	문서 관리의 명확화 	정보 전달의 원활화 	사무 공간의 효율적 활용 	기록 활용에 대한 제비용 증가 
15	컴퓨터 등 정보처리능력을 가진 장치에 의하여 전자적인 형태로 작성되거나 송신·수신 또는 저장된 문서를 말한다. 	전자문서의 효력 발생 시기는 전자문서를 수신자가 관리하거나 지정한 전자적 시스템 등에 입력되었을 때 발생한다. 	전자문서는 공람하였다는 기록을 업무관리시스템 또는 전자문서시스템 상에서 수동으로 표시하며 담당자는 메일로 공람여부를 언제든지 확인할 수 있어야 한다. 	업무의 성질상 전자문서로 기안하기 곤란하거나 그밖의 특별한 사정이 있지 않은 한 기안은 전자문서로 하는 것을 원칙으로 한다. 
16	문서는 정보통신망을 이용하여 발신함을 원칙으로 한다. 	전자 문서는 행정기관의 홈페이지 또는 공무원의 공식 전자우편 주소를 이용하여 발송할 수 있다. 	종이문서인 경우에는 이를 복사하여 발송한다. 	모든 문서는 비밀유지를 위해 반드시 암호화하여 발송 하여야 한다. 
17	공문서의 항목 순서를 필요한 경우에는 □, ○, -, · 등과 같은 기호로 표시할 수 있다. 	문서에 금액을 표시할 때에는 금153,530원(금일십오만삼천오백삼십원)과 같이 표시하여야 한다. 	'업무 실명제'란 주요 정책의 결정 및 집행 과정에 참여하는 관련자의 실명과 의견을 기록·관리하는 제도를 말한다. 	본문의 내용이 표 형식으로 표의 중간까지만 작성된 경우에는 '끝' 표시를 하지 않고 마지막으로 작성된 칸의 다음 칸에 '이하 빈칸'으로 표시한다. 
18	관련된 항목의 도움말을 쉽게 찾을 수 있는 하이퍼텍스트 기능이 있다. 	필요한 도움말을 제목별로 검색할 수 있으며, 프린터로 출력할 수 있다. 	온라인에서 원격지원으로 도움을 받거나 전문가에게 문의할 수 있다. 	새로운 기술에 대한 내용을 도움말에 추가하거나 수정할 수 있다. 
19	안전 모드: 기본 드라이버 및 DVD 드라이브, 네트워크 서비스만으로 부팅한다. 	부팅 로깅 사용: 화면 모드를 저해상도 디스플레이 모드인 '640×480' 해상도로 설정하여 부팅한다. 	디버깅 모드: 잘못된 서명이 포함된 드라이버를 설치할 수 있도록 설정한다. 	컴퓨터 복구: 부팅에 문제가 있거나 시스템이 정상적으로 작동하지 않을 때 시스템을 초기 상태 또는 최적의 상태로 복원한다. 
20	에어로 전환 3D: 점프 목록과 프로그램 단추 고정을 통해 빠르게 프로그램을 실행할 수 있다. 	에어로 스냅(Aero Snap): 열려있는 창을 드래그하는 위치에 따라 창의 크기를 조절할 수 있다. 	에어로 피크(Aero Peek): 작업 표시줄 아이콘을 통해 축소판 미리 보기가 가능하며, 열려있는 모든 창을 최소화 하지 않고 바탕화면을 볼 수 있다. 	에어로 셰이크(Aero Shake): 창을 흔들면 다른 열려 있는 모든 창을 최소화 하거나 다시 원상태로 나타나게 할 수 있다. 
21	작업 표시줄은 현재 실행되고 있는 프로그램 단추와 프로그램을 빠르게 실행하기 위해 등록한 고정 프로그램 단추 등이 표시되는 곳이다. 	작업 표시줄은 위치를 변경하거나 크기를 조절할 수 있으며, 크기는 화면의 1/4까지만 늘릴 수 있다. 	'작업 표시줄 잠금'이 지정된 상태에서는 작업 표시줄의 크기나 위치 등을 변경할 수 없다. 	작업 표시줄은 기본적으로 바탕화면의 맨 아래쪽에 있다. 
22	바탕화면에 새 폴더를 만들 수 있다. 	바탕화면에 있는 아이콘의 표시 유무를 지정할 수 있다. 	화면 해상도를 변경할 수 있다. 	컴퓨터의 전원을 켜거나 끌 수 있다. 
23	메뉴 모음의 항상 표시 여부를 지정한다. 	숨김 파일이나 폴더의 표시 여부를 지정한다. 	폴더나 파일을 가리키면 해당 항목의 정보를 표시하는 팝업 설명의 표시 여부를 지정한다. 	제목 표시줄에 현재 선택된 위치에 대한 일부분 경로 표시 여부를 지정한다. 
24	다운로드한 프로그램 파일을 디스크 정리로 삭제할 경우 	휴지통에 있는 특정 파일을 선택한 후에 <Delete> 키를 눌러 삭제할 경우 	현재 편집 중인 문서 파일이 포함된 폴더를 선택한 후에 <Delete> 키를 눌러 삭제할 경우 	모든 권한이 설정된 특정 폴더의 바로 가기 메뉴에서 [삭제]를 선택하여 삭제하는 경우 
25	검색 필터를 추가하여 수정한 날짜나 크기 등의 속성을 이용하여 검색할 수 있다. 	검색할 위치를 지정하여 파일이나 폴더를 검색할 수있다. 	검색 결과에는 검색어로 사용된 문자가 노란색으로 표시되어 확인하기 용이하다. 	파일이나 폴더 그리고 프로그램, 제어판, 전자 이메일 메시지도 검색이 가능하다. 
26	[시작] → [모든 프로그램] → [보조프로그램] → [캡처 도구]를 선택하여 실행할 수 있다. 	캡처한 화면은 JPG, PNG, GIF, BMP, HTML 파일 중 하나를 선택하여 저장할 수 있다. 	자유형 캡처, 사각형 캡처, 창 캡처, 전체 화면 캡처 중 하나를 선택하여 캡처할 수 있다. 	캡처 후 주석을 달 때 사용할 펜은 색, 두께, 모양 변경이 가능하지만 형광펜은 변경 불가능하다. 
27	디스크 공간을 효율적으로 활용할 수 있다. 	파일을 전송할 때 시간 및 비용 절감 효과가 있다. 	파일이나 폴더를 압축하면 보안이 향상된다. 	분할 압축이 가능하다. 
28	[일반] 탭: 프린터 모델명 확인과 인쇄 기본 설정 	[공유] 탭: 프린터를 네트워크상의 다른 컴퓨터와 공유 할 것인지를 결정하고 추가 드라이버를 설치 	[포트] 탭: 프린터 포트를 선택하고 새로운 포트를 추가하거나 삭제 	[고급] 탭: 프린터 시간을 제어하고 인쇄 해상도를 설정하며, 테스트 페이지 인쇄 등을 지정 
29	돋보기 기능을 사용하면 화면에서 원하는 영역을 확대할 수 있다. 	내레이터 시작 기능을 사용하면 화면의 텍스트를 소리 내어 읽어 줄 수 있다. 	청각 장애가 있는 사용자를 위해 경고음 등의 시스템 소리를 화면 깜박임과 같은 시각적 신호로 표시되도록 지정할 수 있다. 	화상 키보드 기능을 사용하여 마우스 포인터의 모양을 변경하거나 포인터의 이동 속도를 변경할 수 있다. 
30	해커나 악성 소프트웨어가 네트워크나 인터넷을 통해 사용자 컴퓨터에 액세스 하지 못하도록 방지하는 기능이다. 	[인바운드 규칙] 사용을 설정하면 방화벽은 사용자의 네트워크에서 외부로 나가는 연결을 제어할 수 있다. 	Windows 방화벽이 새 프로그램을 차단할 때 알림을 표시할 수 있도록 설정할 수 있다. 	연결 보안 규칙의 종류에는 격리, 인증 예외, 서버 간, 터널, 사용자 지정 등이 있다. 
31	웹서버에 있는 홈페이지를 HTTP 프로토콜을 사용하여 편집 또는 재구성할 수 있다. 	플러그인 프로그램을 설치하여 동영상이나 소리 등의 다양한 멀티미디어 데이터를 처리할 수 있다. 	자주 방문하는 웹 사이트 주소를 관리할 수 있다. 	전자우편을 보내거나 HTML 문서를 편집할 수 있다. 
32	인쇄할 프린터의 속성에서 [스풀 설정]을 확인한다. 	프린터 전원이나 프린터 케이블이 제대로 연결되어 있는지 확인한다. 	프린터의 이름이 변경되었거나 삭제되지 않았는지 확인한다. 	설정된 프린터의 드라이버가 제대로 설치되었는지 확인한다. 
33	새로운 Windows 업데이트를 수행하거나 설치된 업데이트 내용을 제거, 변경할 수 있다. 	시스템에 설치된 프로그램의 목록을 확인하거나 제거 또는 변경할 수 있다. 	설치된 Windows의 기능을 사용하거나 사용 안 함을 지정할 수 있다. 	새로운 응용 프로그램을 설치할 수 있다. 
34	자주 사용하는 폴더들을 하나씩 찾아다니지 않고 라이브러리에 등록하여 한 번에 관리할 수 있다. 	라이브러리는 컴퓨터 여기 저기 흩어져 있는 자료를 한 곳에서 보고 정리할 수 있게 하는 가상의 폴더이다. 	기본적으로 문서, 음악, 사진, 비디오 라이브러리를 제공한다. 	하나의 라이브러리에는 최대 30개의 폴더를 포함시킬 수 있다. 
35	어댑터 설정 변경 	새 연결 또는 네트워크 설정 	네트워크에 연결 	홈 그룹 및 공유 옵션 선택 
36	프린터, 프로그램, 문서, 비디오, 소리, 그림 등의 데이터를 모두 공유할 수 있다. 	공유된 폴더는 여러 사람이 사용하므로, 바이러스 감염에 주의하여야 한다. 	공유된 자원의 아이콘을 클릭하면 Windows 탐색기 하단의 세부 정보 창에 공유 여부가 표시된다. 	폴더명 뒤에 '$'가 붙어있는 폴더를 공유하거나 공유 이름 뒤에 '$'를 붙이면 네트워크의 다른 사용자가 공유 여부를 알 수 있다. 
37	니블(Nibble): 4개의 비트가 모여 1Nibble을 구성한다. 	바이트(Byte): 파일 구성의 최소 단위로, 의미 있는 정보를 표현하는 최소단위이다. 	레코드(Record): 하나 이상의 관련된 필드가 모여서 구성되는 자료 처리 단위이다. 	파일(File): 프로그램 구성의 기본 단위로, 여러 레코드가 모여서 구성된다. 
38	출력 형태: 숫자, 문자 	연산 형식: 미·적분 연산 	구성 회로: 증폭 회로 	적용성: 특수 목적용 
39	보수기: 2진수의 덧셈을 수행하는 회로 	누산기: 연산된 결과를 일시적으로 저장하는 레지스터 	데이터 레지스터: 연산중에 발생하는 여러 가지 상태값을 기억하는 레지스터 	인덱스 레지스터: 연산에 사용될 데이터를 기억하는 레지스터 
40	명령어의 종류가 많아 전력 소비가 많다. 	명령어 설계가 어려워 고가이나, 레지스터를 적게 사용하므로 프로그램은 간단하다. 	고급 언어에 각기 하나씩의 기계어를 대응시킴으로써 명령어의 집합이 커진다. 	서버, 워크스테이션에 주로 사용된다. 
41	CPU와 주기억장치의 처리속도를 향상시키기 위하여 사용한다. 	보조기억장치를 주기억장치처럼 사용할 수 있는 기능을 제공한다. 	주기억장치에 접근할 때 주소대신 기억된 내용으로 접근하는 기능을 제공한다. 	EEROM의 일종으로 중요한 정보를 반영구적으로 저장할 수 있다. 
42	프리웨어(Freeware) 	미들웨어(Middleware) 	셰어웨어(Shareware) 	내그웨어(Nagware) 
43	자원 할당 및 시스템 전체의 작동 상태를 감시한다. 	작업이 정상적으로 처리될 수 있도록 작업 순서와 방법을 관리한다. 	작업에 사용되는 데이터와 파일의 표준적인 처리 및 전송을 관리한다. 	사용자가 고급언어로 작성한 원시 프로그램을 목적프로그램으로 번역한다. 
44	전원을 끌 경우에는 반드시 사용 중인 응용 프로그램을 먼저 종료한다. 	컴퓨터를 이동하거나 부품을 교체할 경우에는 반드시 전원을 끄고 작업한다. 	시스템에 이상이 발생하면 먼저 HDD를 포맷하고 시스템을 재설치 한다. 	최신 바이러스 백신 프로그램을 사용하여 주기적으로 점검한다. 
45	MP3는 PCM 기법에 의해 생성된 디지털 데이터를 사용하며 MPEG-3 규격의 압축 기술을 사용한다. 	ASF는 인터넷을 통해 오디오, 비디오 및 생방송 수신 등을 지원하는 통합 멀티미디어 형식이다. 	WMF는 Windows에서 기본적으로 사용하는 벡터 그래픽 파일 형식이다. 	DVI는 인텔사에서 개발한 동영상 압축 기술이다. 
46	하이퍼터미널(Hyperterminal) 	하이퍼미디어(Hypermedia) 	하이퍼콘텐츠(Hypercontents) 	하이퍼콘텍스트(Hypercontext) 
47	대역폭이 넓어 데이터의 전송률이 우수하다. 	리피터의 설치 간격을 좁게 설계하여야 한다. 	도청하기 어려워서 보안성이 우수하다. 	다른 유선 전송 매체와 비교하여 정보 전달의 안전성이 우수하다. 
48	프로그램의 실행 속도가 이유 없이 늦어진다. 	사용 가능한 메모리 공간이 줄어드는 등 시스템 성능이 저하된다. 	일정 시간 후에 화면 보호기가 작동된다. 	예측이 불가능하게 컴퓨터가 재부팅된다. 
49	가로막기(Interruption) 	가로채기(Interception) 	수정(Modification) 	위조(Fabrication) 
50	데몬(daemon)은 사용자가 직접적으로 제어하지 않고, 백그라운드에서 돌면서 주기적인 서비스 요청 등 여러 작업을 하는 프로그램을 말한다. 	푸쉬(push)는 인터넷에서 사용자의 요청에 의하지 않고 서버의 작용에 의해서 서버 상에 있는 정보를 클라이언트로 자동 배포(전송)하는 것을 말한다. 	미러 사이트(mirror site)는 인기 있는 웹 사이트의 경우 사이트의 부하를 분산하기 위해 2개 이상의 파일 서버로 똑같은 내용을 분산시켜 보유하고 있는 사이트를 말한다. 	핑거(finger)란 지정한 IP 주소 통신 장비의 통신망 연결을 확인하기 위한 것으로 통신 규약으로는 인터넷 제어 메시지 프로토콜(ICMP)을 사용한다. 
51	PICS(Platform for Internet Contents Selection) 	DCRP(Digital Contents Rights Protection) 	DRM(Digital Rights Management) 	CRM(Customer Relationship Management) 
52	제목에 특정 단어가 들어 있는 메일에 대해서만 자동으로 회신하게 설정할 수 있다. 	특정인으로부터 수신된 메일을 원하는 폴더로 바로 이동될 수 있도록 설정할 수 있다. 	제목에 특정 단어가 들어간 메일을 [정크 메일] 폴더에 보관될 수 있도록 설정할 수 있다. 	특정인으로부터 메일을 받으면 소리가 나게 설정할 수있다. 
53	개인정보처리자는 정보 주체의 개인정보가 분실, 도난, 유출, 위조, 변조 또는 훼손되지 않도록 해야 한다. 	기업은 개인정보보호를 시작하기 위해서 개인정보보호 전담자와 조직을 만들어야 한다. 	개인정보보호에 문제가 생겼을 때는 IT 부서 책임자나 최고보안책임자를 제외하고 경영자가 책임을 져야 한다. 	개인정보보호는 개인정보 자기결정권이 철저히 보장될 수 있도록 하는 일련의 행위이다. 
54	주로 하드디스크의 부트 레코드 부분에 저장된다. 	인터프리터 방식으로 번역되어 실행된다. 	운영체제의 일부로 입출력을 전담한다. 	소프트웨어의 업그레이드만으로도 기능을 향상시킬 수있다. 
55	16진수(Hexadecimal)는 0∼9까지의 숫자와 A∼F까지 문자로 표현하는 진법으로 한 자리수를 표현하는데 4개의 비트가 필요하다. 	2진수, 8진수, 16진수를 10진수 실수(float)로 변환하려면 정수 부분과 소수 부분을 나누어서 변환하려는 각 진수의 자리값과 자리의 지수승을 곱한 결과값을 모두 더하여 계산	10진수(Decimal) 정수를 2진수, 8진수, 16진수로 변환하려면 10진수 값을 변환할 진수로 나누어 더 이상 나눠지지 않을 때까지 나누고, 몫을 제외한 나머지를 역순으로 표	8진수를 16진수로 변환하려면 8진수를 뒤에서부터 2자리씩 자른 후 각각 16진수를 1자리로 계산한다. 
56	서로 다른 키로 데이터를 암호화하고 복호화 한다. 	암호화와 복호화의 속도가 빠르다. 	알고리즘이 단순하고 파일의 크기가 작다. 	사용자의 증가에 따라 관리해야 할 키의 수가 상대적으로 많아진다. 
57	IP주소 및 포트번호를 이용하거나 사용자 인증을 기반으로 접속을 차단하여 네트워크의 출입로를 단일화 한다. 	'명백히 허용되지 않은 것은 금지한다'라는 적극적 방어 개념을 가지고 있다. 	방화벽을 운영하면 바이러스와 내/외부의 새로운 위험에 효과적으로 대처할 수 있다. 	로그 정보를 통해 외부침입의 흔적을 찾아 역추적 할수 있다. 
58	특정 날짜와 시간에 백업할 수 있도록 백업 주기를 예약할 수 있다. 	Windows에서 백업에 사용되는 파일의 확장자는 .bkf이다. 	백업 파일을 복원할 경우 복원 위치를 지정할 수 있다. 	여러 파일이 백업되어 있는 경우 원하는 파일을 선택하여 복원할 수 없다. 
59	와이파이(WiFi) 	블루투스(Bluetooth) 	테더링(Tethering) 	와이브로(WiBro) 
60	OSI 참조 모델의 데이터 링크 계층에 속한다. 	두 개의 근거리통신망을 상호 접속할 수 있도록 하는 통신망 연결 장치이다. 	통신 프로토콜을 변환하여 네트워크를 확장한다. 	통신량을 조절하여 데이터가 다른 곳으로 가지 않도록 한다. 
61	인트라넷(Intranet) 	원거리 통신망(WAN) 	엑스트라넷(Extranet) 	근거리 통신망(LAN) 
62	메시지를 송/수신자의 주소와 정보로 묶어 패킷 단위로 나눈다. 	패킷 주소를 해석하고 경로를 결정하여 다음 호스트로 전송한다. 	전송 데이터의 흐름을 제어하고 데이터의 에러를 검사한다. 	OSI 7계층에서 전송 계층에 해당한다. 
63	MPEG-1 	MPEG-3 	MPEG-7 	MPEG-21 
64	인터넷 표준 그래픽 형식으로, 8비트 컬러를 사용하여 256색만 지원한다. 	간단한 애니메이션 표현이 가능하다. 	색상의 무손실 압축 기술을 사용한다. 	벡터 방식으로 이미지를 표현한다. 
65	사용자 컴퓨터 	하드디스크 드라이브와 사운드 카드 	컴퓨터의 USB 포트에 연결하는 모든 장치 	컴퓨터에 연결된 호환 네트워크 장치 
66	명령 레지스터에 있는 명령어를 해독한다. 	해독된 명령어에 따라 각 장치로 보낼 제어 신호를 생성한다. 	다음 순서에 실행할 명령어의 주기억장치 주소를 기억 한다. 	뺄셈연산을 위해 음수로 변환한다. 
67	바로 가기 아이콘을 실행하면 연결된 원본 파일이 실행 된다. 	파일, 폴더뿐만 아니라 디스크 드라이브나 프린터에도 바로 가기 아이콘을 만들 수 있다. 	일반 아이콘과 비교하여 왼쪽 아랫부분에 화살표가 포함되어 표시된다. 	하나의 바로 가기 아이콘에 여러 개의 원본 파일을 연결할 수 있다. 
68	공유 폴더에 대한 접근 권한은 사용자에 따라 다르게 설정할 수 있다. 	탐색기의 주소 표시줄에 '\\localhost'를 입력하면 네트워크를 통해 공유한 파일이나 폴더를 확인할 수있다. 	탐색기의 공유 기능을 이용하면 파일이나 폴더를 쉽게 다른 사용자와 공유할 수 있다. 	공유한 파일명 뒤에 '$'를 붙이면 네트워크의 다른 사용자가 해당 파일을 사용하고 있는지 여부를 바로 확인할 수 있다. 
69	픽셀(Pixel): 화면을 이루는 최소 단위로서 같은 크기의 화면에서 픽셀 수가 많을수록 해상도가 높아진다. 	해상도(Resolution): 모니터 화면의 픽셀 수와 관련이 있으며 픽셀 수가 많을수록 표시할 수 있는 색상의 수가 증가한다. 	점 간격(Dot Pitch): 픽셀들 사이의 공간을 나타내는 것으로 간격이 가까울수록 영상은 선명하다. 	재생률(Refresh Rate): 픽셀들이 밝게 빛나는 것을 유지하기 위한 것으로, 재생률이 높을수록 모니터의 깜빡임이 줄어든다. 
70	플래시(Flash) 메모리는 비휘발성 기억장치로 주로 디지털 카메라나 MP3, 개인용 정보 단말기, USB 드라이브 등 휴대용 기기에서 대용량 정보를 저장하는 용도로 사용된다. 	하드디스크 인터페이스 방식은 EIDE, SATA, SCSI 방식 등이 있다. 	캐시(Cache) 메모리는 CPU와 주기억장치 사이에 위치하여 두 장치간의 속도 차이를 줄여 컴퓨터의 처리 속도를 빠르게 하기 위한 메모리이다. 	연관(Associative) 메모리는 보조기억장치를 마치 주기억장치와 같이 사용하여 실제 주기억 장치 용량보다 기억용량을 확대하여 사용하는 방법이다. 
71	정식으로 대가를 지불하고 사용하는 소프트웨어이다. 	홍보용으로 사용 기간이나 기능에 제한을 둔 소프트웨어이다. 	오류 수정이나 성능 향상을 위해 프로그램 일부를 변경해주는 소프트웨어이다. 	정식 프로그램 출시 전에 테스트용으로 제작되어 일반인에게 공개하는 소프트웨어이다. 
72	압축한 파일을 모아 재압축을 반복하면 파일 크기를 계속 줄일 수 있다. 	여러 개의 파일을 압축하면 하나의 파일로 생성되어 파일 관리를 용이하게 할 수 있다. 	대부분의 압축 프로그램에는 분할 압축이나 암호 설정 기능이 있다. 	파일의 전송시간과 비용을 절약하고, 디스크 공간을 효율적으로 사용할 수 있다. 
73	바탕 화면에서 <Shift> + <F10> 키를 누르면 바로 가기 메뉴가 표시된다. 	바탕 화면에 폴더나 텍스트 문서, 압축 파일 등을 새로 만들 수 있다. 	삭제된 컴퓨터, 휴지통, 네트워크 등의 바탕 화면 아이콘을 다시 표시할 수 있다. 	아이콘의 정렬 기준을 변경하거나 아이콘의 크기를 변경하여 볼 수 있다. 
74	피벗 테이블 보고서를 작성한 후 원본 데이터를 수정하면 피벗 테이블 보고서에 자동으로 반영된다. 	[피벗 테이블 필드 목록]에서 보고서에 추가할 필드 선택 시 데이터 형식이 텍스트이거나 논리값인 필드를 선택하여 '행 레이블' 영역에 추가한다. 	값 영역에 추가된 필드가 2개 이상이면 Σ 값 필드가 열 레이블 또는 행 레이블 영역에 추가된다. 	열 레이블/행 레이블 단추를 클릭하여 레이블 필터나 값 필터를 설정할 수 있다. 
75	첫 번째 셀을 클릭한 후 <Ctrl> + <Shift> + <방향키> 를 눌러 선택 영역을 확장한다. 	첫 번째 셀을 클릭한 후 <Shift> 키를 누른 상태에서 범위의 마지막 셀을 클릭한다. 	첫 번째 셀을 클릭한 후 <F8> 키를 누른 후 <방향키> 를 눌러 선택 영역을 확장한다. 	첫 번째 셀을 클릭한 후 <Ctrl> 키를 누른 상태에서 <방향키>를 눌러 선택 영역을 확장한다. 
76	텍스트 파일은 구분 기호나 일정한 너비로 분리된 모든 열을 엑셀로 가져오기 때문에 일부 열만 가져올 수는 없다. 	액세스 파일은 표, 피벗 테이블, 워크시트의 특정 위치 등으로 다양하게 불러올 수 있다. 	웹 상의 데이터 중 일부를 워크시트로 가져오고, 새로고침 기능을 이용하여 최신 데이터로 업데이트할 수 있다. 	기타 원본의 Microsoft Query 기능을 이용하면 외부 데이터베이스에서 가져올 데이터의 추출 조건을 설정하여 원하는 데이터만 가져올 수 있다. 
77	찾을 내용에 '*수정*', 바꿀 내용에 '*변경*'으로 입력하고, [모두 바꾸기] 단추를 클릭하면 '수정'이라는 모든 글자를 '*변경*'으로 바꾼다. 	'=A1*B1'과 같은 수식을 검색하려면 찾는 위치를 '수식'으로 선택한 후 찾을 내용에 '=A1~*B1'으로 입력한다. 	찾을 내용과 바꿀 내용은 입력하지 않고, 찾을 서식과 바꿀 서식으로 설정 할 수 있다. 	셀포인터 위치를 기준으로 앞에 위치한 데이터를 찾으려면 <Shift> 키를 누른 상태에서 [다음 찾기] 단추를 클릭한다. 
78	날짜 데이터는 하이픈(-)이나 슬래시(/)를 이용하여 년, 월, 일을 구분한다. 	날짜의 연도를 생략하고 월과 일만 입력하면 자동으로 현재 연도가 추가된다. 	날짜의 연도를 두 자리로 입력할 때 연도가 30 이상이면 1900년대로 인식하고, 29 이하이면 2000년대로 인식한다. 	<Ctrl> + <Shift> + <;> 키를 누르면 오늘 날짜가 입력된다. 
79	[매크로] 대화상자에서 편집할 매크로를 선택하고 [편집] 단추를 클릭하면 Visual Basic 편집기를 실행할 수 있다. 	<Alt> + <F8> 키를 눌러 Visual Basic 편집기를 실행하면 매크로를 수정할 수 있다. 	PERSONAL.XLSB 파일을 삭제하면 통합 문서에 있는 모든 매크로를 삭제할 수 있다. 	Visual Basic 편집기에서 삭제할 매크로의 코딩 부분을 범위로 지정한 뒤 <Delete> 키를 눌러 여러 매크로를 한 번에 삭제할 수 있다 . 
80	시트 보호는 통합 문서 전체가 아닌 특정 시트만을 보호한다. 	공유된 통합 문서는 여러 사용자가 동시에 변경 및 병합할 수 있다. 	통합 문서 보호 설정 시 암호를 지정하면 워크시트에 입력된 내용을 수정할 수 없다. 	사용자가 워크시트를 추가, 삭제하거나 숨겨진 워크시트를 표시하지 못하도록 통합 문서의 구조를 잠글 수 있다. 
81	통합 문서의 여러 워크시트에 있는 동일한 셀 범위 데이터를 이용하려면 수식에서 3차원 참조를 사용한다. 	계산할 셀 범위를 선택하여 수식을 입력한 후 <Ctrl> + <Enter> 키를 누르면 선택한 영역에 수식을 한 번에 채울 수 있다. 	수식을 입력한 후 결과 값이 상수로 입력되게 하려면 수식을 입력한 후 바로 <Alt> + <F9> 키를 누른다. 	배열 상수에는 숫자나 텍스트 외에 'TRUE', 'FALSE' 등의 논리값 또는 '#N/A'와 같은 오류 값도 포함될 수 있다. 
