p_no	pf_no	p_name	p_place	p_price	p_actor	p_date
32	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-15
33	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-09-16
34	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-16
35	M004	레베카	세종문화회관	160000	옥주현	2021-09-17
36	O001	토스카	예술의전당	250000	이정현	2021-09-17
37	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-18
38	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-18
39	C005	싸이	화정체육관	180000	싸이	2021-09-18
40	C009	TXT	블루스퀘어	130000	TXT	2021-09-19
41	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-09-19
42	C005	싸이	화정체육관	180000	싸이	2021-09-19
43	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-20
44	M004	레베카	세종문화회관	160000	옥주현	2021-09-20
45	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-20
46	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-21
47	O003	서부의아가씨	오페라극장	150000	이윤정	2021-09-21
48	C001	아이유	고양어울림극장	150000	아이유	2021-09-21
49	O003	서부의아가씨	오페라극장	150000	이윤정	2021-09-22
50	M001	시카고	디큐브아트센터	180000	최정원	2021-09-22
51	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-23
52	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-24
53	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-09-24
54	M002	팬텀	샤롯데시어터	160000	박은태	2021-09-25
55	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-09-25
56	C003	자우림	평화의전당	170000	자우림	2021-09-26
57	M009	드라큘라	신한카드홀	160000	김준수	2021-09-26
58	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-26
59	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-09-27
60	O001	토스카	예술의전당	250000	이정현	2021-09-27
61	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-28
62	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-28
63	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-09-29
64	M001	시카고	디큐브아트센터	180000	최정원	2021-09-29
65	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-01
66	M007	엘리자벳	계명아트센터	180000	박형식	2021-10-01
67	C005	싸이	화정체육관	180000	싸이	2021-10-02
68	O002	카르멘	대구오페라하우스	200000	백민아	2021-10-02
69	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-10-02
70	M004	레베카	세종문화회관	160000	옥주현	2021-10-03
71	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-03
72	O010	아이다	앙상블시어터	130000	임세경	2021-10-03
73	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-04
74	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-04
75	M004	레베카	세종문화회관	160000	옥주현	2021-10-05
76	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-10-05
77	C005	싸이	화정체육관	180000	싸이	2021-10-06
78	O006	라보엠	CJ토월극장	120000	김태윤	2021-10-06
79	C005	싸이	화정체육관	180000	싸이	2021-10-07
80	C001	아이유	고양어울림극장	150000	아이유	2021-10-07
81	O010	아이다	앙상블시어터	130000	임세경	2021-10-08
82	C005	싸이	화정체육관	180000	싸이	2021-10-08
83	O007	마농	KT체임버홀	100000	손지혜	2021-10-09
84	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-10-09
85	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-09
86	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-10
87	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-10
88	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-10
89	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-12
90	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-12
91	O010	아이다	앙상블시어터	130000	임세경	2021-10-12
92	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-13
93	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-13
94	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-13
95	O007	마농	KT체임버홀	100000	손지혜	2021-10-14
96	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-10-14
97	O007	마농	KT체임버홀	100000	손지혜	2021-10-15
98	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-15
99	C009	TXT	블루스퀘어	130000	TXT	2021-10-15
100	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-15
101	O001	토스카	예술의전당	250000	이정현	2021-10-16
102	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-16
103	M009	드라큘라	신한카드홀	160000	김준수	2021-10-16
104	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-10-17
105	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-17
106	M002	팬텀	샤롯데시어터	160000	전동석	2021-10-17
107	C005	싸이	화정체육관	180000	싸이	2021-10-18
108	O001	토스카	예술의전당	250000	이정현	2021-10-18
109	O002	카르멘	대구오페라하우스	200000	백민아	2021-10-18
110	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-10-19
111	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-10-19
112	O007	마농	KT체임버홀	100000	손지혜	2021-10-19
113	C005	싸이	화정체육관	180000	싸이	2021-10-20
114	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-20
115	C001	아이유	고양어울림극장	150000	아이유	2021-10-20
116	M008	웃는남자	인터파크홀	210000	박효신	2021-10-21
117	M001	시카고	디큐브아트센터	180000	최정원	2021-10-21
118	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-10-21
119	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-23
120	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-23
121	M002	팬텀	샤롯데시어터	160000	규현	2021-10-23
122	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-24
123	C005	싸이	화정체육관	180000	싸이	2021-10-24
124	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-24
125	O006	라보엠	CJ토월극장	120000	김태윤	2021-10-25
126	M007	엘리자벳	계명아트센터	180000	박형식	2021-10-25
127	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-25
128	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-26
129	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-26
130	M009	드라큘라	신한카드홀	160000	김준수	2021-10-27
131	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-27
132	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-10-27
133	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-28
134	M009	드라큘라	신한카드홀	160000	신성록	2021-10-28
135	M004	레베카	세종문화회관	160000	옥주현	2021-10-28
136	C009	TXT	블루스퀘어	130000	TXT	2021-10-29
137	M001	시카고	디큐브아트센터	180000	최정원	2021-10-29
138	C005	싸이	화정체육관	180000	싸이	2021-10-30
139	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-30
140	C005	싸이	화정체육관	180000	싸이	2021-10-30
141	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-31
142	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-31
143	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-31
144	M008	웃는남자	인터파크홀	210000	박효신	2021-11-01
145	M004	레베카	세종문화회관	160000	옥주현	2021-11-01
146	M002	팬텀	샤롯데시어터	160000	카이	2021-11-01
147	M004	레베카	세종문화회관	160000	옥주현	2021-11-02
148	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-02
149	M007	엘리자벳	계명아트센터	180000	박형식	2021-11-02
150	C005	싸이	화정체육관	180000	싸이	2021-11-03
151	C009	TXT	블루스퀘어	130000	TXT	2021-11-03
152	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-03
153	C005	싸이	화정체육관	180000	싸이	2021-11-04
154	O007	마농	KT체임버홀	100000	손지혜	2021-11-04
155	C005	싸이	화정체육관	180000	싸이	2021-11-04
156	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-05
157	C009	TXT	블루스퀘어	130000	TXT	2021-11-05
158	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-05
159	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-06
160	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-11-06
161	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-06
162	O006	라보엠	CJ토월극장	120000	김태윤	2021-11-07
163	M007	엘리자벳	계명아트센터	180000	박형식	2021-11-07
164	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-07
165	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-08
166	C005	싸이	화정체육관	180000	싸이	2021-11-08
167	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-08
168	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-09
169	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-09
170	M001	시카고	디큐브아트센터	180000	최정원	2021-11-09
171	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-10
172	M009	드라큘라	신한카드홀	160000	신성록	2021-11-10
173	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-11-10
174	C009	TXT	블루스퀘어	130000	TXT	2021-11-11
175	C001	아이유	고양어울림극장	150000	아이유	2021-11-11
176	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-11
177	M008	웃는남자	인터파크홀	210000	박효신	2021-11-12
178	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-11-12
179	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-12
180	M004	레베카	세종문화회관	160000	옥주현	2021-11-13
181	M004	레베카	세종문화회관	160000	옥주현	2021-11-13
182	O010	아이다	앙상블시어터	130000	임세경	2021-11-13
183	M004	레베카	세종문화회관	160000	옥주현	2021-11-14
184	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-11-14
185	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-14
186	M001	시카고	디큐브아트센터	180000	최정원	2021-11-15
187	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-11-15
188	C005	싸이	화정체육관	180000	싸이	2021-11-15
189	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-16
190	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-16
191	C001	아이유	고양어울림극장	150000	아이유	2021-11-16
192	C008	이문세	수성사트피아용지홀	150000	이문세	2021-11-18
193	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-18
194	M001	시카고	디큐브아트센터	180000	최정원	2021-11-20
195	O001	토스카	예술의전당	250000	이정현	2021-11-20
196	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-11-21
197	M004	레베카	세종문화회관	160000	옥주현	2021-11-21
198	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-11-21
199	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-11-22
200	M002	팬텀	샤롯데시어터	160000	전동석	2021-11-22
201	M001	시카고	디큐브아트센터	180000	최정원	2021-11-22
202	O007	마농	KT체임버홀	100000	손지혜	2021-11-23
203	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-11-23
204	M004	레베카	세종문화회관	160000	옥주현	2021-11-23
205	C008	이문세	수성사트피아용지홀	150000	이문세	2021-11-24
206	O006	라보엠	CJ토월극장	120000	김태윤	2021-11-24
207	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-11-25
208	M002	팬텀	샤롯데시어터	160000	박은태	2021-11-25
209	C001	아이유	고양어울림극장	150000	아이유	2021-11-26
210	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-26
211	O010	아이다	앙상블시어터	130000	임세경	2021-11-26
212	O010	아이다	앙상블시어터	130000	임세경	2021-11-27
213	M002	팬텀	샤롯데시어터	160000	카이	2021-11-27
214	M009	드라큘라	신한카드홀	160000	김준수	2021-11-27
215	C005	싸이	화정체육관	180000	싸이	2021-11-28
216	M009	드라큘라	신한카드홀	160000	신성록	2021-11-28
217	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-29
218	C005	싸이	화정체육관	180000	싸이	2021-11-29
219	O002	카르멘	대구오페라하우스	200000	백민아	2021-11-29
220	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-30
221	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-30
222	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-30
223	O007	마농	KT체임버홀	100000	손지혜	2021-12-01
224	O010	아이다	앙상블시어터	130000	임세경	2021-12-01
225	M002	팬텀	샤롯데시어터	160000	규현	2021-12-01
226	M004	레베카	세종문화회관	160000	옥주현	2021-12-02
227	M008	웃는남자	인터파크홀	210000	박효신	2021-12-02
228	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-02
229	M008	웃는남자	인터파크홀	210000	박효신	2021-12-03
230	O007	마농	KT체임버홀	100000	손지혜	2021-12-03
231	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-03
232	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-05
233	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-05
234	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-06
235	M004	레베카	세종문화회관	160000	옥주현	2021-12-06
236	O010	아이다	앙상블시어터	130000	임세경	2021-12-06
237	C009	TXT	블루스퀘어	130000	TXT	2021-12-07
238	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-07
239	O007	마농	KT체임버홀	100000	손지혜	2021-12-08
240	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-08
241	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-12-09
242	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-12-09
243	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-11
244	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-11
245	M001	시카고	디큐브아트센터	180000	최정원	2021-12-11
246	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-12-12
247	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-12
248	C001	아이유	고양어울림극장	150000	아이유	2021-12-12
249	C005	싸이	화정체육관	180000	싸이	2021-12-13
250	M004	레베카	세종문화회관	160000	옥주현	2021-12-13
251	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-12-13
252	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-14
253	O002	카르멘	대구오페라하우스	200000	백민아	2021-12-14
254	M004	레베카	세종문화회관	160000	옥주현	2021-12-14
255	C003	자우림	평화의전당	170000	자우림	2021-12-15
256	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-15
257	O010	아이다	앙상블시어터	130000	임세경	2021-12-15
258	M004	레베카	세종문화회관	160000	옥주현	2021-12-16
259	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-12-16
260	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-16
261	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-17
262	C001	아이유	고양어울림극장	150000	아이유	2021-12-17
263	M002	팬텀	샤롯데시어터	160000	규현	2021-12-17
264	C001	아이유	고양어울림극장	150000	아이유	2021-12-18
265	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-18
266	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-12-18
267	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-12-19
268	C009	TXT	블루스퀘어	130000	TXT	2021-12-19
269	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-19
270	C003	자우림	평화의전당	170000	자우림	2021-12-20
271	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-20
272	C005	싸이	화정체육관	180000	싸이	2021-12-21
273	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-12-21
274	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-21
275	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-22
276	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-22
277	C009	TXT	블루스퀘어	130000	TXT	2021-12-23
278	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-12-23
279	O002	카르멘	대구오페라하우스	200000	백민아	2021-12-23
280	O007	마농	KT체임버홀	100000	손지혜	2021-12-24
281	C003	자우림	평화의전당	170000	자우림	2021-12-24
282	C005	싸이	화정체육관	180000	싸이	2021-12-24
283	C001	아이유	고양어울림극장	150000	아이유	2021-12-25
284	M004	레베카	세종문화회관	160000	옥주현	2021-12-25
285	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-12-26
286	M009	드라큘라	신한카드홀	160000	김준수	2021-12-26
287	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-12-27
288	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-12-27
289	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-27
290	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-28
291	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-28
292	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-28
293	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-29
294	O010	아이다	앙상블시어터	130000	임세경	2021-12-29
295	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-29
296	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-31
