r_no	c_no	title	period	week	time	standard	salary	date	d_no	e_no	benefit	deadline	hits
62	84	단기 근무자 모집함	1일	요일협의	시간협의	일급	95000	2021-08-27	14	4	12,24	2021-09-06	104
63	33	주말 오후 아르바이트 모집합니다.	2개월	화, 목	03:30~18:30	일급	110000	2021-08-29	1	4	14,15	2021-08-30	58
64	85	드래곤시티호텔 프론트 개셔(여) 구합니다.	3주	월, 화, 수	11:40~23:00	월급	2500000	2021-08-29	14	4	2,8	2021-09-10	63
65	42	초보가능 숙소제공	1일	요일협의	03:30~15:00	월급	1850000	2021-08-30	4	1	15,19	2021-09-11	21
66	27	최고집손짜장 직원모집	2년	금	시간협의	시급	9200	2021-08-30	1	4	6,22	2021-09-09	52
67	63	알바 모집합니다.	1주	월, 화, 목, 금	12:00~18:20	월급	1877330	2021-09-01	3	5	5,18	2021-09-11	76
68	80	킴스토랑과 함께 할 열정있는 직원 모집합니다.	8개월	금, 토	시간협의	연봉	60000000	2021-09-02	2	3	17,22	2021-09-22	114
69	13	파트타임 대모집	4주	수, 목, 금	14:20~18:00	일급	140000	2021-09-06	5	5	12,19	2021-09-18	97
70	83	[급구] 제이하우스에서 홀서빙/주방 파트&직원 모집합니다. [문자지원]	1일	요일협의	시간협의	월급	3000000	2021-09-06	14	1	12,22	2021-09-16	105
71	79	축제갈비 직원모집	3년	월, 수, 금	시간협의	월급	2120000	2021-09-07	1	5	3,15	2021-09-17	50
72	82	캐셔 구합니다.	3주	요일협의	시간협의	시급	9700	2021-09-07	6	5	11,19	2021-09-17	8
73	46	아르바이트, 직원 구함	6개월	금	10:30~16:30	연봉	31200000	2021-09-07	8	3	2,22	2021-09-17	59
74	28	진로식자재마트 마트 미화 사원모집	1년	화, 수, 목, 금	06:00~20:00	연봉	26000000	2021-09-08	7	1	3,15	2021-09-26	3
75	99	도우미근무자 모집	5일	요일협의	10:00~23:00	시급	9800	2021-09-10	10	5	13,21	2021-09-12	51
76	51	홀서빙 낮 파트타임 직원 모집	4주	월, 수, 금	시간협의	시급	9000	2021-09-11	6	3	9,12	2021-09-21	57
77	73	월화 마감 구합니다.	1년	수, 목, 토	02:00~13:00	시급	8750	2021-09-11	13	1	13,14	2021-09-21	112
78	2	핫트랙스 주중 및 주말 알바	6개월	월, 수, 금	06:30~23:00	시급	8990	2021-09-12	10	5	19,27	2021-09-18	5
79	91	월화 오후 근무자 공고	4주	요일협의	시간협의	월급	2400000	2021-09-12	1	4	5,10,26	2021-09-22	31
80	71	홀, 주방 정규직/알바 모집	6개월	화, 수, 목	시간협의	시급	9000	2021-09-12	6	3	21,22	2021-09-22	77
81	22	자르뎅데자르 정직원 채용 모집	1일	월, 화, 수, 목, 금	12:00~17:40	주급	500000	2021-09-13	17	1	17,18,26	2021-09-23	43
82	9	평일 오후 알바 모집	5개월	월, 화, 목, 금	10:30~16:30	월급	1142320	2021-09-14	7	1	4,24	2021-09-25	5
83	59	펜션 직원 모집	4주	목, 토	07:50~14:50	월급	2900000	2021-09-14	14	1	4,25	2021-09-28	80
84	106	주말 야간 모집	3개월	수, 목	시간협의	시급	9500	2021-09-15	3	5	4,23	2021-09-27	72
85	43	직원 모집	2주	요일협의	10:40~22:20	시급	8900	2021-09-15	10	5	9,14	2021-09-25	61
86	93	주말우휴 근무자 공고	7일	요일협의	10:00~19:00	월급	2500000	2021-09-16	1	4	2,15	2021-09-26	39
87	108	장어마을도소매점 배달직원 모집합니다.	4주	요일협의	08:50~23:50	시급	10500	2021-09-16	8	4	8,14	2021-09-26	60
88	101	목/금 오픈 스탭 구합니다.	3개월	요일협의	10:00~22:00	일급	160000	2021-09-16	10	1	17,27	2021-10-01	16
89	112	평일, 주말 군무자 구해요	1일	월, 수, 금	시간협의	월급	3000000	2021-09-17	17	1	2,24	2021-10-04	1
90	75	동반근무, 초보, 남녀노소 모두 환영	20일	월, 화, 수, 목, 금	08:40~17:40	연봉	40000000	2021-09-17	5	4	1,7	2021-09-27	60
91	7	알바구합니다.	1일	토, 일	시간협의	일급	110000	2021-09-18	3	2	18,27	2021-09-28	113
92	74	아르바이트 모집합니다.	3개월	토, 일	시간협의	일급	90000	2021-09-18	5	1	20,22	2021-09-19	61
93	47	주말에 근무하실 분을 모십니다.	3개월	월, 수, 금, 일	12:00~22:00	일급	87000	2021-09-18	12	1	17,20	2021-09-28	79
94	34	주말오전 모집공고	3개월	수, 토	시간협의	일급	120000	2021-09-19	1	4	1,4	2021-09-20	55
95	18	매장 스태프 모집	4주	월, 금	시간협의	시급	9000	2021-09-20	17	3	10,14,20	2021-10-04	112
96	50	주방보조 직원 모집	2개월	화, 수, 목, 금	시간협의	월급	1900000	2021-09-20	6	2	9,13	2021-09-23	25
97	102	단기알바 모집	6개월	화, 수, 목	03:00~09:00	시급	9890	2021-09-21	6	5	6,24	2021-10-01	13
98	77	꽃농장 직원 모집	2주	목	시간협의	시급	8720	2021-09-24	12	5	19,21	2021-10-05	32
99	68	스태프 모집합니다.	5개월	요일협의	06:30~22:00	월급	2500000	2021-09-25	6	3	17,19,20	2021-10-05	102
100	89	점심 파트 구합니다.	1개월	월, 수, 금	14:00~22:00	시급	8900	2021-09-25	12	1	14,20	2021-10-05	35
101	8	정직원 1명(주5일), 평일알바 1명	3일	요일협의	06:00~20:20	주급	500000	2021-09-26	4	5	19,27	2021-10-06	99
102	70	함께 근무할 사원을 모집합니다.	4주	토, 일	10:00~20:20	시급	8800	2021-09-26	14	5	9,13	2021-10-06	37
103	66	알바를 모집합니다.	2주	목, 토, 일	12:00~23:00	일급	110000	2021-09-26	10	3	9,13,17	2021-10-06	81
104	109	약국 마케팅 및 보조업무 같이 하실 분 구합니다.	2주	화, 수	06:10~21:10	일급	105000	2021-09-26	11	5	5,7	2021-10-06	104
105	39	주방, 홀서빙 직원모집합니다.	5개월	요일협의	09:00~18:00	시급	8950	2021-09-28	15	1	1,4,15	2021-10-08	38
106	48	판매 직원 모집	6개월	요일협의	시간협의	시급	8770	2021-09-28	7	1	16,18	2021-10-08	25
107	1	아르바이트 채용	6일	요일협의	시간협의	연봉	29000000	2021-09-30	3	4	6,11,25	2021-10-12	30
108	36	주방, 홀서빙 모집합니다	5일	요일협의	시간협의	시급	12000	2021-09-30	5	2	3,22	2021-10-01	33
109	57	정직원 아르바이트 모집	1일	화, 일	12:20~20:20	일급	151000	2021-10-01	7	1	8,16,18	2021-10-11	94
110	60	라벤더코지풀빌라에서 함께하실 심야 직원분을 모집 합니다.	3주	월, 화, 수	시간협의	월급	3200000	2021-10-02	14	3	10,15	2021-10-14	30
111	62	주중(평일) 야간 근무자 모집	6개월	목, 토	02:10~13:10	시급	8900	2021-10-02	10	5	12,13	2021-10-13	101
112	61	장충마트 매장 알바 모집	5개월	수, 목	시간협의	주급	800000	2021-10-03	8	4	8,14	2021-10-13	59
