n no	n date	u no	n title	n content	n viewcount	n open
31	2021-09-06	7	최상의 서비스	서비스가 너무 좋았어요, 나중에 꼭 다시 올 생각 있어요!	1989	O
32	2021-07-08	9	초코의 왕 후기	진짜 달달한 느낌이라, 나중에 연인끼리 와도 추천합니다	0	X
33	2021-07-31	4	운명 탈출!	남자친구가 의지가 되네요.	1341	X
34	2021-06-24	1	원혼의 저주 무섭게 재밌어요!	우리집 인형들이 다 무섭게 느껴지네요..여름에 시원할거 같아요	1880	O
35	2021-07-21	10	위험한 레시피 친구랑	여운이 깊었어요. 추천합니다.	1692	O
36	2021-08-04	1	이층 복도 끝 화장실 후기	아니 우리집 복층인데 계속 생각나서 2층 못 가는 중임..	974	O
37	2021-09-09	8	장미맨숀 가족이랑	부인이랑 오랜만에 데이트 나갔다왔는데,.. 아주 좋아하더군요. 진작 데려다 할 걸 그랬어요	1520	O
38	2021-10-02	5	비밀의 무덤 공포추천	공포 영화 보는 느낌이라 나중에 여름되면 오싹하게 한 번 더 해야겠어요	1416	O
39	2021-05-12	1	지하감옥 공포	공포매니아들 한 번 꼭 가보세요, 추천합니다	1877	O
40	2021-06-07	10	카니발 랜드 유니크해	미션이 특이해서 재밌었어욬ㅋㅋㅋ	164	O
41	2021-09-20	7	타인은 지옥이다	웹툰 아는 사람으로써, 웹툰을 모르는 사람이 더 재밌게 즐길 수 있을 것 같아요.	603	O
42	2021-10-01	8	트러브메이커 열린결말	결말이 찝찝해서.. 열린결말 좋아하시는 분은 좋아하실 것 같아요.	1433	O
43	2021-09-07	5	호구와트 해리포터	이름잌ㅋㅋ 마음에 들어서 가봤는데, 나쁘지 않았어요	0	X
44	2021-08-17	1	히로인 첫 후기	신축건물이라 페인트 냄새가 조금 나긴하는데, 깨끗해서 좋았어요	0	X
45	2021-08-19	5	제시의 시크릿 바비	우리가 알던 바비가 아닙니다.	278	O
46	2021-09-15	6	에로스의 초대 가족과 함께	울 딸램 너무 재밌게 봐서 나중에 조카랑 또 델려와야야겠어요	1714	O
47	2021-05-05	6	올림푸스의 초대 공부	그리스로마 신화랑 겹치는 부분이 많아서 나중에 친구애기들이랑 같이 갈려구요~^^	549	O
48	2021-10-04	6	백설공주의 비밀 디즈니	디즈니 풍 스러워서 좋았어요~	518	O
49	2021-09-14	8	러브클리닉 평점 추천	평점 보고 갔는데, 딱 평점 정도였어요!	161	O
50	2021-08-11	4	아나스타샤 애들과 함께	울 애들이랑 다 같이 갔는데~~ 나중에 가족끼리 가는것도 추천해요...^^	1517	O
51	2021-07-10	7	카마수트라 후기	친구랑 다 같이 갔는데, 나중에 또 가고 싶어요	1490	O
52	2021-08-08	6	폐쇄병동 후기	룸카페는 좋았는데 나중엔 저녁에 와야겠어요	1470	O
53	2021-07-07	3	그녀를 찾아서 추천	아빠와 데이트. 귀여운 우리아빠입니다. 나보다 겁이 더 많으세요.	205	O
54	2021-05-16	8	타워링 후기	무섭고 흥미진지합니다. 추천합니다.	609	O
55	2021-05-31	9	파라오의 심판 추천	역사 공부도 되고 좋았어요	0	X
56	2021-06-12	3	이터널 산샤인 재밌어	즐겨보던 드라마랑 이름이 비슷해서 갔는데, 생각보다 재밌어서 방탈출 자주 갈 것 같아요~	1809	O
57	2021-06-18	1	안개꽃 어려운 편..	제한시간에 다 못 끝내서 아쉬웠어요	560	O
58	2021-09-16	9	소원을 말해봐	알라딘의 램프가 소원을 들어줄거 같아요.	0	X
