번호	좌표
B384	27,40
B385	28,40
B386	27,42
B387	27,43
B388	27,44
B389	27,46
B390	27,47
B391	27,48
B392	27,49
B393	27,50
B394	27,51
B395	27,52
B396	27,53
B397	27,54
B398	27,55
B399	27,56
B400	27,57
B401	28,57
B402	29,57
B403	30,57
B404	31,57
B405	35,57
B406	36,57
B407	37,57
B408	37,47
B409	37,48
B410	37,49
B411	37,50
B412	37,51
B413	37,52
B414	37,53
B415	37,54
B416	37,55
B417	37,56
B418	35,39
B419	36,39
B420	37,39
B421	33,40
B422	33,45
B423	36,40
B424	36,41
B425	36,45
B426	39,35
B427	45,31
B428	45,32
B429	45,33
B430	45,34
B431	45,35
B432	49,32
B433	49,33
B434	49,34
B435	38,39
B436	39,39
B437	39,36
B438	39,37
B439	39,38
B440	53,35
B441	53,36
B442	53,37
B443	54,35
B444	55,35
B445	57,35
B446	57,36
B447	57,37
B448	57,38
B449	57,39
B450	57,40
B451	57,41
B452	57,42
B453	57,44
B454	57,45
B455	34,58
B456	34,59
B457	34,60
B458	34,61
B459	34,62
B460	34,63
B461	27,58
B462	26,59
B463	27,59
B464	24,61
B465	24,62
B466	24,63
B467	24,64
B468	24,65
B469	24,66
B470	22,70
B471	23,70
B472	25,69
B473	26,69
B474	27,69
B475	29,69
B476	26,70
B477	26,71
B478	26,72
B479	26,73
B480	26,74
B481	26,75
B482	34,66
B483	34,67
B484	34,68
B485	34,69
B486	21,71
B487	21,72
B488	21,73
B489	19,76
B490	19,77
B491	19,78
B492	20,79
B493	21,79
B494	22,79
B495	23,79
B496	24,79
B497	25,79
B498	25,80
B499	25,81
B500	25,82
B501	25,83
B502	22,83
B503	23,83
B504	24,83
B505	11,83
B506	12,83
B507	13,83
B508	14,83
B509	15,83
B510	16,83
B511	17,83
B512	18,83
B513	19,83
B514	11,84
B515	11,85
B516	10,77
B517	11,77
B518	11,78
B519	11,80
B520	11,81
B521	11,82
B522	11,70
B523	11,71
B524	11,72
B525	11,73
B526	11,74
B527	11,75
B528	11,76
B529	9,64
B530	9,65
B531	9,66
B532	9,67
B533	9,68
B534	7,59
B535	7,60
B536	7,61
B537	4,59
B538	5,59
B539	6,59
B540	7,63
B541	7,64
B542	4,64
B543	5,64
B544	6,64
B545	2,59
B546	3,59
B547	2,56
B548	2,57
B549	2,58
B550	3,69
B551	4,69
B552	5,69
B553	6,69
B554	7,69
B555	8,69
B556	34,70
B557	60,47
B558	60,48
B559	60,49
B560	60,50
B561	60,51
B562	60,52
B563	60,53
B564	64,51
B565	64,52
B566	64,53
B567	65,51
B568	68,51
B569	70,54
B570	60,55
B571	60,56
B572	60,57
B573	60,58
B574	60,59
B575	60,60
B576	60,61
B577	61,60
B578	62,60
B579	65,60
B580	65,61
B581	65,62
B582	65,63
B583	65,64
B584	65,65
B585	65,66
B586	65,67
B587	65,68
B588	65,69
B589	65,70
B590	65,71
B591	65,72
B592	65,73
B593	65,74
B594	66,74
B595	67,71
B596	68,71
B597	69,71
B598	70,71
B599	59,62
B600	59,63
B601	59,64
B602	59,65
B603	59,66
B604	59,67
B605	59,68
B606	59,69
B607	59,71
B608	59,72
B609	59,73
B610	59,74
B611	59,75
B612	59,76
B613	59,77
B614	59,78
B615	51,80
B616	52,80
B617	53,80
B618	54,80
B619	55,80
B620	69,63
B621	70,63
B622	71,63
B623	72,63
B624	75,63
B625	76,63
B626	77,63
B627	77,62
B628	77,64
B629	77,67
B630	80,69
B631	75,76
B632	75,75
B633	75,69
B634	75,70
B635	75,71
B636	76,69
B637	78,62
B638	79,62
B639	80,62
B640	81,62
B641	82,62
B642	83,62
B643	84,62
B644	85,62
B645	86,62
B646	87,62
B647	88,62
B648	89,62
B649	92,62
B650	93,62
B651	94,62
B652	95,62
B653	96,62
B654	97,62
B655	98,62
B656	98,82
B657	98,83
B658	97,83
B659	95,84
B660	95,87
B661	96,87
B662	97,87
B663	97,88
B664	98,88
B665	90,87
B666	91,87
B667	92,87
B668	93,87
B669	94,87
B670	81,87
B671	82,87
B672	83,87
B673	84,87
B674	85,87
B675	86,87
B676	87,87
B677	84,88
B678	84,89
B679	84,90
B680	81,88
B681	81,89
B682	81,90
B683	81,91
B684	81,92
B685	81,94
B686	81,95
B687	81,96
B688	81,97
B689	75,77
B690	75,78
B691	75,80
B692	75,81
B693	75,82
B694	75,83
B695	75,84
B696	75,86
B697	78,87
B698	78,88
B699	78,89
B700	78,90
B701	78,91
B702	78,92
B703	78,93
B704	73,95
B705	74,95
B706	75,95
B707	76,95
B708	77,95
B709	78,95
B710	72,95
B711	72,91
B712	72,92
B713	72,93
B714	72,94
B715	78,94
B716	80,98
B717	81,98
B718	75,96
B719	68,95
B720	70,95
B721	71,95
B722	61,95
B723	62,95
B724	63,95
B725	64,95
B726	65,95
B727	66,95
B728	67,95
B729	64,99
B730	61,94
B731	56,94
B732	57,94
B733	58,94
B734	59,94
B735	58,93
B736	58,89
B737	58,90
B738	58,91
B739	59,90
B740	60,90
B741	61,90
B742	60,88
B743	60,89
B744	70,84
B745	71,84
B746	72,84
B747	73,84
B748	74,84
B749	67,84
B750	68,84
B751	69,84
B752	67,85
B753	67,86
B754	53,94
B755	54,94
B756	55,94
B757	47,95
B758	48,95
B759	49,95
B760	50,95
B761	46,92
B762	48,92
B763	49,92
B764	49,87
B765	49,88
B766	49,89
B767	49,90
B768	49,91
B769	50,89
B770	38,92
B771	39,92
B772	40,92
B773	41,92
B774	38,93
B775	38,94
B776	34,92
B777	33,97
B778	28,95
B779	29,95
B780	30,95
B781	31,95
B782	32,95
B783	28,96
B784	71,54
B785	72,54
B786	73,54
B787	74,54
B788	75,54
B789	76,54
B790	77,54
B791	78,54
B792	79,54
B793	79,55
B794	79,52
B795	80,52
B796	81,52
B797	81,51
B798	79,53
B799	63,42
B800	63,43
B801	63,44
B802	63,45
B803	63,29
B804	63,30
B805	63,31
B806	63,32
B807	63,33
B808	63,34
B809	63,35
B810	63,36
B811	63,37
B812	63,22
B813	63,23
B814	63,24
B815	63,25
B816	63,26
B817	63,28
B818	63,16
B819	63,17
B820	63,18
B821	63,19
B822	63,20
B823	63,21
B824	57,20
B825	58,20
B826	59,20
B827	60,20
B828	61,20
B829	62,20
B830	56,20
B831	46,23
B832	46,24
B833	46,25
B834	46,27
B835	46,28
B836	46,29
B837	46,30
B838	47,25
B839	46,18
B840	46,19
B841	46,20
B842	47,18
B843	41,21
B844	42,21
B845	43,21
B846	44,21
B847	45,21
B848	36,21
B849	37,21
B850	38,21
B851	39,21
B852	36,20
B853	35,21
B854	35,22
B855	35,23
B856	35,27
B857	36,27
B858	29,22
B859	30,22
B860	31,22
B861	32,22
B862	33,22
B863	34,22
B864	25,32
B865	25,33
B866	25,34
B867	25,35
B868	25,36
B869	25,37
B870	26,32
B871	27,30
B872	27,31
B873	21,37
B874	22,37
B875	23,37
B876	24,37
B877	17,36
B878	14,36
B879	14,37
B880	14,38
B881	14,39
B882	14,40
B883	14,41
B884	9,41
B885	10,41
B886	11,41
B887	12,41
B888	13,41
B889	12,38
B890	13,38
B891	11,42
B892	11,44
B893	11,45
B894	11,46
B895	8,46
B896	9,46
B897	10,46
B898	5,47
B899	5,48
B900	6,51
B901	7,51
B902	8,51
B903	9,51
B904	2,38
B905	2,39
B906	2,40
B907	3,38
B908	4,38
B909	5,38
B910	6,38
B911	7,35
B912	8,35
B913	9,35
B914	10,35
B915	11,35
B916	12,35
B917	13,35
B918	7,34
B919	7,30
B920	7,31
B921	7,25
B922	7,26
B923	7,27
B924	7,22
B925	7,23
B926	3,22
B927	5,22
B928	6,22
B929	24,16
B930	24,17
B931	24,18
B932	24,19
B933	24,20
B934	24,21
B935	24,22
B936	21,17
B937	22,17
B938	23,17
B939	20,16
B940	14,17
B941	15,17
B942	16,17
B943	17,17
B944	24,11
B945	24,12
B946	24,13
B947	21,11
B948	22,11
B949	23,11
B950	23,8
B951	23,9
B952	23,10
B953	20,6
B954	21,6
B955	22,6
B956	20,4
B957	20,5
B958	16,3
B959	24,6
B960	25,6
B961	26,6
B962	27,6
B963	28,6
B964	28,1
B965	28,2
B966	28,3
B967	28,4
B968	29,3
B969	30,3
B970	31,3
B971	32,4
B972	32,9
B973	33,9
B974	33,7
B975	35,7
B976	46,5
B977	46,6
B978	46,7
B979	46,8
B980	46,9
B981	46,10
B982	46,11
B983	46,12
B984	46,13
B985	46,14
B986	46,15
B987	46,16
B988	46,17
B989	41,10
B990	42,10
B991	43,10
B992	44,10
B993	45,10
B994	45,5
B995	47,11
B996	48,11
B997	49,11
B998	50,11
B999	50,9
B1000	50,10
