t_no	u_no	p_no	t_seat	t_discount
74	8	235	F04,D01	1,1
75	10	202	D01,A06	0,0
76	7	71	A06,E01	1,1
77	5	113	E01,C06	0,0
78	10	268	C06,B10	2,2
79	8	262	B10,F09	0,0
80	6	38	F09,D04	1,1
81	2	100	D04,C01	2,2
82	1	223	C01,F02	0,0
83	10	38	F02,A03	0,0
84	8	31	A03	1
85	2	43	A04	0
86	8	57	F10	0
87	9	212	C01	1
88	5	50	C06	0
89	5	222	D03	0
90	5	231	F08,A04	0,0
91	4	196	A04,A06	1,1
92	8	102	A06,B10	0,0
93	2	275	B10	0
94	9	200	D03,B02	0,0
95	6	40	B02	0
96	3	88	E07,A02	0,0
97	7	189	A02,E06	0,0
98	2	162	E06	0
99	7	219	C08,C05	0,0
100	5	72	C05,B01	0,0
101	9	179	B01,E07	0,0
102	10	161	E07	0
103	6	195	F03,B09	0,0
104	1	205	B09,E03	1,1
105	4	221	E03,E06	0,0
106	2	262	E06	0
107	8	136	A07,A03	0,0
108	10	12	A03,C02	0,0
109	6	199	C02,E08	0,0
110	9	159	E08,E10	0,0
111	4	279	E10,C03	0,0
112	5	248	C03,C07	0,0
113	2	253	C07,C02	0,0
114	10	108	C02	0
115	3	69	F08	0
116	2	283	F04	0
117	6	165	E09	0
118	4	78	B05	1
119	4	96	B02	0
120	3	159	F08	0
121	10	154	B02,B02	0,0
122	7	67	B02	0
123	2	269	F01,B06	0,0
124	1	220	B06,E06	0,0
125	8	73	E06,E04	0,0
126	2	217	E04,D01	1,1
127	2	56	D01	0
128	5	259	F06	0
129	1	20	A02,E01	0,0
130	9	211	E01	0
131	4	148	C01,E03	0,0
132	10	155	E03,C05	0,0
133	2	254	C05	0
134	3	33	E06,A09	0,0
135	2	195	A09,F06	0,0
136	7	171	F06,D08	0,0
137	3	69	D08	1
138	3	49	F10	0
139	9	8	B09,C03	1,1
140	7	22	C03,A09	0,0
141	10	27	A09,C08	1,1
142	5	183	C08,A02	0,0
143	1	254	A02	0
144	7	85	B01,D09	0,0
145	1	140	D09,F04	1,1
146	8	21	F04	0
147	10	182	C06	0
148	2	19	B02	0
149	3	220	A09	0
150	5	237	A08	0
151	9	236	A05	0
152	1	6	C10	2
153	9	209	E09	0
154	10	187	A05,B05	0,0
155	6	254	B05,A08	0,0
156	9	199	A08,C10	1,1
157	4	57	C10	0
158	5	222	E03	0
159	9	115	A05,E02	0,0
160	3	169	E02,C07	2,2
161	7	234	C07,F05	0,0
162	8	257	F05	0
163	6	87	D08	0
164	10	290	F03,D02	0,0
165	5	57	D02	0
166	5	201	E04	1
167	2	240	C03	0
168	4	24	F01,D03	0,0
169	8	163	D03,F06	1,1
170	9	63	F06	0
171	1	90	D09,C07	1,1
172	6	62	C07,F06	0,0
173	7	47	F06	0
174	2	32	C08	0
175	5	199	D04,D10	1,1
176	4	234	D10,E07	0,0
177	4	35	E07	1
178	3	181	A09,A05	1,1
179	7	281	A05	0
180	6	232	B02,F07	0,0
181	5	290	F07	0
182	8	98	F10,E02	0,0
183	8	253	E02,E03	0,0
184	1	182	E03	0
185	4	217	E05,F02	0,0
186	6	237	F02	0
187	10	95	E07,E09	1,1
188	6	189	E09	0
189	3	26	A02	0
190	2	289	D08	0
191	5	123	C04,B02	0,0
192	6	165	B02	0
193	7	70	D10	0
194	4	26	A01	0
195	8	118	F08,C08	0,0
196	9	175	C08,A09	2,2
197	4	48	A09	1
198	7	152	C07,F02	0,0
199	1	221	F02,D10	0,0
200	9	107	D10,D10	0,0
201	9	66	D10	0
202	4	122	F07	0
203	8	11	B06	2
204	3	197	F04	1
205	10	138	C01,B10	0,0
206	8	280	B10	1
207	6	37	C09,D09	0,0
208	8	4	D09	0
209	3	249	F02,F02	0,0
210	2	202	F02,F10	1,1
211	1	66	F10,E02	0,0
212	4	199	E02,E05	0,0
213	2	191	E05	0
214	3	29	E04	0
215	7	7	B08	0
216	4	141	B08,A07	0,0
217	2	164	A07,D05	0,0
218	5	77	D05	0
219	6	174	A06	0
220	3	60	E03	0
221	2	26	B08	0
222	9	207	C09,B07	0,0
223	1	165	B07	0
224	10	196	A04	0
226	6	131	E04	0
227	4	3	B10,F05	1,1
228	1	222	F05,C06	0,0
229	5	181	C06,F09	0,0
230	2	18	F09	0
231	3	93	E04	1
232	9	63	A08,B06	0,0
233	8	96	B06,F10	0,0
234	10	58	F10,A07	1,1
235	7	235	A07,D10	1,1
236	9	92	D10	1
237	4	179	B05	1
238	3	30	D03,F10	0,0
239	5	53	F10	0
240	1	40	C01	0
241	10	12	E08,C04	0,0
242	5	273	C04	0
243	9	248	F05	0
244	5	209	F10,E06	0,0
245	10	288	E06	0
246	7	9	F01,A07	0,0
247	7	123	A07	0
248	4	101	E06,D08	0,0
249	5	195	D08,D01	0,0
250	7	229	D01,E01	0,0
251	4	49	E01,A07	0,0
252	7	258	A07,F08	1,1
253	10	68	F08,E02	0,0
254	8	47	E02,C01	2,2
255	8	98	C01	0
256	7	45	C10,B09	0,0
257	3	184	B09	0
258	2	118	B04,C04	0,0
259	6	181	C04	0
260	4	50	A05	0
261	5	138	D10,E04	0,0
262	2	29	E04	0
263	6	177	A06	1
264	1	263	B01,E09	2,2
265	2	135	E09,A03	0,0
266	8	293	A03	1
267	5	2	A03,E05	0,0
268	2	123	E05	0
269	4	92	B05,C03	1,1
270	2	236	C03	2
271	4	41	E09	0
272	9	20	D02	0
273	3	17	F05,E06	0,0
274	4	119	E06	0
275	6	286	C08,C05	1,1
276	9	27	C05,D05	0,0
277	8	33	D05	0
278	9	209	E04	1
279	1	32	A05	0
280	6	116	E04,C01	0,0
281	2	255	C01	0
282	2	159	A02,F02	0,0
283	9	8	F02	0
284	5	292	D03	1
285	3	206	E07	0
286	5	110	C08	0
287	6	190	C06	0
288	10	83	A06	0
289	2	185	C05,D02	0,0
290	8	219	D02	0
291	2	109	A10,F04	0,0
292	7	92	F04	0
294	9	21	C09,D06	0,0
295	2	245	D06	0
296	7	130	F01,A09	0,0
297	4	146	A09	0
298	9	98	C07	0
299	10	88	A03	0
300	2	180	E06	0
301	10	162	E06,B10	0,0
302	1	5	B10,C06	1,1
303	9	246	C06	2
304	5	1	C01,A09	0,0
305	7	104	A09,A10	0,0
306	7	40	A10,E06	0,0
307	2	67	E06	0
308	1	283	E10	0
309	2	217	A05	0
310	7	229	C08	0
311	3	84	D02	0
312	7	16	F10	0
313	8	116	D02	1
314	10	147	E08	0
315	6	63	F08	1
316	7	145	F04	0
317	9	226	B03,C06	0,0
318	9	139	C06	0
319	6	225	E07,C07	0,0
320	1	34	C07	0
321	3	94	D09	0
322	7	165	D02,E07	2,2
323	1	3	E07,A02	0,0
324	3	92	A02	0
325	5	92	A03	0
326	8	49	F01	0
327	9	156	B03	0
328	4	167	C10,E10	0,0
329	3	281	E10,B03	2,2
330	2	95	B03	0
331	4	293	C02	0
332	2	36	F03,E05	1,1
333	3	67	E05	0
334	8	96	D02,C10	1,1
335	10	46	C10	0
336	9	195	B01,D03	1,1
337	6	225	D03	0
338	5	156	D08,A01	0,0
339	3	268	A01	0
340	4	103	F05	0
341	9	152	A09	0
342	5	281	B05,D05	0,0
343	8	220	D05	0
344	1	235	F05	0
345	2	62	A04	0
346	6	112	A05,B01	0,0
347	8	73	B01	0
348	10	172	B10	0
349	9	258	D05,E02,B03	0,0,0
350	6	115	E02	0
351	9	126	B03	0
352	4	272	F04,E03	1,1
353	8	94	E03	0
354	1	294	E08,E08	0,0
355	8	138	E08	0
356	6	67	C08,A08	0,0
357	7	294	A08	0
358	6	275	D07	0
359	6	9	C09,E07	0,0
360	1	271	E07,A05	0,0
361	10	39	A05	0
362	6	55	D06,D08	0,0
363	9	195	D08,E04	1,1
364	7	274	E04,C03,F07	0,0,0
365	7	205	C03,F07	1,1
366	8	247	F07,E04	0,0
367	9	63	E04,A04	0,0
368	9	237	A04,D10,F07	0,0,0
369	8	272	D10,F07	0,0
370	1	87	F07	0
371	4	174	C04,A08	1,1
372	1	286	A08,E05	0,0
373	10	231	E05,C08,F06	0,0,0
374	8	78	C08,F06	1,1
375	1	82	F06	0
376	4	186	F07,F07	0,0
377	6	26	F07,F07	2,2
378	1	129	F07	0
379	10	30	C01	0
380	5	91	F04,F02,E08	0,0,1
381	8	90	F02	0
382	1	177	E08,F02	0,0
383	9	20	F02	0
384	1	256	F01,B06,D08	0,1,0
385	5	152	B06,D08	0,0
386	3	92	D08	0
387	2	202	B09	0
388	2	92	F09	1
389	9	253	F02,F10	0,0
390	9	156	F10	0
391	6	42	B01,E06	0,0
392	3	275	E06,C10	1,1
393	10	39	C10,F03,B07	1,0,0
394	4	286	F03	0
395	2	22	B07,A09,C02	0,0,0
396	2	266	A09,C02,A10	0,0,0
397	3	87	C02	0
398	4	209	A10	0
399	10	1	F05,E04	0,0
400	5	83	E04	0
401	10	230	C09,B05	1,1
402	1	185	B05,E03	1,1
403	4	118	E03,C04,E08	0,0,0
404	9	169	C04,E08,E10	0,0,0
405	2	63	E08,E10	1,1
406	6	208	E10	0
407	5	223	B02	0
408	6	281	D08	1
409	8	79	F07	0
410	7	29	A09,A06	0,0
411	7	26	A06	1
412	9	83	E04,D09	0,0
413	2	9	D09,E02	1,1
414	2	137	E02,C05	0,0
415	2	202	C05,F02	0,0
416	10	259	F02	0
417	8	6	A05,E05	0,0
418	8	77	E05,A09	0,0
419	3	289	A09	0
420	3	6	D07,C06	0,0
421	7	6	C06,F06	0,0
422	4	60	F06,D03	0,0
423	1	269	D03,C10	0,0
424	8	28	C10,F04	0,0
425	10	41	F04	0
426	7	10	A07,F08	0,0
427	5	68	F08,A08	0,0
428	1	48	A08,E03	0,0
429	1	80	E03,D09	0,0
430	3	272	D09,C09	0,0
431	6	7	C09	0
432	6	111	B08,F05	0,0
433	1	55	F05,A06	1,1
434	10	48	A06	1
435	2	230	F04,C05	2,2
436	3	126	C05	0
437	10	252	B10	0
438	3	279	A06,E01	0,0
439	7	194	E01,E04	0,0
441	8	47	E04,B03	2,2
442	5	252	B03,D07	0,0
443	6	183	D07,B08	0,0
444	10	176	B08,B04	0,0
445	4	21	B04	0
446	10	140	D02,A10	1,1
447	7	142	A10,D05	0,0
448	4	200	D05,F07	0,0
449	9	47	F07,F05	0,0
450	4	6	F05	0
451	4	65	A07,E04	1,1
452	5	57	E04	2
453	9	135	B02,A06	0,0
454	7	41	A06,C07	0,0
455	5	249	C07,E07	1,1
456	1	133	E07	0
457	10	114	B01,E02	0,0
458	3	2	E02,E05	1,1
459	4	177	E05	0
460	6	73	F05,B05	0,0
461	8	36	B05,A01	1,1
462	10	6	A01,C05	0,0
463	8	124	C05,C02	1,1
464	8	106	C02	2
465	6	67	D08,A08	0,0
466	2	113	A08,C09	0,0
467	7	212	C09,F08	2,2
468	9	90	F08	0
469	7	214	E01,F01	0,0
470	10	49	F01,F04	0,0
471	8	71	F04	0
472	6	150	C02,C07	0,0
473	9	195	C07,C05	0,0
474	2	97	C05	2
475	3	125	A05,C08	0,0
476	7	49	C08,A09	0,0
477	7	291	A09,B07	0,0
478	6	89	B07,B10	0,0
479	6	286	B10	0
480	10	9	A03	0
481	4	69	A03,A07	1,1
482	2	255	A07,B08	0,0
483	2	44	B08	0
484	9	79	D04,A03	0,0
485	3	28	A03,D03	0,0
486	5	235	D03,A05	0,0
487	1	187	A05,C02	0,0
488	4	193	C02,F02	0,0
489	8	100	F02,E02	2,2
490	10	280	E02,A01	0,0
491	3	113	A01,A10	0,0
492	4	39	A10	0
493	7	78	B07,C07	0,0
494	7	290	C07,F08	0,0
495	1	250	F08,A03	1,1
496	7	205	A03,B06	0,0
497	6	227	B06,F08	0,0
498	9	58	F08,B09	0,0
499	10	85	B09,B08	0,0
500	7	213	B08	0
501	3	277	A03,B05	1,1
502	8	192	B05,E07	0,0
503	7	272	E07	1
504	4	103	F01,B08	2,2
505	4	103	B08,C03	0,0
506	2	71	C03,D01	0,0
507	10	233	D01,B06	0,0
508	3	275	B06,D04	0,0
509	2	37	D04	0
510	8	14	A04,F04	2,2
511	9	243	F04,C08	1,1
512	5	240	C08,A02	0,0
513	7	144	A02,E07	0,0
514	1	152	E07	1
515	5	238	F07,D02	0,0
516	10	155	D02,D03	0,0
517	5	64	D03,C07	1,1
518	2	292	C07	0
519	9	18	C04,E01	0,0
520	4	195	E01,F05	0,0
521	4	143	F05	0
522	9	199	F01	0
523	6	296	F09,C07	0,0
524	10	146	C07,D10	0,0
525	1	102	D10	2
526	2	112	F06	0
527	9	109	C10,A08	1,1
528	10	28	A08	0
529	3	280	A03	0
530	7	81	D10,F10	0,0
531	1	280	F10,E09	0,0
532	9	126	E09,C02	0,0
533	8	130	C02,A01	2,2
534	6	176	A01	0
535	4	128	D03,B01	0,0
536	9	28	B01,D09	0,0
537	1	64	D09	0
538	6	209	A07,A08	0,0
539	6	3	A08,F03,B05	0,0,1
540	10	8	F03,B05	0,0
541	8	14	B05,D10,D03	0,1,0
542	7	184	D10,D03,D10	1,0,1
543	4	251	D03	0
544	7	151	D10	1
545	2	202	E01,E08,B03	0,1,0
546	2	62	E08,B03	0,0
547	3	292	B03,A06	0,0
548	4	227	A06,B01,F03	1,0,0
549	4	246	B01	0
550	3	258	F03,D01	0,0
551	9	93	D01,C10	2,2
552	2	224	C10,E07	0,0
553	6	70	E07,A01,F07,F02	0,0,0,0
554	9	31	A01,F07,F02,D09	0,0,0,0
555	3	258	F07	1
556	5	258	F02,D09	1,1
557	8	144	D09,A06,C07,F10	0,0,0,0
558	4	5	A06,C07	0,0
559	7	34	C07	0
560	1	11	F10,F04,F09	0,0,0
561	10	92	F04,F09,B05,F05	0,0,0,1
562	10	293	F09,B05,F05,A01	0,0,1,0
563	1	188	B05,F05	0,0
564	1	95	F05,A01	0,0
565	5	78	A01,B07,A10,B04	0,1,0,0
566	5	199	B07,A10	0,0
567	5	167	A10,B04	0,0
568	6	238	B04,D04	1,1
569	5	80	D04	0
570	2	40	E01,B10	0,0
571	3	284	B10,C01,C02,E01	1,0,0,0
572	1	197	C01,C02	0,0
573	3	7	C02	0
574	7	158	E01,A04,E03,C05	0,0,0,0
575	2	29	A04,E03	0,0
576	9	142	E03,C05,E05	0,0,0
577	8	158	C05,E05,D08	0,0,0
578	7	171	E05	0
579	10	180	D08,C06,F02,C04	0,0,0,0
580	9	100	C06,F02,C04,C09	0,0,0,0
581	6	228	F02	0
582	1	47	C04,C09,B06	0,0,1
583	5	248	C09,B06	0,0
584	5	280	B06,B07	1,1
585	6	42	B07	1
586	7	37	A10	0
587	4	200	C04	0
588	6	69	F03,C08	0,0
589	8	154	C08,F03	0,0
590	10	77	F03,C08	0,0
591	6	231	C08,E03	1,1
592	6	245	E03,A07	0,0
593	5	89	A07,A01	0,0
594	3	94	A01	0
595	7	216	E08,F09	0,0
596	5	156	F09	0
597	3	28	E08,E09,B08	0,1,0
598	7	3	E09,B08,A07	1,0,0
599	3	27	B08,A07,A10	0,0,0
600	10	202	A07,A10,E02	0,0,0
601	9	273	A10	1
602	2	72	E02,F04,E04,C08	0,0,0,0
603	5	14	F04,E04	0,0
604	9	221	E04,C08	1,1
605	7	106	C08,D03	1,1
606	1	225	D03,D02,E08,E10	0,0,0,0
607	1	71	D02	0
608	3	36	E08	0
609	7	8	E10	0
610	6	211	A09	0
611	7	128	C05,A06,F04	0,0,0
612	3	4	A06,F04	0,0
613	2	207	F04	0
614	10	127	D10,F10	0,0
615	2	125	F10	0
616	6	149	D02	0
617	4	107	F03	0
618	4	222	C07,A06	0,0
619	4	252	A06,A03	0,0
620	6	206	A03	0
621	7	138	A01	0
622	9	95	F07	0
623	9	220	A06	1
624	7	49	B06,F03	0,0
625	3	294	F03,C09	0,0
626	10	73	C09,A02,E06	0,0,0
627	9	124	A02,E06,B05	0,0,0
628	8	148	E06,B05,A08	0,0,0
629	2	191	B05,A08	0,0
630	7	167	A08,F02	0,0
631	8	33	F02	0
632	1	100	F03,F01	0,0
633	8	84	F01,B07	0,0
634	7	173	B07,E09,D10	0,0,1
635	6	169	E09,D10	0,0
636	7	47	D10	0
637	10	177	F09	0
638	6	35	F09	1
639	4	68	F09,F03	0,0
640	2	84	F03	0
641	5	125	B04,A03,E04	0,1,0
642	10	206	A03,E04	2,2
643	4	8	E04,F02	0,0
644	9	236	F02	0
645	4	116	A05,F03,B07	1,0,0
646	2	90	F03	0
647	3	88	B07	0
648	6	289	C09	2
649	8	55	B03	0
650	6	291	A05	0
651	10	145	D08,C01,C03	0,0,0
652	9	70	C01	0
653	1	72	C03,C03,C03	0,0,1
654	7	250	C03	0
655	3	136	C03,B05	0,0
656	7	100	B05,F05,A09	0,1,1
657	10	197	F05	0
658	8	9	A09	0
659	8	256	E03	0
660	3	188	B07,E01	0,0
661	6	75	E01,B05	0,0
662	7	216	B05,E07,D02,E08,C01	1,0,0,0,0
663	8	164	E07,D02,E08,C01,E05	0,0,0,0,0
664	5	231	D02,E08,C01	1,1,0
665	4	200	E08,C01,E05	1,0,1
666	9	193	C01,E05	0,0
667	1	29	E05	0
668	4	126	C05,B09	0,0
669	3	283	B09	0
670	8	126	B08,D01	0,0
671	1	118	D01	0
672	2	158	E06,C07	0,0
673	2	296	C07	0
674	9	8	E06,C02	0,0
675	3	139	C02	0
676	7	247	F01	0
677	9	234	F09	1
678	9	67	E02,E01,E09	0,1,1
679	1	85	E01	0
680	8	104	E09,D05,D06	1,1,0
681	6	98	D05	1
682	1	33	D06,B03	0,0
683	9	141	B03	0
685	9	138	B08,B08	0,0
686	2	194	B08,F02	0,0
687	4	11	F02,F04,A10	1,0,1
688	2	134	F04,A10	0,0
689	3	92	A10,A06	0,0
690	2	177	A06,C01	0,0
691	6	154	C01	0
692	10	33	E01,F03	0,0
693	2	239	F03,E10	0,0
694	6	100	E10	0
695	9	211	F05	0
696	9	154	A08	0
697	9	97	F06,D03,D01	0,1,0
698	10	213	D03,D01	0,0
699	4	213	D01	0
700	3	287	E02,F09	0,0
701	4	207	F09	2
702	1	60	C03,B01	0,0
703	1	24	B01,F10,E04	1,0,0
704	6	19	F10,E04,D07	0,0,0
705	6	125	E04,D07	0,0
706	9	6	D07,F05	0,0
707	4	39	F05,B08	1,1
708	1	121	B08,B02	0,0
709	9	110	B02,D10	0,0
710	1	188	D10	1
711	10	176	A08	0
712	10	255	D02,E10	0,0
713	2	205	E10	0
714	10	86	D08,C09,C03	0,0,0
715	10	292	C09,C03	0,0
716	4	250	C03	1
717	10	85	D08,E07	0,0
718	2	195	E07,E10	1,1
719	1	79	E10,B05	0,0
720	10	179	B05,C04	0,0
721	2	251	C04,E09,B05	0,0,0
722	6	231	E09	0
723	8	272	B05,B04	0,0
724	9	181	B04	0
725	10	3	E06	0
726	3	82	C04	0
727	4	59	F01	0
728	6	283	E03	0
729	1	146	E06,E08,E04	0,0,2
730	6	101	E08	0
731	7	275	E04,A04,D01	0,2,0
732	8	284	A04	0
733	7	194	D01,B01,F01	2,0,0
734	7	141	B01,F01	0,0
735	10	238	F01,B02,D01	0,0,0
736	9	50	B02	0
737	10	20	D01,D03	0,0
738	7	34	D03	0
739	7	198	C08,E04	1,1
740	5	57	E04	1
741	1	244	E02,B05,B01	0,0,0
742	2	21	B05,B01,E02	0,0,0
743	3	204	B01	0
744	7	186	E02	0
745	9	2	E09	2
746	9	80	A07	0
747	7	70	D08,E07,C05	0,0,0
748	5	140	E07,C05	0,0
749	7	103	C05	0
750	2	240	E08,F09,C08	0,0,2
751	8	23	F09,C08	1,1
752	1	39	C08,E08,E06	0,2,0
753	5	264	E08	1
754	3	279	E06,F04	0,0
755	2	74	F04	0
756	7	41	D03,F09,B07	2,0,0
757	10	230	F09	0
758	8	202	B07	1
759	6	163	B04,C07	0,0
760	6	59	C07	0
761	3	264	E04	0
762	7	225	D02,F08,D08	0,0,0
763	7	57	F08	0
764	6	148	D08	2
765	7	242	C09,C03	0,0
766	5	211	C03	1
767	5	49	D05,D06	0,0
768	3	10	D06	0
769	7	267	D10	2
770	9	131	D03	0
771	6	179	C03,B06,A08	0,0,2
772	9	199	B06,A08	0,0
773	6	241	A08	0
774	1	17	D10,D04,A04	0,2,0
775	7	67	D04,A04	0,0
776	3	250	A04,A10,B06	2,0,0
777	10	194	A10	1
778	7	24	B06	0
779	6	243	E05	1
780	4	194	E02	0
781	10	173	D06	1
782	6	215	B09,F08,F03	0,0,0
783	4	154	F08,F03,C06	0,0,0
784	10	99	F03,C06,A05	0,0,0
785	5	159	C06,A05	0,0
786	5	264	A05,A08	0,0
787	10	71	A08,A02	0,0
788	2	40	A02,B10	1,1
789	4	85	B10,A01	0,0
790	5	259	A01,A10	0,0
791	6	128	A10,B03	0,0
792	3	100	B03,F08	0,0
793	2	196	F08,B09	0,0
794	4	251	B09,C01	0,0
795	8	191	C01	0
796	4	271	C02	0
797	8	260	C09,D07	0,0
798	7	167	D07,C04	0,0
799	5	12	C04	0
800	4	196	D10	0
801	7	83	C01,F08	0,0
802	9	198	F08	0
803	3	62	F02	0
804	9	41	A05,E06	0,0
805	6	212	E06,F03	0,0
806	9	113	F03,C01	0,0
807	4	115	C01,A07	0,0
808	9	260	A07,D07	0,0
809	6	161	D07	0
810	4	240	D02,D06	0,0
811	7	286	D06,E08	1,1
812	5	265	E08,E07	0,0
813	10	234	E07,A07	0,0
814	7	6	A07,F08	0,0
815	5	80	F08	0
816	5	70	F05,B03	0,0
817	3	10	B03	0
818	7	296	A07	0
819	9	67	F07	0
820	7	247	A05	0
821	3	29	D09	0
822	1	179	D02,A09	0,0
823	5	48	A09,A08	0,0
824	8	158	A08	0
825	8	138	C04	0
826	6	276	D04,F04	1,1
827	8	96	F04	0
828	7	282	D03,E01	0,0
829	1	250	E01	0
830	2	228	A05	0
831	1	157	E08,D10	0,0
832	1	251	D10,E07	0,0
833	7	12	E07,A09	0,0
834	5	63	A09	0
835	9	98	E09,B09	0,0
836	8	8	B09,B05	0,0
837	9	35	B05	0
838	3	160	D05,A01	0,0
839	2	214	A01,E09	0,0
840	6	41	E09	0
841	2	210	D09,B07	2,2
842	2	293	B07,B06	0,0
843	4	147	B06,A10	1,1
844	9	118	A10,C04	1,1
845	5	122	C04,E04	0,0
846	4	73	E04,A06	2,2
847	1	180	A06	0
848	7	243	F02,F06	2,2
849	7	42	F06,E10	1,1
850	1	220	E10,B06	0,0
851	6	47	B06,B08	2,2
852	10	166	B08,A06	2,2
853	10	233	A06	0
854	9	262	D08,E06	1,1
855	9	119	E06,B06	0,0
856	7	3	B06,B03	0,0
857	10	191	B03	0
858	10	172	F06,E05	0,0
859	2	79	E05	0
860	5	293	D05,C09	0,0
861	2	33	C09	0
862	3	203	A09,A02	0,0
863	8	30	A02	0
864	9	85	F09,E08	0,0
865	7	181	E08,C04	1,1
866	5	203	C04,A07	0,0
867	3	73	A07,D10	0,0
868	3	194	D10,D09	0,0
869	5	140	D09,F09	1,1
870	3	7	F09,B08	0,0
871	4	121	B08,B02	0,0
872	5	244	B02,A05	0,0
873	3	209	A05	0
874	6	156	B02,D10	0,0
875	9	82	D10,E07	1,1
876	7	183	E07,A05	0,0
877	4	48	A05,D09	1,1
878	5	133	D09	0
879	9	241	D05	0
880	10	91	F09,C09	0,0
881	9	238	C09	0
882	8	154	F04	0
883	4	271	A07	0
884	3	222	E07	0
885	3	162	F04	1
886	2	251	E10,A05	0,0
887	8	26	A05,C10	1,1
888	3	28	C10	0
890	3	276	F10	0
891	5	172	C07	0
892	9	152	B04	1
893	3	246	B06	0
894	8	191	C01,B05	1,1
895	2	150	B05	0
896	2	29	E07,E07	2,2
897	3	242	E07,E02	0,0
898	1	217	E02	0
899	8	27	D05,C08	0,0
900	2	29	C08,F03	0,0
901	2	39	F03	1
902	2	290	F04,D03	0,0
903	7	239	D03	0
904	1	14	C05,A02	0,0
905	8	103	A02,F09	0,0
906	3	185	F09	1
907	8	177	F05,D01	1,1
908	9	78	D01,D08	0,0
909	5	126	D08,D10	0,0
910	6	170	D10	0
911	7	207	B10,E02	1,1
912	9	243	E02,B05	0,0
913	1	79	B04,E02	0,0
914	3	83	E02,A10	0,0
915	6	279	A10,E01,A06	0,0,0
916	8	249	E01,A06	0,0
917	2	189	A06,D01	1,1
918	10	239	D01,F05	0,0
919	7	97	F05,D10	0,0
920	9	179	D10	0
