NO	OPTIONS	PRICE	RECEIPT_DETAIL
516	282	800	1265
517	285	100	1265
518	282	800	1272
519	286	100	1272
520	290	0	1273
521	281	0	1279
522	283	100	1279
523	290	0	1286
524	290	0	1289
525	292	1000	1290
526	281	0	1294
527	284	0	1294
528	294	0	1302
529	304	11000	1303
530	306	0	1303
531	295	0	1305
532	303	9000	1306
533	306	0	1306
534	299	0	1308
535	295	0	1309
536	299	0	1310
537	295	0	1312
538	304	11000	1313
539	305	0	1313
540	298	0	1314
541	299	0	1317
542	299	0	1320
543	294	0	1321
544	299	0	1324
545	295	0	1325
546	298	0	1327
547	314	3000	1331
548	319	3000	1331
549	321	0	1346
550	324	1800	1381
551	324	1800	1390
552	324	1800	1400
553	327	2500	1405
554	328	0	1405
555	333	0	1406
556	334	0	1406
557	327	2500	1413
558	329	800	1413
559	333	0	1414
560	334	0	1414
561	325	0	1416
562	328	0	1416
563	333	0	1419
564	334	0	1419
565	327	2500	1422
566	328	0	1422
567	327	2500	1424
568	328	0	1424
569	339	0	1426
570	340	0	1426
571	337	0	1429
572	340	0	1429
573	342	0	1430
574	346	700	1430
575	338	0	1432
576	340	0	1432
577	343	1000	1433
578	346	700	1433
579	339	0	1435
580	340	0	1435
581	349	1000	1436
582	339	0	1438
583	340	0	1438
584	342	0	1441
585	345	500	1441
586	343	1000	1445
587	346	700	1445
588	353	0	1447
589	354	0	1452
590	352	0	1460
591	358	12000	1532
592	356	0	1533
593	361	0	1571
594	362	0	1571
595	367	0	1571
596	369	0	1571
597	361	0	1574
598	364	0	1574
599	367	0	1574
600	369	0	1574
601	373	0	1576
602	374	0	1576
603	372	0	1592
604	374	0	1592
