SERIAL	USER	DEPARTURE	ARRIVE	PRICE	TIME	DATE	DISTANCE
627631	1	152	159	1080	7:19:05	2021-07-14	141
760968	4	42	71	1200	18:09:20	2021-07-14	103
916942	1	233	242	1080	14:23:55	2021-07-14	127
999932	2	231	139	1200	8:02:00	2021-07-14	162
367053	2	139	231	1200	17:54:30	2021-07-14	162
213496	7	66	204	1080	8:20:00	2021-07-14	137
704772	2	231	139	1200	7:52:00	2021-07-15	162
636275	6	65	123	1315	16:24:10	2021-07-15	263
717818	1	48	125	2097	17:46:25	2021-07-15	466
309011	7	232	243	1080	8:42:55	2021-07-16	147
210410	2	25	135	1200	15:25:00	2021-07-16	80
461877	2	59	53	1200	18:26:45	2021-07-17	171
116832	1	233	242	1080	14:23:55	2021-07-17	127
201783	6	252	211	1200	15:01:05	2021-07-17	164
520601	2	132	7	1685	16:56:10	2021-07-17	337
241780	6	1	63	3130	15:50:00	2021-07-17	626
913760	1	213	171	1080	13:43:35	2021-07-17	118
415647	3	230	129	1390	11:41:00	2021-07-18	278
624868	5	226	27	1080	8:04:15	2021-07-18	127
632130	4	12	117	1660	19:21:40	2021-07-18	332
630553	6	42	187	1315	7:27:15	2021-07-18	263
896477	4	41	194	1200	18:47:55	2021-07-18	210
483849	4	159	136	1200	7:30:50	2021-07-18	144
629285	1	169	243	1080	17:30:25	2021-07-19	100
576644	1	152	159	1080	7:19:05	2021-07-19	141
954597	3	230	129	1390	11:41:00	2021-07-19	278
932617	1	20	29	1080	7:01:10	2021-07-19	87
353125	1	48	125	2097	17:46:25	2021-07-20	466
514863	2	229	118	1545	10:50:00	2021-07-20	309
294042	1	131	128	1080	15:12:20	2021-07-20	38
990562	7	142	41	1080	8:08:40	2021-07-20	22
634220	2	139	231	1200	18:14:30	2021-07-21	162
417642	1	147	229	2552	17:24:00	2021-07-21	567
756012	5	226	27	1080	8:04:15	2021-07-21	127
559433	2	147	269	2805	16:00:00	2021-07-21	561
519856	2	231	139	1200	7:52:00	2021-07-22	162
510529	4	229	275	2140	19:50:00	2021-07-22	428
802605	1	230	137	1080	8:01:00	2021-07-22	195
636027	1	20	29	1080	7:01:10	2021-07-23	87
249606	6	62	228	5140	17:30:00	2021-07-23	1028
843205	1	159	152	1080	18:28:30	2021-07-23	141
035630	1	129	215	1080	11:25:05	2021-07-23	78
955465	6	173	245	1200	15:26:00	2021-07-23	133
786345	3	229	136	1200	15:50:00	2021-07-24	217
351309	1	159	152	1080	18:28:30	2021-07-24	141
334014	3	151	29	1345	15:29:20	2021-07-24	269
163654	1	220	31	1080	19:15:30	2021-07-24	77
866704	6	188	81	1395	17:00:00	2021-07-25	279
152735	1	232	145	1197	17:52:55	2021-07-25	266
101734	4	66	80	1210	17:50:00	2021-07-25	242
518755	2	231	139	1200	8:12:00	2021-07-25	162
807471	5	167	271	1080	18:20:40	2021-07-26	171
276380	3	259	120	1200	16:43:45	2021-07-26	202
437619	4	159	255	1200	16:42:50	2021-07-26	205
194191	4	152	241	1680	18:19:05	2021-07-26	336
805418	2	129	110	1200	15:10:05	2021-07-26	162
730213	3	122	214	1200	15:32:05	2021-07-26	172
360545	4	150	118	2200	9:03:15	2021-07-27	440
331470	2	231	139	1200	7:52:00	2021-07-27	162
015939	2	48	194	2190	15:36:25	2021-07-28	438
010075	3	245	1	2635	6:56:50	2021-07-28	527
502062	3	229	136	1200	15:50:00	2021-07-28	217
630317	2	29	31	1200	14:32:40	2021-07-28	17
748279	2	139	231	1200	18:29:30	2021-07-28	162
331715	6	62	228	5140	17:30:00	2021-07-28	1028
346522	4	229	137	1200	16:10:00	2021-07-29	207
972994	1	152	159	1080	7:19:05	2021-07-29	141
357077	1	46	107	1080	18:38:45	2021-07-30	178
663791	2	231	160	1530	15:22:00	2021-07-30	306
541759	5	66	204	1080	19:10:00	2021-07-30	137
970655	4	156	160	1200	7:02:50	2021-08-01	59
255849	3	269	188	2795	21:00:00	2021-08-01	559
143166	6	173	245	1200	15:26:00	2021-08-01	133
799490	3	65	107	1200	17:44:10	2021-08-01	118
576162	1	159	152	1080	18:16:30	2021-08-01	141
238469	6	62	98	6455	18:50:00	2021-08-01	1291
618014	4	159	213	1200	17:18:50	2021-08-01	148
256707	4	150	175	1945	11:03:15	2021-08-01	389
710182	2	136	148	1770	15:28:35	2021-08-02	354
925888	2	231	139	1200	8:02:00	2021-08-02	162
538759	1	104	51	1751	12:28:20	2021-08-02	389
910133	3	255	210	1200	9:27:20	2021-08-03	220
400694	2	226	128	1200	10:19:15	2021-08-03	204
535409	6	158	242	1200	8:17:45	2021-08-03	180
221956	3	151	192	3025	10:05:20	2021-08-04	605
680022	6	99	39	1200	18:47:20	2021-08-05	68
729037	7	66	204	1080	8:20:00	2021-08-05	137
235029	2	231	139	1200	7:52:00	2021-08-05	162
166442	4	193	80	1220	19:05:05	2021-08-05	244
858069	7	103	79	1080	17:49:15	2021-08-05	230
126897	6	108	34	1200	16:46:30	2021-08-05	111
388693	3	151	192	3025	10:05:20	2021-08-05	605
216112	3	136	171	1200	8:43:35	2021-08-06	114
521013	4	241	64	1200	8:05:40	2021-08-06	71
477643	6	99	39	1200	18:47:20	2021-08-06	68
366250	1	153	141	1454	15:33:15	2021-08-07	323
900657	3	159	136	1200	8:18:50	2021-08-07	144
595949	2	110	128	1200	16:23:10	2021-08-07	178
150977	4	66	80	1210	17:50:00	2021-08-07	242
170536	2	156	230	1885	18:38:50	2021-08-07	377
947721	4	12	117	1660	19:21:40	2021-08-07	332
774521	4	229	171	1555	19:50:00	2021-08-07	311
638805	1	124	249	1080	6:59:50	2021-08-08	74
715763	2	228	36	1305	8:00:00	2021-08-08	261
665930	5	151	230	2210	15:17:20	2021-08-08	491
939342	6	108	34	1200	16:46:30	2021-08-08	111
651118	4	150	252	1735	16:15:15	2021-08-08	347
319403	3	226	125	1200	16:49:15	2021-08-08	180
739482	1	159	152	1080	18:28:30	2021-08-09	141
236475	3	151	139	1685	18:17:20	2021-08-09	337
330770	2	147	269	2805	16:00:00	2021-08-10	561
437995	7	24	263	1121	12:04:35	2021-08-10	249
356086	4	150	118	2200	9:03:15	2021-08-10	440
450553	1	152	159	1080	7:19:05	2021-08-11	141
448331	1	29	34	1080	7:57:40	2021-08-11	46
948637	4	65	169	1200	20:04:10	2021-08-11	206
381119	5	66	204	1080	19:10:00	2021-08-11	137
222943	1	62	34	3573	15:50:00	2021-08-11	794
608897	4	159	213	1200	17:18:50	2021-08-12	148
139366	2	136	148	1770	15:28:35	2021-08-12	354
469511	2	132	7	1685	16:56:10	2021-08-13	337
571354	1	152	159	1080	7:19:05	2021-08-13	141
231332	3	236	128	1200	6:16:40	2021-08-13	226
904641	6	188	81	1395	17:00:00	2021-08-13	279
289324	1	159	152	1080	18:40:30	2021-08-13	141
109858	2	220	36	1200	15:30:30	2021-08-14	130
870523	1	104	51	1751	12:28:20	2021-08-14	389
873876	5	41	259	1256	20:48:40	2021-08-14	279
858441	1	99	63	1080	18:15:00	2021-08-15	91
746450	2	18	109	1300	15:49:05	2021-08-15	260
915042	6	147	231	2715	13:00:00	2021-08-15	543
506315	4	139	214	1200	17:31:00	2021-08-16	133
336446	5	210	121	1080	20:34:45	2021-08-16	119
959706	1	152	159	1080	7:19:05	2021-08-16	141
316937	3	259	120	1200	16:43:45	2021-08-16	202
950020	1	147	28	1526	16:36:00	2021-08-16	339
016180	6	17	27	1200	18:48:15	2021-08-16	109
158617	3	229	269	2480	15:40:00	2021-08-17	496
772385	4	159	136	1200	7:30:50	2021-08-17	144
410079	3	42	213	1200	10:07:15	2021-08-17	141
606091	4	17	130	1200	9:18:15	2021-08-17	160
046567	3	160	120	1200	16:55:45	2021-08-17	224
928615	4	34	184	1200	10:28:25	2021-08-17	227
502216	3	229	269	2480	15:40:00	2021-08-17	496
173273	4	159	255	1200	16:42:50	2021-08-18	205
362273	1	194	177	1161	17:36:20	2021-08-18	258
441767	7	103	79	1080	17:49:15	2021-08-19	230
818548	2	139	231	1200	18:14:30	2021-08-19	162
837440	4	99	170	1200	10:17:20	2021-08-19	202
928223	3	24	172	1200	9:34:35	2021-08-20	138
684309	1	152	159	1080	7:19:05	2021-08-20	141
916953	1	148	150	1080	13:25:20	2021-08-20	23
600832	1	152	159	1080	7:19:05	2021-08-20	141
534262	5	148	150	1080	13:25:20	2021-08-20	23
152920	4	193	80	1220	19:05:05	2021-08-20	244
069543	2	62	124	4555	20:00:00	2021-08-21	911
999279	6	142	187	1340	17:33:40	2021-08-21	268
680388	5	159	125	1080	7:06:50	2021-08-21	173
979643	5	155	1	2849	6:25:25	2021-08-21	633
570578	2	139	231	1200	18:39:30	2021-08-21	162
169578	1	131	179	1080	13:22:40	2021-08-21	164
232580	3	269	188	2795	21:00:00	2021-08-21	559
943586	1	147	229	2552	17:24:00	2021-08-21	567
504125	3	21	173	1200	16:22:05	2021-08-22	177
684320	1	142	65	1080	6:38:40	2021-08-22	76
962857	2	238	275	1630	15:39:00	2021-08-22	326
867765	1	42	263	1494	11:37:15	2021-08-22	332
399650	1	255	34	1080	13:37:20	2021-08-23	144
689614	6	136	251	1200	16:08:35	2021-08-23	97
932282	1	194	177	1161	17:36:20	2021-08-23	258
758557	4	229	171	1555	19:50:00	2021-08-23	311
291129	4	148	28	1615	17:49:20	2021-08-23	323
194511	2	228	37	1370	16:15:00	2021-08-23	274
841325	5	210	121	1080	20:34:45	2021-08-23	119
845007	4	150	175	1945	11:03:15	2021-08-24	389
228809	5	99	275	1530	16:00:00	2021-08-24	340
396014	4	50	46	1200	17:19:20	2021-08-24	233
870292	4	207	98	2855	17:25:10	2021-08-24	571
142891	2	231	139	1200	7:42:00	2021-08-24	162
429767	1	159	152	1080	18:40:30	2021-08-24	141
679847	2	62	60	1200	18:00:00	2021-08-25	55
765210	1	125	259	1080	14:20:30	2021-08-25	140
583245	2	139	231	1200	17:54:30	2021-08-25	162
498724	1	230	137	1080	11:11:00	2021-08-25	195
121106	7	1	137	2439	8:20:00	2021-08-26	542
824929	1	152	159	1080	7:19:05	2021-08-26	141
732340	2	17	171	1200	16:48:15	2021-08-26	199
542690	1	125	21	1080	22:36:00	2021-08-27	116
903087	5	99	103	1080	16:15:00	2021-08-27	73
396563	7	34	124	1080	17:15:00	2021-08-27	120
521255	1	101	257	1278	7:03:00	2021-08-28	284
662590	3	136	171	1200	8:43:35	2021-08-28	114
055158	1	159	152	1080	18:04:30	2021-08-28	141
625982	3	245	1	2635	6:56:50	2021-08-28	527
371414	1	119	244	1080	12:54:25	2021-08-28	214
384958	1	159	152	1080	18:40:30	2021-08-29	141
322894	4	187	118	1200	17:48:00	2021-08-29	173
234254	1	159	152	1080	18:16:30	2021-08-29	141
613528	4	229	275	2140	19:50:00	2021-08-29	428
905472	2	139	231	1200	18:29:30	2021-08-30	162
587516	6	252	211	1200	15:01:05	2021-08-30	164
624426	3	151	139	1685	18:17:20	2021-09-01	337
485293	1	159	152	1080	18:16:30	2021-09-01	141
960032	1	46	107	1080	18:38:45	2021-09-01	178
129243	7	232	243	1080	8:42:55	2021-09-01	147
221083	1	152	159	1080	7:19:05	2021-09-01	141
657983	1	152	159	1080	7:19:05	2021-09-01	141
019600	1	151	230	2210	6:41:20	2021-09-01	491
907365	3	159	136	1200	8:18:50	2021-09-01	144
536476	4	42	71	1200	18:09:20	2021-09-02	103
856320	6	42	187	1315	7:27:15	2021-09-02	263
110970	6	231	98	3770	18:42:00	2021-09-02	754
055433	1	152	159	1080	7:19:05	2021-09-02	141
325407	4	237	144	1200	11:08:05	2021-09-02	221
601021	2	139	231	1200	18:34:30	2021-09-03	162
542597	7	232	139	1080	8:02:55	2021-09-03	151
968734	4	151	28	1375	18:41:20	2021-09-03	275
788033	1	230	235	1080	13:51:00	2021-09-03	56
624547	2	264	169	1200	15:40:00	2021-09-03	214
325716	4	65	169	1200	20:04:10	2021-09-04	206
669381	2	198	106	1200	10:41:00	2021-09-04	184
737538	5	22	210	1080	10:23:15	2021-09-04	184
256452	4	151	28	1375	18:41:20	2021-09-04	275
638139	4	156	160	1200	7:02:50	2021-09-04	59
305105	7	142	41	1080	8:08:40	2021-09-05	22
734858	1	150	230	2322	10:51:15	2021-09-05	516
762495	1	159	152	1080	18:40:30	2021-09-05	141
311075	2	25	135	1200	15:25:00	2021-09-05	80
901204	1	230	235	1080	13:51:00	2021-09-05	56
996217	1	150	230	2322	10:51:15	2021-09-05	516
512940	1	131	128	1080	15:12:20	2021-09-05	38
998884	3	150	230	2580	15:39:15	2021-09-06	516
094546	1	213	171	1080	13:43:35	2021-09-06	118
231020	2	52	42	1950	18:24:20	2021-09-06	390
248390	2	99	128	1200	17:37:20	2021-09-06	218
753869	2	139	231	1200	18:34:30	2021-09-06	162
407393	3	21	173	1200	16:22:05	2021-09-06	177
606405	1	131	179	1080	13:22:40	2021-09-06	164
692165	2	99	128	1200	17:37:20	2021-09-06	218
593227	5	99	103	1080	16:15:00	2021-09-06	73
117995	1	152	159	1080	7:19:05	2021-09-06	141
744552	5	222	86	2489	20:40:45	2021-09-07	553
975981	4	102	257	1370	18:18:50	2021-09-07	274
120567	3	46	103	1200	15:28:45	2021-09-07	123
899908	4	241	64	1200	8:05:40	2021-09-07	71
114215	6	158	242	1200	8:17:45	2021-09-07	180
532729	1	232	145	1197	17:52:55	2021-09-07	266
678157	1	152	159	1080	7:19:05	2021-09-08	141
494475	2	139	231	1200	18:39:30	2021-09-08	162
961041	2	231	139	1200	7:52:00	2021-09-08	162
184938	1	152	159	1080	7:19:05	2021-09-08	141
943326	4	237	144	1200	11:08:05	2021-09-08	221
434887	4	229	187	1990	17:40:00	2021-09-08	398
742013	1	159	152	1080	18:04:30	2021-09-08	141
913170	2	238	275	1630	15:39:00	2021-09-09	326
991480	2	231	139	1200	7:42:00	2021-09-09	162
431261	2	231	160	1530	15:22:00	2021-09-09	306
645862	1	230	137	1080	11:11:00	2021-09-09	195
512738	1	159	152	1080	18:16:30	2021-09-09	141
809124	6	62	98	6455	18:50:00	2021-09-09	1291
884849	1	29	34	1080	7:57:40	2021-09-09	46
390732	2	99	128	1200	16:17:20	2021-09-09	218
717888	4	148	28	1615	17:49:20	2021-09-09	323
378054	1	152	159	1080	7:19:05	2021-09-10	141
493562	4	192	123	1750	21:34:00	2021-09-10	350
892618	2	228	36	1305	8:00:00	2021-09-10	261
791960	1	133	25	1080	6:32:25	2021-09-10	56
145978	2	264	169	1200	15:40:00	2021-09-10	214
532039	1	152	159	1080	7:19:05	2021-09-10	141
804348	1	129	215	1080	11:25:05	2021-09-10	78
916583	1	124	249	1080	6:59:50	2021-09-10	74
030754	4	139	214	1200	17:31:00	2021-09-10	133
102745	1	152	159	1080	6:55:05	2021-09-11	141
299294	1	159	152	1080	18:16:30	2021-09-11	141
989339	2	20	124	1200	15:21:10	2021-09-11	135
021439	1	177	206	1080	14:56:25	2021-09-11	115
858343	6	1	63	3130	15:50:00	2021-09-11	626
413550	3	152	127	1475	16:31:05	2021-09-11	295
099126	2	231	139	1200	8:12:00	2021-09-12	162
117150	6	42	122	1200	7:47:15	2021-09-12	216
328476	1	1	25	1931	21:50:00	2021-09-12	429
586833	3	243	139	1200	16:35:10	2021-09-12	92
172047	7	1	137	2439	8:20:00	2021-09-12	542
144799	4	275	34	1270	18:00:00	2021-09-12	254
458159	4	226	121	1200	19:49:15	2021-09-13	230
464563	2	29	31	1200	14:32:40	2021-09-13	17
447595	3	230	103	1200	15:51:00	2021-09-13	149
255126	4	41	194	1200	18:47:55	2021-09-13	210
832181	5	222	86	2489	20:40:45	2021-09-13	553
322105	4	210	37	1200	10:54:40	2021-09-13	113
288477	6	1	98	6095	18:50:00	2021-09-13	1219
569831	2	17	171	1200	16:48:15	2021-09-14	199
700365	5	167	271	1080	18:20:40	2021-09-14	171
600522	1	152	159	1080	7:19:05	2021-09-14	141
434870	1	188	75	1080	18:00:00	2021-09-14	221
766112	4	34	184	1200	10:28:25	2021-09-14	227
528403	1	133	25	1080	6:32:25	2021-09-15	56
752756	7	200	125	1251	18:12:35	2021-09-15	278
718914	2	110	128	1200	16:23:10	2021-09-15	178
988860	1	1	25	1931	21:50:00	2021-09-15	429
231337	3	221	174	1200	11:13:50	2021-09-15	193
587650	2	99	128	1200	16:17:20	2021-09-16	218
231419	1	212	172	1080	7:32:30	2021-09-16	117
282105	1	159	152	1080	18:16:30	2021-09-16	141
442546	5	148	150	1080	13:25:20	2021-09-16	23
260313	2	229	167	1335	10:20:00	2021-09-16	267
560758	4	150	252	1735	16:15:15	2021-09-16	347
583391	3	235	133	1200	16:05:40	2021-09-16	190
049735	7	142	42	1080	8:28:40	2021-09-16	39
681316	1	255	34	1080	13:37:20	2021-09-16	144
879757	1	159	152	1080	18:40:30	2021-09-16	141
883996	6	46	171	1450	15:48:45	2021-09-16	290
322613	7	259	167	1080	8:13:45	2021-09-16	154
306710	1	159	152	1080	18:28:30	2021-09-16	141
896920	3	243	139	1200	16:35:10	2021-09-16	92
772782	7	232	139	1080	8:02:55	2021-09-17	151
955637	3	171	254	1200	10:04:00	2021-09-17	135
579749	6	147	98	5285	19:00:00	2021-09-17	1057
020876	2	62	60	1200	18:00:00	2021-09-18	55
068233	1	169	243	1080	17:30:25	2021-09-18	100
380661	2	231	139	1200	8:02:00	2021-09-18	162
259640	7	229	141	1080	18:10:00	2021-09-18	153
216861	3	42	213	1200	10:07:15	2021-09-18	141
112309	1	148	150	1080	13:25:20	2021-09-18	23
863706	3	228	119	1520	10:15:00	2021-09-19	304
660301	3	65	107	1200	17:44:10	2021-09-19	118
181184	7	24	263	1121	12:04:35	2021-09-19	249
559643	2	229	118	1545	10:50:00	2021-09-19	309
198445	4	50	46	1200	17:19:20	2021-09-19	233
535298	3	187	245	1220	10:32:30	2021-09-19	244
445565	6	147	229	2835	19:48:00	2021-09-19	567
814660	3	188	269	2795	16:00:00	2021-09-19	559
264663	5	62	63	3114	10:20:00	2021-09-20	692
745083	4	152	241	1680	18:19:05	2021-09-20	336
036449	4	275	34	1270	18:00:00	2021-09-20	254
046309	1	159	152	1080	18:28:30	2021-09-20	141
841369	3	151	29	1345	15:29:20	2021-09-20	269
905902	7	17	34	1080	13:18:15	2021-09-20	168
863009	3	226	125	1200	16:49:15	2021-09-20	180
588524	1	125	259	1080	14:20:30	2021-09-20	140
231067	1	152	159	1080	7:19:05	2021-09-21	141
106460	3	122	214	1200	15:32:05	2021-09-21	172
834446	3	24	172	1200	9:34:35	2021-09-21	138
855174	7	34	124	1080	17:15:00	2021-09-21	120
623950	7	259	167	1080	8:13:45	2021-09-21	154
571614	1	142	65	1080	6:38:40	2021-09-21	76
960568	3	46	103	1200	15:28:45	2021-09-21	123
689728	6	99	130	1200	17:17:20	2021-09-22	192
577389	7	152	136	1283	8:07:05	2021-09-22	285
320592	4	192	123	1750	21:34:00	2021-09-22	350
334478	1	229	136	1080	18:00:00	2021-09-22	217
052292	2	34	228	1200	15:30:00	2021-09-22	237
064097	1	119	244	1080	12:54:25	2021-09-22	214
930354	1	153	141	1454	15:33:15	2021-09-22	323
306506	2	198	106	1200	10:41:00	2021-09-23	184
040529	4	17	130	1200	9:18:15	2021-09-23	160
434200	2	228	37	1370	16:15:00	2021-09-23	274
295890	6	1	98	6095	18:50:00	2021-09-23	1219
123858	4	210	37	1200	10:54:40	2021-09-23	113
453709	7	17	34	1080	13:18:15	2021-09-23	168
775041	2	220	36	1200	15:30:30	2021-09-24	130
433988	1	147	28	1526	16:36:00	2021-09-24	339
491118	1	230	137	1080	8:01:00	2021-09-24	195
818294	6	226	133	1200	18:49:15	2021-09-24	164
748357	3	160	120	1200	16:55:45	2021-09-24	224
217200	2	226	128	1200	10:19:15	2021-09-24	204
783887	6	229	46	1330	18:00:00	2021-09-24	266
621313	1	212	172	1080	7:32:30	2021-09-24	117
277896	6	152	210	1680	16:55:05	2021-09-24	336
702838	1	220	31	1080	19:15:30	2021-09-24	77
649136	1	152	159	1080	7:19:05	2021-09-25	141
147895	4	102	257	1370	18:18:50	2021-09-25	274
408989	1	221	252	1080	7:43:50	2021-09-25	159
510277	4	187	118	1200	17:48:00	2021-09-25	173
736508	1	152	159	1080	7:19:05	2021-09-25	141
018873	1	125	36	1080	19:48:00	2021-09-25	136
212185	1	228	29	1080	19:00:00	2021-09-25	191
782816	6	152	210	1680	16:55:05	2021-09-26	336
959877	2	48	194	2190	15:36:25	2021-09-26	438
354114	3	230	103	1200	15:51:00	2021-09-26	149
817616	6	46	106	1200	15:48:45	2021-09-26	165
896793	1	125	21	1080	22:36:00	2021-09-26	116
285363	2	52	42	1950	18:24:20	2021-09-26	390
648133	1	188	75	1080	18:00:00	2021-09-26	221
338848	7	142	42	1080	8:28:40	2021-09-26	39
123079	1	228	29	1080	19:00:00	2021-09-27	191
097796	2	46	203	1200	10:38:45	2021-09-27	227
268311	1	159	152	1080	18:40:30	2021-09-27	141
419768	1	152	159	1080	7:19:05	2021-09-27	141
452877	1	152	159	1080	7:19:05	2021-09-27	141
219266	4	99	204	1200	18:00:00	2021-09-28	218
397322	5	151	230	2210	15:17:20	2021-09-28	491
668987	1	252	24	1080	7:41:05	2021-09-28	125
911416	5	139	38	1080	6:44:30	2021-09-28	83
566366	7	200	125	1251	18:12:35	2021-09-28	278
827899	1	151	230	2210	6:41:20	2021-09-29	491
996020	1	152	159	1080	7:19:05	2021-09-29	141
000928	1	101	257	1278	7:03:00	2021-09-29	284
790617	1	152	159	1080	6:55:05	2021-09-29	141
022561	2	231	139	1200	8:02:00	2021-09-29	162
139080	1	159	152	1080	18:28:30	2021-09-30	141
693706	3	171	254	1200	10:04:00	2021-09-30	135
602876	4	226	121	1200	19:49:15	2021-09-30	230
726052	3	255	210	1200	9:27:20	2021-09-30	220
080896	5	62	63	3114	10:20:00	2021-09-30	692
502525	6	231	98	3770	18:42:00	2021-09-30	754
649979	6	147	229	2835	19:48:00	2021-09-30	567
805941	7	152	136	1283	8:07:05	2021-10-01	285
156559	6	136	251	1200	16:08:35	2021-10-01	97
669181	2	231	139	1200	7:52:00	2021-10-01	162
737647	4	207	98	2855	17:25:10	2021-10-02	571
314977	3	150	230	2580	15:39:15	2021-10-02	516
096177	6	65	123	1315	16:24:10	2021-10-02	263
843955	1	221	252	1080	7:43:50	2021-10-03	159
643475	4	99	170	1200	10:17:20	2021-10-03	202
358519	2	59	53	1200	18:26:45	2021-10-03	171
107629	1	152	159	1080	7:19:05	2021-10-04	141
