pu_No	s_No	p_No	u_No	pu_Count	pu_Price	pu_Date
1795	1	247	15	12	14400	2021-09-02
1810	1	64	4	4	14000	2021-09-02
1816	1	98	17	17	85000	2021-09-02
1820	1	98	17	14	70000	2021-09-03
1828	1	21	36	1	1500	2021-09-03
1847	1	168	33	28	50400	2021-09-03
1851	1	16	35	21	31500	2021-09-03
1854	1	76	24	9	53100	2021-09-03
1880	1	71	38	6	23400	2021-09-04
1890	1	79	38	19	102600	2021-09-04
1895	1	15	24	10	10000	2021-09-04
1899	1	149	6	11	19800	2021-09-04
1904	1	221	3	24	69600	2021-09-04
1912	1	2	30	10	29000	2021-09-04
1933	1	88	8	21	69300	2021-09-05
1954	1	92	7	7	56700	2021-09-05
1959	1	84	5	15	61500	2021-09-05
1974	1	227	32	16	86400	2021-09-05
1976	1	278	1	11	16500	2021-09-05
1979	1	287	3	24	72000	2021-09-05
1986	1	159	2	8	14400	2021-09-06
1989	1	288	1	30	45000	2021-09-06
2001	1	16	31	20	30000	2021-09-06
2028	1	193	25	18	25200	2021-09-06
2031	1	166	21	18	21600	2021-09-06
2042	1	136	37	11	11000	2021-09-07
2048	1	81	22	6	24600	2021-09-07
2066	1	97	34	12	51600	2021-09-07
2074	1	177	7	6	10800	2021-09-07
2084	1	199	10	15	21000	2021-09-07
2089	1	46	25	9	17100	2021-09-07
2095	1	198	7	23	89700	2021-09-08
2105	1	189	12	4	7600	2021-09-08
2113	1	246	40	5	6000	2021-09-08
2132	1	260	21	30	51000	2021-09-08
2139	1	208	18	23	110400	2021-09-08
2156	1	46	23	4	7600	2021-09-09
2160	1	198	27	19	74100	2021-09-09
2162	1	24	1	7	10500	2021-09-09
2182	1	212	14	25	87500	2021-09-09
2200	1	141	32	19	19000	2021-09-09
2204	1	152	34	12	21600	2021-09-09
2222	1	129	4	29	43500	2021-09-10
2233	1	58	3	4	8800	2021-09-10
2242	1	269	12	9	21600	2021-09-10
2247	1	248	15	19	28500	2021-09-10
2261	1	279	12	4	4000	2021-09-10
2268	1	232	22	9	43200	2021-09-10
2273	1	288	12	27	40500	2021-09-11
2281	1	210	11	27	129600	2021-09-11
2289	1	110	9	2	4000	2021-09-11
2307	1	82	16	1	4100	2021-09-11
2309	1	230	17	17	81600	2021-09-11
2321	1	209	20	6	25200	2021-09-11
2328	1	246	12	18	21600	2021-09-12
2346	1	137	17	27	48600	2021-09-12
2355	1	5	14	1	2000	2021-09-12
2357	1	279	18	16	16000	2021-09-12
2364	1	226	19	16	56000	2021-09-12
2386	1	74	17	12	103200	2021-09-13
2387	1	194	10	13	45500	2021-09-13
2398	1	285	33	9	13500	2021-09-13
2407	1	208	22	6	28800	2021-09-13
2425	1	45	21	28	25200	2021-09-13
2432	1	275	1	5	5000	2021-09-14
2435	1	128	33	29	43500	2021-09-14
2442	1	60	4	17	30600	2021-09-14
2449	1	227	25	16	86400	2021-09-14
2457	1	259	5	5	9500	2021-09-14
2460	1	13	1	12	18000	2021-09-14
2491	1	165	33	28	28000	2021-09-14
2495	1	166	23	15	18000	2021-09-15
2498	1	174	23	12	30000	2021-09-15
2510	1	18	36	23	103500	2021-09-15
2511	1	72	23	2	3800	2021-09-15
2524	1	263	30	28	70000	2021-09-15
2548	1	137	34	21	37800	2021-09-15
2585	1	232	25	1	4800	2021-09-16
2590	1	180	28	3	3600	2021-09-16
2593	1	13	4	28	42000	2021-09-16
2600	1	284	7	7	10500	2021-09-16
2602	1	215	1	15	72000	2021-09-16
2614	1	228	37	13	70200	2021-09-17
2618	1	169	7	10	18000	2021-09-17
2619	1	118	22	13	50700	2021-09-17
2625	1	246	39	22	26400	2021-09-17
2643	1	285	19	16	24000	2021-09-17
2666	1	58	35	29	63800	2021-09-18
2668	1	152	23	22	39600	2021-09-18
2674	1	122	28	22	99000	2021-09-18
2699	1	227	7	1	5400	2021-09-18
2703	1	274	29	10	15000	2021-09-18
2706	1	53	23	22	48400	2021-09-18
2724	1	214	29	24	24000	2021-09-19
2746	1	223	16	26	124800	2021-09-19
2750	1	2	34	2	5800	2021-09-19
2759	1	119	14	19	28500	2021-09-19
2761	1	8	15	23	69000	2021-09-19
2764	1	69	21	19	36100	2021-09-19
2782	1	62	17	25	80000	2021-09-20
2790	1	77	13	13	57200	2021-09-20
2821	1	36	30	11	16500	2021-09-20
2822	1	229	12	26	124800	2021-09-20
2823	1	62	15	23	73600	2021-09-20
2841	1	163	27	4	8000	2021-09-21
2851	1	269	22	23	55200	2021-09-21
2854	1	296	5	13	19500	2021-09-21
2861	1	180	33	22	26400	2021-09-21
2871	1	54	33	29	84100	2021-09-21
2874	1	286	13	7	10500	2021-09-21
2890	1	80	29	21	113400	2021-09-22
2892	1	4	29	19	19000	2021-09-22
2893	1	26	38	9	12600	2021-09-22
2908	1	78	28	28	151200	2021-09-22
2920	1	156	26	17	42500	2021-09-22
2929	1	28	8	26	33800	2021-09-22
2955	1	229	29	6	28800	2021-09-23
2963	1	161	39	5	12500	2021-09-23
2976	1	245	35	11	13200	2021-09-23
2983	1	109	40	27	213300	2021-09-23
2988	1	14	23	7	11200	2021-09-23
2992	1	268	27	8	12000	2021-09-23
3020	1	37	29	1	1500	2021-09-24
3026	1	296	18	16	24000	2021-09-24
3028	1	300	18	14	14000	2021-09-24
3031	1	295	34	10	15000	2021-09-24
3047	1	195	17	1	5900	2021-09-24
3068	1	293	28	18	18000	2021-09-25
3072	1	290	27	9	13500	2021-09-25
3075	1	65	36	4	11200	2021-09-25
3076	1	120	32	29	43500	2021-09-25
3094	1	248	7	26	39000	2021-09-25
3112	1	218	27	5	16000	2021-09-26
3125	1	194	10	28	98000	2021-09-26
3134	1	124	24	4	46400	2021-09-26
3160	1	161	21	7	17500	2021-09-26
3161	1	187	38	9	18000	2021-09-26
3164	1	19	16	19	41800	2021-09-26
3169	1	294	25	15	22500	2021-09-27
3193	1	105	4	7	87500	2021-09-27
3211	1	21	12	24	36000	2021-09-27
3212	1	228	7	7	37800	2021-09-27
3213	1	266	9	3	4500	2021-09-27
3224	1	280	26	14	14000	2021-09-28
3235	1	186	28	1	1700	2021-09-28
3246	1	214	3	11	11000	2021-09-28
3250	1	84	36	1	4100	2021-09-28
3257	1	158	1	26	31200	2021-09-28
3263	1	265	1	21	84000	2021-09-28
3278	1	271	11	21	50400	2021-09-29
3279	1	169	8	13	23400	2021-09-29
3296	1	238	27	27	129600	2021-09-29
3300	1	86	23	10	159000	2021-09-29
3307	1	188	34	25	50000	2021-09-29
3312	1	294	3	1	1500	2021-09-29
3337	1	267	20	12	18000	2021-09-30
3360	1	97	12	6	25800	2021-09-30
3370	1	120	25	3	4500	2021-09-30
3377	1	128	17	4	6000	2021-09-30
3388	1	2	27	15	43500	2021-09-30
3391	1	130	38	26	46800	2021-09-30
3395	1	22	27	29	72500	2021-10-01
3403	1	162	15	28	56000	2021-10-01
3438	1	264	28	19	47500	2021-10-01
3439	1	298	3	1	1500	2021-10-01
3446	1	147	19	25	25000	2021-10-01
3450	1	17	40	8	8000	2021-10-02
3457	1	263	19	21	52500	2021-10-02
3464	1	254	14	5	7500	2021-10-02
3477	1	81	14	2	8200	2021-10-02
3479	1	7	37	20	100000	2021-10-02
3503	1	266	9	22	33000	2021-10-03
3512	1	195	31	6	35400	2021-10-03
3521	1	280	17	14	14000	2021-10-03
3533	1	180	31	25	30000	2021-10-03
3539	1	197	13	26	169000	2021-10-03
3553	1	2	40	16	46400	2021-10-03
3558	1	147	18	21	21000	2021-10-04
3567	1	120	3	24	36000	2021-10-04
3576	1	223	37	29	139200	2021-10-04
3591	1	55	35	13	14300	2021-10-04
3604	1	35	32	29	136300	2021-10-04
3607	1	293	12	1	1000	2021-10-05
3613	1	153	5	9	9000	2021-10-05
3618	1	119	15	16	24000	2021-10-05
3620	1	268	29	25	37500	2021-10-05
3642	1	232	35	30	144000	2021-10-05
3647	1	227	29	21	113400	2021-10-05
7	2	257	17	17	39100	2021-08-01
16	2	156	36	18	45000	2021-08-01
17	2	164	31	16	16000	2021-08-01
28	2	147	29	11	11000	2021-08-01
51	2	216	33	19	91200	2021-08-01
57	2	296	34	18	27000	2021-08-01
63	2	187	3	15	30000	2021-08-02
83	2	182	32	13	45500	2021-08-02
103	2	186	28	19	32300	2021-08-02
107	2	166	31	15	18000	2021-08-02
109	2	209	34	25	105000	2021-08-02
120	2	161	11	19	47500	2021-08-03
121	2	143	20	24	24000	2021-08-03
133	2	40	23	3	11700	2021-08-03
134	2	154	40	4	4000	2021-08-03
140	2	118	20	22	85800	2021-08-03
163	2	218	35	29	92800	2021-08-03
164	2	69	7	28	53200	2021-08-04
168	2	242	23	2	3600	2021-08-04
174	2	116	37	10	22000	2021-08-04
176	2	158	29	3	3600	2021-08-04
203	2	68	9	23	66700	2021-08-04
218	2	144	16	21	21000	2021-08-05
225	2	90	13	23	46000	2021-08-05
239	2	174	8	2	5000	2021-08-05
240	2	269	31	12	28800	2021-08-05
255	2	270	34	22	52800	2021-08-05
263	2	172	24	28	50400	2021-08-05
284	2	119	36	10	15000	2021-08-06
289	2	224	25	17	81600	2021-08-06
305	2	99	15	7	21000	2021-08-06
320	2	18	1	23	103500	2021-08-06
326	2	119	17	23	34500	2021-08-06
351	2	277	6	30	30000	2021-08-07
362	2	191	5	3	6000	2021-08-07
370	2	68	20	26	75400	2021-08-07
372	2	242	1	17	30600	2021-08-07
377	2	33	24	23	34500	2021-08-07
389	2	86	22	5	79500	2021-08-08
390	2	5	22	13	26000	2021-08-08
403	2	57	19	5	5500	2021-08-08
404	2	215	40	4	19200	2021-08-08
423	2	222	40	14	67200	2021-08-08
431	2	290	35	18	27000	2021-08-08
446	2	182	6	3	10500	2021-08-09
452	2	9	40	8	20000	2021-08-09
454	2	42	38	15	14250	2021-08-09
468	2	247	8	11	13200	2021-08-09
490	2	110	26	28	56000	2021-08-09
492	2	31	6	30	60000	2021-08-09
516	2	97	19	5	21500	2021-08-10
526	2	292	31	13	19500	2021-08-10
530	2	273	7	30	45000	2021-08-10
537	2	181	10	29	101500	2021-08-10
539	2	78	4	1	5400	2021-08-10
544	2	127	29	28	42000	2021-08-10
565	2	159	25	13	23400	2021-08-11
568	2	75	15	20	40000	2021-08-11
588	2	45	28	2	1800	2021-08-11
599	2	220	12	8	28000	2021-08-11
604	2	123	2	24	108000	2021-08-11
612	2	274	13	6	9000	2021-08-12
626	2	164	36	16	16000	2021-08-12
642	2	254	36	19	28500	2021-08-12
646	2	134	28	19	34200	2021-08-12
653	2	225	20	8	60000	2021-08-12
659	2	146	36	7	7000	2021-08-12
682	2	199	10	21	29400	2021-08-13
691	2	278	18	16	24000	2021-08-13
702	2	130	7	27	48600	2021-08-13
708	2	152	16	19	34200	2021-08-13
712	2	48	27	9	17100	2021-08-13
725	2	102	11	8	24000	2021-08-14
737	2	27	39	5	5000	2021-08-14
751	2	51	13	27	67500	2021-08-14
753	2	107	15	9	67500	2021-08-14
759	2	198	17	5	19500	2021-08-14
768	2	162	24	20	40000	2021-08-14
799	2	267	2	28	42000	2021-08-15
807	2	25	2	20	28000	2021-08-15
820	2	271	12	2	4800	2021-08-15
827	2	79	31	18	97200	2021-08-15
830	2	281	17	25	75000	2021-08-15
834	2	59	26	20	44000	2021-08-16
838	2	216	24	25	120000	2021-08-16
839	2	263	39	29	72500	2021-08-16
872	2	69	17	14	26600	2021-08-16
874	2	86	25	15	238500	2021-08-16
882	2	10	1	8	15200	2021-08-16
891	2	239	25	12	57600	2021-08-17
900	2	128	28	10	15000	2021-08-17
915	2	216	14	15	72000	2021-08-17
916	2	215	34	3	14400	2021-08-17
920	2	108	17	17	134300	2021-08-17
945	2	214	40	25	25000	2021-08-18
959	2	223	12	26	124800	2021-08-18
972	2	246	33	15	18000	2021-08-18
981	2	125	37	20	232000	2021-08-18
987	2	219	20	23	149500	2021-08-18
992	2	141	29	22	22000	2021-08-18
1007	2	14	6	1	1600	2021-08-19
1017	2	31	2	28	56000	2021-08-19
1021	2	142	26	20	20000	2021-08-19
1026	2	93	5	16	200000	2021-08-19
1039	2	157	4	20	24000	2021-08-19
1055	2	191	2	17	34000	2021-08-20
1073	2	185	13	8	16000	2021-08-20
1078	2	46	20	30	57000	2021-08-20
1095	2	152	19	5	9000	2021-08-20
1097	2	300	13	20	20000	2021-08-20
1108	2	92	35	27	218700	2021-08-21
1121	2	135	27	29	29000	2021-08-21
1126	2	198	18	20	78000	2021-08-21
1130	2	179	17	1	1500	2021-08-21
1134	2	243	15	21	37800	2021-08-21
1148	2	60	26	2	3600	2021-08-21
1173	2	82	25	1	4100	2021-08-22
1182	2	18	8	26	117000	2021-08-22
1187	2	48	39	29	55100	2021-08-22
1188	2	38	10	26	65000	2021-08-22
1208	2	61	9	5	10000	2021-08-22
1215	2	30	29	23	46000	2021-08-23
1219	2	70	8	7	24500	2021-08-23
1227	2	206	17	29	121800	2021-08-23
1231	2	87	38	28	70000	2021-08-23
1234	2	137	35	1	1800	2021-08-23
1236	2	3	9	21	21000	2021-08-23
1267	2	68	9	21	60900	2021-08-24
1297	2	235	35	14	58800	2021-08-24
1298	2	208	36	18	86400	2021-08-24
1304	2	242	20	19	34200	2021-08-24
1306	2	176	23	29	29000	2021-08-24
1327	2	244	9	22	44000	2021-08-24
1336	2	158	25	2	2400	2021-08-25
1356	2	122	16	22	99000	2021-08-25
1370	2	78	39	20	108000	2021-08-25
1373	2	71	29	2	7800	2021-08-25
1375	2	137	23	4	7200	2021-08-25
1384	2	177	38	20	36000	2021-08-26
1391	2	44	10	11	9900	2021-08-26
1393	2	270	10	20	48000	2021-08-26
1412	2	270	40	10	24000	2021-08-26
1418	2	236	36	3	12600	2021-08-26
1421	2	224	16	20	96000	2021-08-26
1439	2	140	11	7	7000	2021-08-27
1452	2	103	36	3	13500	2021-08-27
1454	2	278	24	24	36000	2021-08-27
1456	2	165	35	18	18000	2021-08-27
1472	2	23	17	10	25000	2021-08-27
1495	2	123	9	18	81000	2021-08-28
1515	2	125	33	7	81200	2021-08-28
1522	2	105	10	26	325000	2021-08-28
1529	2	50	40	5	12500	2021-08-28
1534	2	5	19	9	18000	2021-08-28
1550	2	62	5	5	16000	2021-08-29
1554	2	252	16	5	7500	2021-08-29
1561	2	218	25	25	80000	2021-08-29
1563	2	157	32	6	7200	2021-08-29
1576	2	136	39	10	10000	2021-08-29
1595	2	97	8	21	90300	2021-08-29
1599	2	222	40	4	19200	2021-08-30
1619	2	55	12	23	25300	2021-08-30
1623	2	235	34	5	21000	2021-08-30
1626	2	255	29	30	54000	2021-08-30
1647	2	241	27	10	18000	2021-08-30
1655	2	71	25	4	15600	2021-08-31
1672	2	291	16	8	12000	2021-08-31
1680	2	281	26	24	72000	2021-08-31
1689	2	182	15	22	77000	2021-08-31
1699	2	177	14	25	45000	2021-08-31
1700	2	295	18	1	1500	2021-08-31
1708	2	37	36	6	9000	2021-09-01
1720	2	179	26	23	34500	2021-09-01
1741	2	268	14	21	31500	2021-09-01
1746	2	217	28	26	83200	2021-09-01
1756	2	45	28	7	6300	2021-09-01
1760	2	286	17	7	10500	2021-09-02
1769	2	215	5	22	105600	2021-09-02
1787	2	88	30	10	33000	2021-09-02
1803	2	42	11	2	1900	2021-09-02
1808	2	229	25	28	134400	2021-09-02
1814	2	145	3	17	30600	2021-09-02
1822	2	21	7	4	6000	2021-09-03
1836	2	14	24	27	43200	2021-09-03
1840	2	272	39	7	10500	2021-09-03
1842	2	234	4	28	134400	2021-09-03
1856	2	180	8	23	27600	2021-09-03
1874	2	76	10	4	23600	2021-09-04
1886	2	279	9	24	24000	2021-09-04
1891	2	13	1	5	7500	2021-09-04
1911	2	164	14	17	17000	2021-09-04
1913	2	287	8	10	30000	2021-09-04
1926	2	94	6	10	125000	2021-09-04
1932	2	122	21	22	99000	2021-09-05
1934	2	184	40	27	81000	2021-09-05
1948	2	271	14	7	16800	2021-09-05
1964	2	57	22	11	12100	2021-09-05
1971	2	4	22	16	16000	2021-09-05
1985	2	173	26	14	35000	2021-09-06
2004	2	158	13	7	8400	2021-09-06
2009	2	124	13	14	162400	2021-09-06
2035	2	171	24	18	32400	2021-09-06
2036	2	212	8	16	56000	2021-09-06
2037	2	140	28	7	7000	2021-09-06
2056	2	261	37	7	11900	2021-09-07
2057	2	99	32	19	57000	2021-09-07
2061	2	71	34	16	62400	2021-09-07
2062	2	166	13	18	21600	2021-09-07
2064	2	239	12	10	48000	2021-09-07
2091	2	190	22	12	19200	2021-09-07
2099	2	277	10	16	16000	2021-09-08
2114	2	212	15	8	28000	2021-09-08
2135	2	252	19	25	37500	2021-09-08
2145	2	115	4	22	107800	2021-09-08
2148	2	223	24	17	81600	2021-09-08
2151	2	21	18	17	25500	2021-09-09
2157	2	239	4	8	38400	2021-09-09
2158	2	160	18	19	34200	2021-09-09
2167	2	237	13	16	76800	2021-09-09
2175	2	118	31	18	70200	2021-09-09
2184	2	101	27	17	83300	2021-09-09
2224	2	51	8	6	15000	2021-09-10
2226	2	168	39	7	12600	2021-09-10
2235	2	118	1	3	11700	2021-09-10
2236	2	253	15	18	27000	2021-09-10
2237	2	41	14	7	11900	2021-09-10
2267	2	146	40	1	1000	2021-09-10
2276	2	69	20	8	15200	2021-09-11
2279	2	246	9	1	1200	2021-09-11
2304	2	187	24	20	40000	2021-09-11
2310	2	86	39	25	397500	2021-09-11
2312	2	95	32	2	4200	2021-09-11
2326	2	68	13	2	5800	2021-09-11
2332	2	265	35	22	88000	2021-09-12
2343	2	175	14	11	13200	2021-09-12
2366	2	58	36	26	57200	2021-09-12
2373	2	189	20	28	53200	2021-09-12
2379	2	34	29	8	16000	2021-09-12
2395	2	33	28	2	3000	2021-09-13
2399	2	290	6	5	7500	2021-09-13
2410	2	197	8	24	156000	2021-09-13
2418	2	64	25	4	14000	2021-09-13
2431	2	188	3	8	16000	2021-09-13
2437	2	298	26	6	9000	2021-09-14
2462	2	165	16	17	17000	2021-09-14
2463	2	133	32	24	43200	2021-09-14
2481	2	140	20	25	25000	2021-09-14
2482	2	104	19	20	394000	2021-09-14
2485	2	58	2	5	11000	2021-09-14
2500	2	8	35	11	33000	2021-09-15
2501	2	169	9	3	5400	2021-09-15
2508	2	58	39	27	59400	2021-09-15
2519	2	253	8	27	40500	2021-09-15
2525	2	165	7	14	14000	2021-09-15
2536	2	285	33	24	36000	2021-09-15
2553	2	110	14	27	54000	2021-09-15
2562	2	117	37	17	37400	2021-09-16
2567	2	295	1	17	25500	2021-09-16
2578	2	299	32	22	22000	2021-09-16
2598	2	21	22	26	39000	2021-09-16
2603	2	292	29	29	43500	2021-09-16
2606	2	60	35	4	7200	2021-09-17
2613	2	32	37	25	50000	2021-09-17
2615	2	38	40	25	62500	2021-09-17
2617	2	34	11	1	2000	2021-09-17
2653	2	299	9	6	6000	2021-09-17
2662	2	60	9	28	50400	2021-09-18
2664	2	177	16	20	36000	2021-09-18
2675	2	160	34	15	27000	2021-09-18
2680	2	160	16	27	48600	2021-09-18
2681	2	209	10	16	67200	2021-09-18
2707	2	73	39	8	31200	2021-09-18
2717	2	53	25	19	41800	2021-09-19
2723	2	278	33	13	19500	2021-09-19
2743	2	88	3	9	29700	2021-09-19
2767	2	95	13	11	23100	2021-09-19
2769	2	290	17	7	10500	2021-09-19
2773	2	198	13	1	3900	2021-09-19
2789	2	289	21	14	28000	2021-09-20
2797	2	180	4	17	20400	2021-09-20
2798	2	5	32	10	20000	2021-09-20
2805	2	32	11	9	18000	2021-09-20
2829	2	287	11	11	33000	2021-09-20
2834	2	101	8	4	19600	2021-09-21
2840	2	243	19	17	30600	2021-09-21
2843	2	186	10	17	28900	2021-09-21
2849	2	144	8	18	18000	2021-09-21
2856	2	128	13	3	4500	2021-09-21
2863	2	164	40	21	21000	2021-09-21
2905	2	33	40	18	27000	2021-09-22
2921	2	154	17	16	16000	2021-09-22
2932	2	197	2	24	156000	2021-09-22
2934	2	75	35	2	4000	2021-09-22
2938	2	171	17	7	12600	2021-09-22
2945	2	208	31	6	28800	2021-09-22
2985	2	242	35	1	1800	2021-09-23
2990	2	30	30	23	46000	2021-09-23
2993	2	46	35	13	24700	2021-09-23
2994	2	261	28	18	30600	2021-09-23
2998	2	79	3	22	118800	2021-09-23
3005	2	145	8	26	46800	2021-09-24
3006	2	252	38	18	27000	2021-09-24
3025	2	45	22	8	7200	2021-09-24
3027	2	289	19	14	28000	2021-09-24
