번호	회원번호	종목	일정번호	회차	접수일자	시험일자	발표일자	점수	합격여부
155	9	1	49	18	2021-06-24	2021-07-01	2021-07-02	10	불합격
156	15	1	51	19	2021-06-25	2021-07-02	2021-07-03	40	불합격
157	6	1	151	39	2021-07-12	2021-07-19	2021-07-20	90	합격
158	3	1	51	19	2021-06-25	2021-07-02	2021-07-03	10	불합격
159	20	1	51	19	2021-06-25	2021-07-02	2021-07-03	10	불합격
160	5	6	92	5	2021-06-03	2021-06-10	2021-06-11	50	불합격
161	6	6	92	5	2021-06-03	2021-06-10	2021-06-11	40	불합격
114	7	6	72	2	2021-05-17	2021-05-24	2021-05-25	60	불합격
163	8	6	92	5	2021-06-03	2021-06-10	2021-06-11	40	불합격
164	9	6	92	5	2021-06-03	2021-06-10	2021-06-11	70	불합격
165	15	6	92	5	2021-06-03	2021-06-10	2021-06-11	0	불합격
166	30	1	46	17	2021-06-21	2021-06-28	2021-06-29	50	불합격
167	8	1	151	39	2021-07-12	2021-07-19	2021-07-20	70	합격
168	9	1	17	11	2021-06-18	2021-06-25	2021-06-26	30	불합격
169	2	1	49	18	2021-06-24	2021-07-01	2021-07-02	30	불합격
170	15	1	51	19	2021-06-25	2021-07-02	2021-07-03	20	불합격
171	2	1	65	20	2021-06-25	2021-07-02	2021-07-03	50	불합격
172	29	3	28	6	2021-06-16	2021-06-23	2021-06-23	60	불합격
173	30	3	28	6	2021-06-16	2021-06-23	2021-06-23	30	불합격
174	1	3	28	6	2021-06-16	2021-06-23	2021-06-23	40	불합격
175	2	3	28	6	2021-06-16	2021-06-23	2021-06-23	40	불합격
176	21	3	36	7	2021-06-16	2021-06-23	2021-06-23	0	불합격
177	12	3	36	7	2021-06-16	2021-06-23	2021-06-23	50	불합격
178	22	3	37	8	2021-06-16	2021-06-23	2021-06-23	40	불합격
179	26	3	37	8	2021-06-16	2021-06-23	2021-06-23	10	불합격
180	27	2	63	6	2021-06-16	2021-06-23	2021-06-23	10	불합격
181	28	2	63	6	2021-06-16	2021-06-23	2021-06-23	50	불합격
182	15	2	63	6	2021-06-16	2021-06-23	2021-06-23	60	불합격
183	19	6	99	6	2021-06-16	2021-06-23	2021-06-24	0	불합격
184	20	6	99	6	2021-06-16	2021-06-23	2021-06-24	40	불합격
185	21	6	99	6	2021-06-16	2021-06-23	2021-06-24	50	불합격
186	25	6	99	6	2021-06-16	2021-06-23	2021-06-24	60	불합격
187	30	6	99	6	2021-06-16	2021-06-23	2021-06-24	70	불합격
188	29	6	99	6	2021-06-16	2021-06-23	2021-06-24	20	불합격
189	5	6	99	6	2021-06-16	2021-06-23	2021-06-24	20	불합격
190	6	6	103	7	2021-06-16	2021-06-23	2021-06-24	0	불합격
191	5	6	103	7	2021-06-16	2021-06-23	2021-06-24	0	불합격
192	4	6	103	7	2021-06-16	2021-06-23	2021-06-24	20	불합격
193	18	6	103	7	2021-06-16	2021-06-23	2021-06-24	40	불합격
194	17	6	103	7	2021-06-16	2021-06-23	2021-06-24	50	불합격
195	12	6	103	7	2021-06-16	2021-06-23	2021-06-24	60	불합격
196	16	6	106	8	2021-06-16	2021-06-23	2021-06-24	70	불합격
197	15	6	106	8	2021-06-16	2021-06-23	2021-06-24	10	불합격
198	30	6	106	8	2021-06-16	2021-06-23	2021-06-24	10	불합격
199	29	6	106	8	2021-06-16	2021-06-23	2021-06-24	0	불합격
200	1	6	106	8	2021-06-16	2021-06-23	2021-06-24	90	합격
201	2	6	106	8	2021-06-16	2021-06-23	2021-06-24	50	불합격
202	9	1	150	38	2021-07-12	2021-07-19	2021-07-20	80	합격
203	21	3	40	9	2021-06-18	2021-06-25	2021-06-25	0	불합격
204	12	3	53	10	2021-06-18	2021-06-25	2021-06-25	80	합격
205	2	3	53	10	2021-06-18	2021-06-25	2021-06-25	40	불합격
206	26	3	62	11	2021-06-18	2021-06-25	2021-06-25	0	불합격
207	27	3	62	11	2021-06-18	2021-06-25	2021-06-25	0	불합격
208	28	3	62	11	2021-06-18	2021-06-25	2021-06-25	10	불합격
209	30	3	75	12	2021-06-18	2021-06-25	2021-06-25	0	불합격
210	3	3	75	12	2021-06-18	2021-06-25	2021-06-25	30	불합격
211	4	3	75	12	2021-06-18	2021-06-25	2021-06-25	10	불합격
212	27	4	50	10	2021-06-18	2021-06-25	2021-06-26	20	불합격
213	28	4	50	10	2021-06-18	2021-06-25	2021-06-26	20	불합격
214	15	4	50	10	2021-06-18	2021-06-25	2021-06-26	0	불합격
215	16	2	97	12	2021-06-18	2021-06-25	2021-06-25	20	불합격
216	19	2	97	12	2021-06-18	2021-06-25	2021-06-25	50	불합격
217	3	6	119	9	2021-06-18	2021-06-25	2021-06-26	80	합격
218	15	6	119	9	2021-06-18	2021-06-25	2021-06-26	0	불합격
219	16	6	119	9	2021-06-18	2021-06-25	2021-06-26	50	불합격
220	17	6	119	9	2021-06-18	2021-06-25	2021-06-26	60	불합격
221	18	6	119	9	2021-06-18	2021-06-25	2021-06-26	50	불합격
222	19	6	119	9	2021-06-18	2021-06-25	2021-06-26	40	불합격
223	15	6	127	10	2021-06-18	2021-06-25	2021-06-26	20	불합격
224	16	6	127	10	2021-06-18	2021-06-25	2021-06-26	30	불합격
225	17	6	127	10	2021-06-18	2021-06-25	2021-06-26	30	불합격
226	18	6	127	10	2021-06-18	2021-06-25	2021-06-26	30	불합격
227	19	6	127	10	2021-06-18	2021-06-25	2021-06-26	60	불합격
228	11	6	127	10	2021-06-18	2021-06-25	2021-06-26	50	불합격
229	10	6	141	11	2021-06-18	2021-06-25	2021-06-26	70	불합격
230	20	6	141	11	2021-06-18	2021-06-25	2021-06-26	70	불합격
231	24	6	141	11	2021-06-18	2021-06-25	2021-06-26	70	불합격
232	25	6	141	11	2021-06-18	2021-06-25	2021-06-26	0	불합격
233	26	6	141	11	2021-06-18	2021-06-25	2021-06-26	0	불합격
234	27	6	141	11	2021-06-18	2021-06-25	2021-06-26	40	불합격
235	30	6	147	12	2021-06-18	2021-06-25	2021-06-26	50	불합격
236	29	6	147	12	2021-06-18	2021-06-25	2021-06-26	60	불합격
237	27	6	147	12	2021-06-18	2021-06-25	2021-06-26	70	불합격
238	25	6	147	12	2021-06-18	2021-06-25	2021-06-26	70	불합격
239	24	6	147	12	2021-06-18	2021-06-25	2021-06-26	50	불합격
240	22	6	147	12	2021-06-18	2021-06-25	2021-06-26	80	합격
241	21	6	147	12	2021-06-18	2021-06-25	2021-06-26	90	합격
242	5	3	81	13	2021-06-19	2021-06-26	2021-06-26	50	불합격
243	6	3	81	13	2021-06-19	2021-06-26	2021-06-26	40	불합격
327	7	1	74	23	2021-06-29	2021-07-06	2021-07-07	20	불합격
245	8	3	81	13	2021-06-19	2021-06-26	2021-06-26	50	불합격
246	15	6	148	13	2021-06-19	2021-06-26	2021-06-27	100	합격
247	14	6	148	13	2021-06-19	2021-06-26	2021-06-27	50	불합격
248	11	6	148	13	2021-06-19	2021-06-26	2021-06-27	90	합격
249	12	6	148	13	2021-06-19	2021-06-26	2021-06-27	80	합격
250	2	6	148	13	2021-06-19	2021-06-26	2021-06-27	90	합격
251	4	6	148	13	2021-06-19	2021-06-26	2021-06-27	90	합격
252	9	3	84	14	2021-06-21	2021-06-28	2021-06-28	30	불합격
253	10	3	84	14	2021-06-21	2021-06-28	2021-06-28	40	불합격
254	11	3	84	14	2021-06-21	2021-06-28	2021-06-28	60	불합격
255	12	3	84	14	2021-06-21	2021-06-28	2021-06-28	50	불합격
256	20	3	84	14	2021-06-21	2021-06-28	2021-06-28	50	불합격
257	25	3	90	15	2021-06-21	2021-06-28	2021-06-28	0	불합격
258	26	3	90	15	2021-06-21	2021-06-28	2021-06-28	20	불합격
259	27	3	90	15	2021-06-21	2021-06-28	2021-06-28	50	불합격
260	28	3	90	15	2021-06-21	2021-06-28	2021-06-28	40	불합격
261	29	3	90	15	2021-06-21	2021-06-28	2021-06-28	30	불합격
262	26	3	95	16	2021-06-21	2021-06-28	2021-06-28	20	불합격
263	27	3	95	16	2021-06-21	2021-06-28	2021-06-28	30	불합격
264	28	3	95	16	2021-06-21	2021-06-28	2021-06-28	60	불합격
265	30	3	95	16	2021-06-21	2021-06-28	2021-06-28	10	불합격
266	3	3	95	16	2021-06-21	2021-06-28	2021-06-28	60	불합격
267	15	3	98	17	2021-06-21	2021-06-28	2021-06-28	0	불합격
268	26	3	98	17	2021-06-21	2021-06-28	2021-06-28	50	불합격
269	27	3	98	17	2021-06-21	2021-06-28	2021-06-28	70	합격
270	28	3	98	17	2021-06-21	2021-06-28	2021-06-28	80	합격
271	9	1	46	17	2021-06-21	2021-06-28	2021-06-29	50	불합격
272	10	1	46	17	2021-06-21	2021-06-28	2021-06-29	0	불합격
273	12	1	46	17	2021-06-21	2021-06-28	2021-06-29	40	불합격
274	16	5	71	16	2021-06-21	2021-06-28	2021-06-29	40	불합격
275	9	5	71	16	2021-06-21	2021-06-28	2021-06-29	50	불합격
276	10	3	84	14	2021-06-21	2021-06-28	2021-06-28	60	불합격
277	12	2	108	15	2021-06-21	2021-06-28	2021-06-28	50	불합격
278	27	2	108	15	2021-06-21	2021-06-28	2021-06-28	40	불합격
279	14	6	149	14	2021-06-21	2021-06-28	2021-06-29	80	합격
280	19	6	149	14	2021-06-21	2021-06-28	2021-06-29	90	합격
281	29	6	149	14	2021-06-21	2021-06-28	2021-06-29	80	합격
282	27	6	149	14	2021-06-21	2021-06-28	2021-06-29	80	합격
283	5	3	104	18	2021-06-24	2021-07-01	2021-07-01	30	불합격
284	15	3	104	18	2021-06-24	2021-07-01	2021-07-01	80	합격
285	19	3	104	18	2021-06-24	2021-07-01	2021-07-01	20	불합격
286	28	4	96	18	2021-06-24	2021-07-01	2021-07-02	0	불합격
287	15	4	96	18	2021-06-24	2021-07-01	2021-07-02	10	불합격
288	27	1	65	20	2021-06-25	2021-07-02	2021-07-03	20	불합격
289	12	1	65	20	2021-06-25	2021-07-02	2021-07-03	20	불합격
290	9	1	65	20	2021-06-25	2021-07-02	2021-07-03	10	불합격
291	11	1	65	20	2021-06-25	2021-07-02	2021-07-03	40	불합격
292	16	1	65	20	2021-06-25	2021-07-02	2021-07-03	40	불합격
293	22	3	110	19	2021-06-25	2021-07-02	2021-07-02	0	불합격
294	23	3	110	19	2021-06-25	2021-07-02	2021-07-02	40	불합격
295	22	3	112	20	2021-06-25	2021-07-02	2021-07-02	60	불합격
296	23	3	112	20	2021-06-25	2021-07-02	2021-07-02	50	불합격
297	24	3	112	20	2021-06-25	2021-07-02	2021-07-02	0	불합격
298	9	5	105	19	2021-06-25	2021-07-02	2021-07-03	40	불합격
299	10	5	105	19	2021-06-25	2021-07-02	2021-07-03	60	불합격
300	28	3	110	19	2021-06-25	2021-07-02	2021-07-02	20	불합격
301	15	3	110	19	2021-06-25	2021-07-02	2021-07-02	30	불합격
302	2	1	66	21	2021-06-26	2021-07-03	2021-07-04	0	불합격
303	1	1	66	21	2021-06-26	2021-07-03	2021-07-04	30	불합격
304	3	1	66	21	2021-06-26	2021-07-03	2021-07-04	50	불합격
305	4	1	66	21	2021-06-26	2021-07-03	2021-07-04	50	불합격
306	6	1	66	21	2021-06-26	2021-07-03	2021-07-04	20	불합격
307	9	1	66	21	2021-06-26	2021-07-03	2021-07-04	50	불합격
308	16	3	115	21	2021-06-26	2021-07-03	2021-07-03	90	합격
309	19	3	115	21	2021-06-26	2021-07-03	2021-07-03	100	합격
310	16	1	70	22	2021-06-27	2021-07-04	2021-07-05	10	불합격
311	18	1	70	22	2021-06-27	2021-07-04	2021-07-05	30	불합격
312	23	1	70	22	2021-06-27	2021-07-04	2021-07-05	50	불합격
313	24	1	70	22	2021-06-27	2021-07-04	2021-07-05	20	불합격
314	28	1	70	22	2021-06-27	2021-07-04	2021-07-05	10	불합격
315	22	1	70	22	2021-06-27	2021-07-04	2021-07-05	40	불합격
316	8	1	70	22	2021-06-27	2021-07-04	2021-07-05	30	불합격
317	24	3	132	22	2021-06-27	2021-07-04	2021-07-04	20	불합격
318	25	3	132	22	2021-06-27	2021-07-04	2021-07-04	0	불합격
319	16	5	116	22	2021-06-27	2021-07-04	2021-07-05	60	불합격
320	19	5	116	22	2021-06-27	2021-07-04	2021-07-05	0	불합격
321	9	3	132	22	2021-06-27	2021-07-04	2021-07-04	0	불합격
322	10	3	132	22	2021-06-27	2021-07-04	2021-07-04	10	불합격
323	12	4	136	22	2021-06-27	2021-07-04	2021-07-05	40	불합격
324	27	4	136	22	2021-06-27	2021-07-04	2021-07-05	50	불합격
325	3	1	74	23	2021-06-29	2021-07-06	2021-07-07	40	불합격
326	4	1	74	23	2021-06-29	2021-07-06	2021-07-07	10	불합격
342	7	1	79	25	2021-07-03	2021-07-10	2021-07-11	50	불합격
328	11	1	74	23	2021-06-29	2021-07-06	2021-07-07	0	불합격
329	12	1	74	23	2021-06-29	2021-07-06	2021-07-07	10	불합격
330	3	3	133	23	2021-06-29	2021-07-06	2021-07-06	20	불합격
331	4	3	133	23	2021-06-29	2021-07-06	2021-07-06	60	불합격
332	4	1	78	24	2021-07-02	2021-07-09	2021-07-10	10	불합격
341	5	1	79	25	2021-07-03	2021-07-10	2021-07-11	40	불합격
334	6	1	78	24	2021-07-02	2021-07-09	2021-07-10	50	불합격
335	8	1	78	24	2021-07-02	2021-07-09	2021-07-10	20	불합격
336	5	3	134	24	2021-07-02	2021-07-09	2021-07-09	20	불합격
337	6	3	134	24	2021-07-02	2021-07-09	2021-07-09	80	합격
244	7	3	81	13	2021-06-19	2021-06-26	2021-06-26	60	불합격
339	1	1	79	25	2021-07-03	2021-07-10	2021-07-11	40	불합격
340	3	1	79	25	2021-07-03	2021-07-10	2021-07-11	30	불합격
400	5	1	109	30	2021-07-06	2021-07-13	2021-07-14	10	불합격
162	7	6	92	5	2021-06-03	2021-06-10	2021-06-11	60	불합격
343	10	1	122	36	2021-07-11	2021-07-18	2021-07-19	100	합격
344	2	1	80	26	2021-07-03	2021-07-10	2021-07-11	0	불합격
345	4	1	80	26	2021-07-03	2021-07-10	2021-07-11	30	불합격
346	6	1	80	26	2021-07-03	2021-07-10	2021-07-11	50	불합격
347	8	1	80	26	2021-07-03	2021-07-10	2021-07-11	10	불합격
348	11	1	137	37	2021-07-12	2021-07-19	2021-07-20	60	합격
349	9	1	79	25	2021-07-03	2021-07-10	2021-07-11	40	불합격
350	17	3	138	25	2021-07-03	2021-07-10	2021-07-10	0	불합격
351	19	3	138	25	2021-07-03	2021-07-10	2021-07-10	0	불합격
352	20	3	138	25	2021-07-03	2021-07-10	2021-07-10	0	불합격
353	5	3	139	26	2021-07-03	2021-07-10	2021-07-10	60	불합격
354	6	3	139	26	2021-07-03	2021-07-10	2021-07-10	50	불합격
355	4	3	139	26	2021-07-03	2021-07-10	2021-07-10	0	불합격
356	8	3	139	26	2021-07-03	2021-07-10	2021-07-10	40	불합격
357	16	3	138	25	2021-07-03	2021-07-10	2021-07-10	30	불합격
358	19	3	138	25	2021-07-03	2021-07-10	2021-07-10	50	불합격
359	15	3	138	25	2021-07-03	2021-07-10	2021-07-10	60	불합격
360	16	3	139	26	2021-07-03	2021-07-10	2021-07-10	50	불합격
361	9	3	139	26	2021-07-03	2021-07-10	2021-07-10	40	불합격
362	12	3	139	26	2021-07-03	2021-07-10	2021-07-10	20	불합격
363	17	1	93	27	2021-07-04	2021-07-11	2021-07-12	0	불합격
364	19	1	93	27	2021-07-04	2021-07-11	2021-07-12	0	불합격
365	26	1	93	27	2021-07-04	2021-07-11	2021-07-12	10	불합격
366	28	1	93	27	2021-07-04	2021-07-11	2021-07-12	50	불합격
367	30	1	93	27	2021-07-04	2021-07-11	2021-07-12	50	불합격
368	2	1	94	28	2021-07-04	2021-07-11	2021-07-12	0	불합격
369	18	1	94	28	2021-07-04	2021-07-11	2021-07-12	30	불합격
370	20	1	94	28	2021-07-04	2021-07-11	2021-07-12	50	불합격
371	22	1	94	28	2021-07-04	2021-07-11	2021-07-12	20	불합격
372	24	1	94	28	2021-07-04	2021-07-11	2021-07-12	50	불합격
373	27	1	94	28	2021-07-04	2021-07-11	2021-07-12	40	불합격
374	29	1	94	28	2021-07-04	2021-07-11	2021-07-12	20	불합격
375	6	1	94	28	2021-07-04	2021-07-11	2021-07-12	40	불합격
376	1	1	94	28	2021-07-04	2021-07-11	2021-07-12	10	불합격
