순번	판매자 번호	음식	 상품 설명 	 가격 
21	Z003	투움바 파스타	최고급 파마산 치즈와 새우, 양송이를 함께 볶아 깊고 진한 크림소스 파스타	15,000
22	Z003	부시맨 브레드	허니망고버터와 함께 먹는 갈색의 고소한 빵	2,000
23	Z003	오지치즈후라이	두툼한 감자튀김에 체다치즈, 잭치즈를 듬뿍 녹여 베이컨을 뿌린 메뉴	9,000
24	Z003	서로인 스테이크	무난무난한 스테이크	22,000
25	Z003	치킨 텐더 샐러드	부드럽고 고소한 닭 안심 튀김을 올린 샐러드	8,000
26	Z003	콜라	 음료 	2,000
27	Z004	고구마피자	달콤한 고구마 무스가 들어간 피자	10,000
28	Z004	치즈피자	근본 그자체 치즈만 넣은 피자	7,000
29	Z004	고르곤졸라피자	고르곤졸라치즈와 꿀의 조합	12,000
30	Z004	스테이크피자	두툼한 스테이크가 올라간 피자	15,000
31	Z004	쉬림프피자	통통한 새우가 들어간 피자	12,000
32	Z005	김치찜	김치와 돼지고기를 쪄서 만든 음식	25,000
33	Z005	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	20,000
34	Z005	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	12,000
35	Z005	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	8,000
36	Z005	된장찌개	된장을 주재료로 끓인 전통 요리	8,000
37	Z005	잡채	당면과 다양한 재료를 볶아 만든 음식	14,000
38	Z005	모둠전	다양한 전을 모은 음식	26,000
39	Z005	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	7,000
40	Z005	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	35,000
41	Z005	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
42	Z005	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	8,000
43	Z006	까르보나라	관찰레를 볶아 기름을 낸 뒤 달걀 노른자에 치즈와 후추를 섞은 소스를 면과 함께 버무린 파스타 요리이다.	10,000
44	Z006	토마토 파스타	잘 만든 토마토 소스는 그냥 이것만 있어도 훌륭한 파스타 소스가 된다.	8,000
45	Z006	알리오 올리오	마늘을 편썰거나 다진 것을 올리브유에 볶아 향을 우려내고, 이에 면수를 더해 유화시킨 소스를 면에 버무려 먹는다.	8,000
46	Z006	리조또	이탈리아 요리 중 하나로, 쌀을 주재료로 사용해서 만든다.	9,000
47	Z006	커틀렛	얇게 저민 돼지, 소, 닭고기 등을 빵가루에 묻혀 굽거나 튀겨낸 서양 음식	5,000
48	Z006	오믈렛	프랑스의 계란 요리	5,000
49	Z006	콜라	음료	2,000
50	Z007	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
51	Z007	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
52	Z007	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	6,000
53	Z007	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	18,000
54	Z007	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	7,000
55	Z007	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	4,000
56	Z007	콜라	음료	2,000
57	Z008	떡볶이	떡과 부재료를 양념에 볶거나 끓여서 먹는 음식	6,000
58	Z008	순대	돼지 창자에 숙주, 우거지, 찹쌀 등과 돼지 선지를 섞어서 된장으로 간한 것을 채워서 삶은 음식	4,000
59	Z008	김말이	간이 된 삶은 당면과 후추가 들어있고 야채는 맛에 영향이 거의 없을 정도로 미세하게 들어있거나 아예 없다.	4,000
60	Z008	오징어튀김	오징어를 튀김반죽을 묻혀서 기름에 튀겨 낸 음식이다.	4,000
61	Z008	고추튀김	고추를 튀기는 요리	4,000
62	Z009	티본 스테이크	부드러운 안심과 풍미가 진한 등심을 함께 즐길 수 있는 피렌체 오리지널 스타일의 스테이크	20,000
63	Z009	양송이 스프	신선한 재료로 6시간 이상 끓여내는 홈메이드 수프	12,000
64	Z009	토마호크 스테이크	오직 황제만이 즐길 수 있었던 블랙 앵거스의 단1%의 부위 3cm 이상의 두께에서 뿜어져 나오는 압도적인 풍미가 가득한 예술적 스테이크	30,000
65	Z009	투움바 파스타	최고급 파마산 치즈와 새우, 양송이를 함께 볶아 깊고 진한 크림소스 파스타	15,000
66	Z009	샐러드	베이컨, 파마산 치즈가 잘 어우려진 신선한 로메인에 부드러운 시저 드레싱을 결들인 샐러드	6,000
67	Z009	배이비백립	부드러운 돼지갈비에 특제 소스를 빌라 구워낸 바비규 요리	18,000
68	Z009	사이다	음료	2,000
69	Z010	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	7,000
70	Z010	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	8,000
71	Z010	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	10,000
72	Z010	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	4,000
73	Z010	콜라	음료	2,000
74	Z011	김치찜	 김치와 돼지고기를 쪄서 만든 음식 	5,000
75	Z011	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
76	Z011	갈비탕	 큼지막한 갈비를 사골육수에 끓여 만든 요리 	5,500
77	Z011	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
78	Z011	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
79	Z011	잡채	 당면과 다양한 재료를 볶아 만든 음식 	4,000
80	Z011	모둠전	다양한 전을 모은 음식	3,000
81	Z011	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
82	Z011	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
83	Z011	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
84	Z011	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
85	Z011	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
86	Z011	콜라	음료	1,500
87	Z012	떡볶이	떡과 부재료를 양념에 볶거나 끓여서 먹는 음식	4,500
88	Z012	순대	돼지 창자에 숙주, 우거지, 찹쌀 등과 돼지 선지를 섞어서 된장으로 간한 것을 채워서 삶은 음식	3,000
89	Z012	김말이	간이 된 삶은 당면과 후추가 들어있고 야채는 맛에 영향이 거의 없을 정도로 미세하게 들어있거나 아예 없다.	2,000
90	Z012	어묵	일본에서 유래한 어육 가공 음식. 으깬 생선살과 밀가루를 뭉쳐서 열을 가해 묵처럼 굳혀 만든 덩어리	500
91	Z012	오징어튀김	오징어를 튀김반죽을 묻혀서 기름에 튀겨 낸 음식이다.	700
92	Z012	고추튀김	고추를 튀기는 요리	700
93	Z012	김밥	밥을 김으로 감싸 둥글게 만 뒤 잘라낸 음식	2,500
94	Z012	라면	국수를 증기로 익힌 뒤 기름에 튀겨 말린 것에 분말 스프를 별도로 첨부한 즉석 식품	3,500
95	Z012	콜라	음료	1,500
96	Z012	사이다	음료	1,500
97	Z013	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
98	Z013	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
99	Z013	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
100	Z013	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
101	Z013	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
102	Z013	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
103	Z013	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
104	Z013	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
105	Z013	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
106	Z014	떡볶이	떡과 부재료를 양념에 볶거나 끓여서 먹는 음식	4,500
107	Z014	순대	돼지 창자에 숙주, 우거지, 찹쌀 등과 돼지 선지를 섞어서 된장으로 간한 것을 채워서 삶은 음식	3,000
108	Z014	김말이	간이 된 삶은 당면과 후추가 들어있고 야채는 맛에 영향이 거의 없을 정도로 미세하게 들어있거나 아예 없다.	2,000
109	Z014	어묵	 일본에서 유래한 어육 가공 음식. 으깬 생선살과 밀가루를 뭉쳐서 열을 가해 묵처럼 굳혀 만든 덩어리 	500
110	Z014	오징어튀김	오징어를 튀김반죽을 묻혀서 기름에 튀겨 낸 음식이다.	700
111	Z014	고추튀김	 고추를 튀기는 요리 	700
112	Z014	김밥	밥을 김으로 감싸 둥글게 만 뒤 잘라낸 음식	2,500
113	Z014	라면	국수를 증기로 익힌 뒤 기름에 튀겨 말린 것에 분말 스프를 별도로 첨부한 즉석 식품	3,500
114	Z015	초밥	 스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다. 	15,000
115	Z015	우동	 일본의 전통적이고 가장 대중적인 면 요리 	5,000
116	Z015	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
117	Z015	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
118	Z015	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
119	Z015	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
120	Z015	낫토	일본의 전통음식 중 하나	4,500
121	Z015	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
122	Z015	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
123	Z016	후라이드 치킨	닭고기를 튀기기만 하면 되는 매우 단순한 발상과 조리법	10,000
124	Z016	양념치킨	프라이드 치킨에 한국인의 입맛에 맞는 매콤달콤한 양념을 버무려 탄생한 요리	10,500
125	Z016	간장치킨	후라이드에 간장 소스를 바르고 깐풍기처럼 한 번 더 볶거나 아예 빠뜨리고 끓여서 만든다.	11,000
126	Z016	구운치킨	로스트 치킨이라고도 불린다. 영국에서는 로스트 디너 중 하나로 애용되는 음식이다.	11,000
127	Z016	마늘치킨	알싸한 마늘이 발라진 치킨	12,000
128	Z016	파채치킨	치킨 위에 파채가 무수히 많이 올라간 치킨	12,000
129	Z016	카레치킨	 카레의 향이 느껴져 맛이 좋은 치킨 	11,000
130	Z017	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
131	Z017	돼지갈비	 돼지갈비에 양념을 재워 구워먹는 환상적인 음식 	6,000
132	Z017	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
133	Z017	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
134	Z017	된장찌개	 된장을 주재료로 끓인 전통 요리 	4,500
135	Z017	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
136	Z017	모둠전	다양한 전을 모은 음식	3,000
137	Z017	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
138	Z017	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
139	Z017	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
140	Z017	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
141	Z017	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
142	Z017	사이다	음료	1,500
143	Z018	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
144	Z018	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
145	Z018	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
146	Z018	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
147	Z018	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
148	Z018	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
149	Z018	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
150	Z018	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
151	Z018	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
152	Z019	짜장면	 춘장과 야채·고기를 식용유에 볶아서 만든 것을 국수에 비벼 먹는 한국식 중화 요리	4,000
153	Z019	짬뽕	해산물과 채소를 볶아 육수로 끓여낸 매운 국물에 국수를 넣어 만든 한국식 중국 면요리의 일종.	5,000
154	Z019	간짜장	짜장면의 일종으로, 물이나 육수를 붓지 않고 만든 짜장	5,000
155	Z019	탕수육	돼지고기에 녹말을 묻혀서 기름에 튀긴 튀김에 설탕과 식초, 야채, 녹말물을 주재료로 만든 새콤달콤한 소스를 곁들여 먹는 한국식 중화 요리	6,000
156	Z019	볶음밥	밥을 다른 재료와 함께 넣고 기름에 볶아 만든 음식	5,000
157	Z019	군만두	얇은 만두피에 고기, 부추, 당면 등을 넣어 감싼 후 기름에 구워서 먹는 요리	2,000
158	Z019	양장피	양장피와 야채 등을 곁들여 겨자소스를 부어 섞어 먹는 중국요리	4,000
159	Z019	마라탕	혀가 저리게 매운 맛이 나는 탕 요리	6,500
160	Z019	유린기	기름을 뿌린 닭고기'라는 뜻이며, 양상추, 양파 따위 아삭한 식감을 가진 채소 위에 튀긴 닭고기를 얹은 뒤 청고추와 홍고추를 곁들인 간장 양념을 부어먹는 요리다	8,000
161	Z020	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
162	Z020	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
163	Z020	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
164	Z020	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
165	Z020	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
166	Z020	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
167	Z020	모둠전	다양한 전을 모은 음식	3,000
168	Z020	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
169	Z020	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
170	Z020	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
171	Z020	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
172	Z020	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
173	Z020	사이다	음료	1,500
174	Z021	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
175	Z021	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
176	Z021	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
177	Z021	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
178	Z021	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
179	Z021	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
180	Z021	모둠전	다양한 전을 모은 음식	3,000
181	Z021	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
182	Z021	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
183	Z021	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
184	Z021	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
185	Z021	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
186	Z022	까르보나라	관찰레를 볶아 기름을 낸 뒤 달걀 노른자에 치즈와 후추를 섞은 소스를 면과 함께 버무린 파스타 요리이다.	4,500
187	Z022	토마토 파스타	잘 만든 토마토 소스는 그냥 이것만 있어도 훌륭한 파스타 소스가 된다.	6,000
188	Z022	알리오 올리오	마늘을 편썰거나 다진 것을 올리브유에 볶아 향을 우려내고, 이에 면수를 더해 유화시킨 소스를 면에 버무려 먹는다.	7,600
189	Z022	리조또	이탈리아 요리 중 하나로, 쌀을 주재료로 사용해서 만든다.	5,000
190	Z022	참치파스타	참치 캔을 이용하여 간단하게 만드는 즉석 파스타	6,500
191	Z022	스테이크	단어의 어원은 '구운 요리'를 뜻하는 고대 노르드어 단어	9,000
192	Z022	에이드	설탕 등의 단 성분과 과일즙을 넣어 만드는 시원한 음료	2,500
193	Z022	커틀렛	얇게 저민 돼지, 소, 닭고기 등을 빵가루에 묻혀 굽거나 튀겨낸 서양 음식	6,000
194	Z022	오믈렛	프랑스의 계란 요리	5,000
195	Z022	콜라	음료	1,500
196	Z023	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
197	Z023	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
198	Z023	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
199	Z023	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
200	Z023	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
201	Z023	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
202	Z023	낫토	일본의 전통음식 중 하나	4,500
203	Z023	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
204	Z023	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
205	Z024	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
206	Z024	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
207	Z024	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
208	Z024	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
209	Z024	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
210	Z024	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
211	Z024	낫토	일본의 전통음식 중 하나	4,500
212	Z024	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
213	Z024	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
214	Z025	티본 스테이크	부드러운 안심과 풍미가 진한 등심을 함께 즐길 수 있는 피렌체 오리지널 스타일의 스테이크	18,000
215	Z025	양송이 스프	신선한 재료로 6시간 이상 끓여내는 홈메이드 수프	4,500
216	Z025	토마호크 스테이크	오직 황제만이 즐길 수 있었던 블랙 앵거스의 단1%의 부위 3cm 이상의 두께에서 뿜어져 나오는 압도적인 풍미가 가득한 예술적 스테이크	16,000
217	Z025	투움바 파스타	최고급 파마산 치즈와 새우, 양송이를 함께 볶아 깊고 진한 크림소스 파스타	9,000
218	Z025	부시맨 브레드	허니망고버터와 함께 먹는 갈색의 고소한 빵	2,500
219	Z025	오지치즈후라이	두툼한 감자튀김에 체다치즈, 잭치즈를 듬뿍 녹여 베이컨을 뿌린 메뉴	5,000
220	Z025	서로인 스테이크	무난무난한 스테이크	15,000
221	Z025	치킨 텐더 샐러드	부드럽고 고소한 닭 안심 튀김을 올린 샐러드	9,000
222	Z025	샐러드	베이컨, 파마산 치즈가 잘 어우려진 신선한 로메인에 부드러운 시저 드레싱을 결들인 샐러드	7,000
223	Z025	배이비백립	부드러운 돼지갈비에 특제 소스를 빌라 구워낸 바비규 요리	12,000
224	Z026	김치찜	김치와 돼지고기를 쪄서 만든 음식	5,000
225	Z026	돼지갈비	돼지갈비에 양념을 재워 구워먹는 환상적인 음식	6,000
226	Z026	갈비탕	큼지막한 갈비를 사골육수에 끓여 만든 요리	5,500
227	Z026	김치찌개	김치와 돼지고기가 들어간 밥과 궁합이 잘맞는 찌개	6,000
228	Z026	된장찌개	된장을 주재료로 끓인 전통 요리	4,500
229	Z026	잡채	당면과 다양한 재료를 볶아 만든 음식	4,000
230	Z026	모둠전	다양한 전을 모은 음식	3,000
231	Z026	비빔밥	여러 채소와 고기 그리고 고추장과 함께 비벼먹는 음식	2,500
232	Z026	족발	돼지의 다리를 양념한 국물에 푹 삶아낸 음식	8,000
233	Z026	보쌈	돼지고기를 삶은 수육에 배춧잎 또는 겉절이에 싸먹는 음식	9,000
234	Z026	불고기 덮밥	맛있는 불고기를 밥에 가득담은 덮밥	8,000
235	Z026	제육볶음	돼지고기를 맛있는 양념에 볶은 음식	6,000
236	Z027	까르보나라	관찰레를 볶아 기름을 낸 뒤 달걀 노른자에 치즈와 후추를 섞은 소스를 면과 함께 버무린 파스타 요리이다.	4,500
237	Z027	토마토 파스타	잘 만든 토마토 소스는 그냥 이것만 있어도 훌륭한 파스타 소스가 된다.	6,000
238	Z027	알리오 올리오	마늘을 편썰거나 다진 것을 올리브유에 볶아 향을 우려내고, 이에 면수를 더해 유화시킨 소스를 면에 버무려 먹는다.	7,600
239	Z027	리조또	이탈리아 요리 중 하나로, 쌀을 주재료로 사용해서 만든다.	5,000
240	Z027	참치파스타	참치 캔을 이용하여 간단하게 만드는 즉석 파스타	6,500
241	Z027	스테이크	단어의 어원은 '구운 요리'를 뜻하는 고대 노르드어 단어	9,000
242	Z027	에이드	설탕 등의 단 성분과 과일즙을 넣어 만드는 시원한 음료	2,500
243	Z027	커틀렛	얇게 저민 돼지, 소, 닭고기 등을 빵가루에 묻혀 굽거나 튀겨낸 서양 음식	6,000
244	Z027	오믈렛	프랑스의 계란 요리	5,000
245	Z028	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
246	Z028	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
247	Z028	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
248	Z028	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
249	Z028	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
250	Z028	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
251	Z028	낫토	일본의 전통음식 중 하나	4,500
252	Z028	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
253	Z028	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
254	Z029	고구마피자	달콤한 고구마 무스가 들어간 피자	10,000
255	Z029	포테이토피자	포테이토와 베이컨이 들어간 피자	11,000
256	Z029	페페로니피자	오로지 페페로니만을 넣은 피자	9,000
257	Z029	치즈피자	근본 그자체 치즈만 넣은 피자	6,000
258	Z029	고르곤졸라피자	고르곤졸라치즈와 꿀의 조합	6,500
259	Z029	스테이크피자	두툼한 스테이크가 올라간 피자	13,000
260	Z029	쉬림프피자	통통한 새우가 들어간 피자	11,000
261	Z030	초밥	스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다.	15,000
262	Z030	우동	일본의 전통적이고 가장 대중적인 면 요리	5,000
263	Z030	모둠회	제철의 생선들을 싱싱하게 썰은 한 접시	4,000
264	Z030	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	17,000
265	Z030	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	11,000
266	Z030	돈코츠 라멘	돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘	6,000
267	Z030	낫토	일본의 전통음식 중 하나	4,500
268	Z030	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	8,500
269	Z030	유부국	유부장국은 일본된장인 미소에 추가한다	2,000
270	 Z030	콜라	음료	1,500
271	Z031	티본 스테이크	부드러운 안심과 풍미가 진한 등심을 함께 즐길 수 있는 피렌체 오리지널 스타일의 스테이크	18,000
272	Z031	양송이 스프	신선한 재료로 6시간 이상 끓여내는 홈메이드 수프	4,500
273	Z031	토마호크 스테이크	오직 황제만이 즐길 수 있었던 블랙 앵거스의 단1%의 부위 3cm 이상의 두께에서 뿜어져 나오는 압도적인 풍미가 가득한 예술적 스테이크	16,000
