NO	MENU	COUNT	PRICE	RECEIPT
197	18	1	2500	51
198	1	1	6900	52
199	10	1	6900	52
200	15	1	4500	52
201	18	1	2500	52
202	30	1	11900	53
203	33	1	900	53
204	38	1	5400	53
205	38	1	5400	53
206	43	1	4100	53
207	42	1	5900	53
208	44	1	4900	53
209	36	1	11900	53
210	30	2	11900	54
211	32	1	5900	54
212	31	1	9800	54
213	33	1	900	54
214	35	1	11900	54
215	34	1	11900	54
216	37	1	5400	54
217	38	1	5400	54
218	39	1	1900	54
219	36	1	11900	54
220	41	1	2500	54
221	40	1	2400	54
222	43	1	4100	54
223	42	1	5900	54
224	45	1	5500	54
225	46	1	5500	54
226	30	1	11900	55
227	31	1	9800	56
228	31	1	9800	57
229	32	1	5900	57
230	32	1	5900	58
231	35	1	11900	58
232	39	1	1900	58
233	38	1	5400	58
234	30	1	11900	59
235	33	1	900	59
236	34	1	11900	59
237	37	1	5400	59
238	42	1	5900	59
239	40	1	2400	59
240	45	1	5500	59
241	30	1	11900	60
242	36	1	11900	60
243	39	1	1900	60
244	43	1	4100	60
245	33	1	900	61
246	35	2	11900	61
247	38	2	5400	61
248	40	1	2400	61
249	43	1	4100	61
250	42	1	5900	61
251	31	1	9800	62
252	37	1	5400	62
253	38	1	5400	62
254	41	1	2500	62
255	45	1	5500	62
256	32	1	5900	63
257	43	1	4100	63
258	44	1	4900	63
259	47	1	6900	63
260	32	1	5900	63
261	31	1	9800	63
262	30	1	11900	64
263	33	1	900	64
264	35	1	11900	64
265	38	1	5400	64
266	39	1	1900	64
267	41	1	2500	64
268	43	1	4100	64
269	42	1	5900	64
270	45	1	5500	64
271	31	1	9800	65
272	30	1	11900	65
273	33	1	900	65
274	30	1	11900	66
275	35	1	11900	66
276	39	1	1900	66
277	33	1	900	67
278	30	1	11900	67
279	37	1	5400	67
280	40	1	2400	67
281	43	1	4100	67
282	42	1	5900	67
283	45	1	5500	67
284	44	1	4900	67
285	32	1	5900	68
286	30	1	11900	68
287	36	1	11900	68
288	39	1	1900	68
289	35	1	11900	68
290	43	1	4100	68
291	46	1	5500	68
292	49	1	2900	69
293	50	1	2900	69
294	48	1	2900	70
295	51	1	2900	70
296	48	1	2900	71
297	52	1	2900	71
298	54	1	4700	71
299	54	1	4700	72
300	53	1	4700	72
301	54	1	4700	72
302	52	1	2900	72
303	51	1	2900	72
304	49	1	2900	73
305	50	1	2900	73
306	54	3	4700	73
307	48	3	2900	74
308	51	2	2900	74
309	53	3	4700	74
310	49	1	2900	75
311	52	1	2900	75
312	56	2	24000	76
313	55	3	24000	77
314	57	1	18000	78
315	56	1	24000	78
316	59	1	5000	78
317	56	1	24000	79
318	57	1	18000	79
319	58	3	4000	79
320	56	1	24000	80
321	57	1	18000	80
322	59	1	5000	80
323	55	1	24000	81
324	59	1	5000	81
325	55	1	24000	82
326	57	1	18000	82
327	58	1	4000	82
328	55	1	24000	83
329	57	1	18000	83
330	58	1	4000	83
331	56	1	24000	84
332	59	1	5000	84
333	58	1	4000	84
334	55	1	24000	85
335	57	1	18000	85
336	58	1	4000	85
337	55	1	24000	86
338	56	1	24000	86
339	59	2	5000	86
340	56	1	24000	87
341	59	1	5000	87
342	57	2	18000	87
343	19	2	3900	88
344	23	1	32900	88
345	20	1	3900	89
346	23	1	32900	89
347	19	1	3900	90
348	22	1	3900	90
349	21	1	4900	91
350	25	1	3900	91
351	27	1	3990	91
352	20	1	3900	92
353	23	1	32900	92
354	27	1	3990	92
355	24	1	4900	92
356	29	1	2500	92
357	20	1	3900	93
358	22	1	3900	93
359	24	1	4900	93
360	26	1	2900	93
361	28	1	2500	93
362	21	1	4900	94
363	23	1	32900	94
364	24	1	4900	94
365	25	1	3900	94
366	29	3	2500	94
367	28	1	2500	94
368	19	1	3900	95
369	23	1	32900	95
370	26	1	2900	95
371	26	1	2900	95
372	29	1	2500	95
373	20	1	3900	96
374	23	1	32900	96
375	25	1	3900	96
376	26	1	2900	96
377	29	1	2500	96
378	19	1	3900	97
379	23	1	32900	97
380	20	1	3900	97
381	24	1	4900	97
382	25	1	3900	97
383	27	1	3990	97
384	28	1	2500	97
385	19	1	3900	98
386	23	1	32900	98
387	22	1	3900	98
388	24	1	4900	98
389	26	1	2900	98
390	25	1	3900	98
391	29	1	2500	98
392	28	1	2500	98
393	2	1	6900	99
394	20	1	3900	100
395	21	1	4900	100
396	23	1	32900	100
397	22	1	3900	100
398	25	1	3900	100
399	26	1	2900	100
400	27	1	3990	100
401	28	1	2500	100
402	19	1	3900	101
403	19	1	3900	102
404	19	1	3900	103
405	19	1	3900	104
406	19	1	3900	105
407	19	1	3900	106
408	19	1	3900	107
409	60	1	12000	108
410	60	1	12000	109
411	60	1	12000	110
412	60	1	12000	111
413	60	1	12000	112
414	60	1	12000	113
415	60	1	12000	114
416	60	1	12000	115
417	61	1	12900	116
418	60	1	12000	117
419	61	1	12900	118
420	61	1	12900	119
421	61	1	12900	120
422	61	1	12900	121
423	61	1	12900	122
424	63	3	12000	123
425	62	1	12000	123
426	66	1	2900	123
427	62	1	12000	124
428	65	1	3900	124
429	63	1	12000	125
430	65	1	3900	125
431	62	1	12000	126
432	64	1	12000	126
433	62	1	12000	127
434	64	1	12000	127
435	66	1	2900	127
436	62	1	12000	128
437	64	1	12000	128
438	65	1	3900	128
439	63	1	12000	129
440	64	1	12000	129
441	66	1	2900	129
442	64	1	12000	130
443	63	1	12000	130
444	66	1	2900	130
445	63	1	12000	131
446	62	1	12000	131
447	62	1	12000	132
448	63	1	12000	132
449	62	1	12000	133
450	63	1	12000	133
451	66	1	2900	133
452	64	1	12000	134
453	63	1	12000	134
454	66	1	2900	134
455	62	1	12000	135
456	66	1	2900	135
457	63	1	12000	135
458	63	1	12000	136
459	66	1	2900	136
460	64	1	12000	136
461	62	1	12000	137
462	66	1	2900	137
463	63	1	12000	137
464	63	1	12000	138
465	62	1	12000	138
466	64	1	12000	138
467	63	1	12000	139
468	66	1	2900	139
469	62	1	12000	140
470	66	1	2900	140
471	64	1	12000	140
472	63	1	12000	141
473	66	1	2900	141
474	65	1	3900	141
475	62	1	12000	141
476	63	1	12000	142
477	65	1	3900	142
478	62	1	12000	142
479	67	1	6500	143
480	67	1	6500	144
481	67	1	6500	145
482	67	1	6500	146
483	68	1	3400	146
484	69	1	15000	146
485	67	1	6500	147
486	68	1	3400	147
487	69	1	15000	147
488	68	1	3400	148
489	69	1	15000	148
490	68	1	3400	149
491	69	1	15000	149
492	67	1	6500	150
493	69	1	15000	150
494	68	1	3400	151
495	69	1	15000	151
496	68	1	3400	152
497	68	1	3400	153
498	68	1	3400	153
499	68	1	3400	154
500	67	1	6500	154
501	70	1	5900	155
502	71	1	3500	155
503	73	1	3500	155
504	79	1	3500	155
505	80	1	7190	155
506	81	1	1900	155
507	71	1	3500	156
508	72	1	2900	156
509	75	1	3900	156
510	74	1	3590	156
511	76	1	1190	156
512	79	1	3500	156
513	80	1	7190	156
514	70	1	5900	157
515	73	1	3500	157
516	76	1	1190	157
517	78	1	4700	157
518	81	1	1900	157
519	70	1	5900	158
520	73	1	3500	158
521	74	1	3590	158
522	77	1	5300	158
523	79	1	3500	158
524	78	1	4700	158
525	70	1	5900	159
526	74	1	3590	159
527	75	1	3900	159
528	79	1	3500	159
529	80	1	7190	159
530	71	1	3500	160
531	75	1	3900	160
532	74	1	3590	160
533	79	1	3500	160
534	81	1	1900	160
535	71	1	3500	161
536	74	1	3590	161
537	76	1	1190	161
538	78	1	4700	161
539	79	1	3500	161
540	81	1	1900	161
541	73	1	3500	162
542	75	1	3900	162
543	74	1	3590	162
544	79	1	3500	162
545	80	1	7190	162
546	71	1	3500	163
547	74	1	3590	163
548	76	1	1190	163
549	73	1	3500	163
550	79	1	3500	163
551	81	1	1900	163
552	78	1	4700	163
553	71	1	3500	164
554	75	1	3900	164
555	74	1	3590	164
556	72	1	2900	164
557	77	1	5300	164
558	79	1	3500	164
559	80	1	7190	164
560	72	1	2900	165
561	71	1	3500	165
562	73	1	3500	165
563	80	1	7190	165
564	81	1	1900	165
565	78	1	4700	165
566	72	1	2900	166
567	74	1	3590	166
568	78	1	4700	166
569	79	1	3500	166
570	71	1	3500	167
571	74	1	3590	167
572	75	1	3900	167
573	81	1	1900	167
574	79	1	3500	167
575	70	1	5900	168
576	73	1	3500	168
577	76	1	1190	168
578	76	1	1190	168
579	77	1	5300	168
580	78	1	4700	168
581	79	1	3500	168
582	78	1	4700	168
583	82	1	900	169
584	83	1	1500	169
585	85	1	1800	169
586	86	1	3200	169
587	90	1	2900	169
588	89	1	1900	169
589	90	1	2900	169
590	90	1	2900	169
591	90	1	2900	169
592	91	1	1000	169
593	91	1	1000	169
594	88	1	1700	169
595	88	1	1700	169
596	90	1	2900	169
597	83	1	1500	170
598	83	1	1500	170
599	84	1	1400	170
600	83	1	1500	170
601	85	1	1800	170
602	85	1	1800	170
603	85	1	1800	170
604	86	1	3200	170
605	89	1	1900	170
606	86	1	3200	170
607	87	1	800	170
608	86	1	3200	170
609	92	1	5900	170
610	93	1	3600	170
611	93	1	3600	170
612	93	1	3600	170
613	92	1	5900	170
614	92	1	5900	170
615	91	1	1000	170
616	91	1	1000	170
617	91	1	1000	170
618	91	1	1000	170
619	91	1	1000	170
620	90	1	2900	170
621	89	1	1900	170
622	92	1	5900	170
623	89	1	1900	170
624	90	1	2900	170
625	92	1	5900	170
626	93	1	3600	170
627	87	1	800	170
628	88	1	1700	170
629	87	1	800	170
630	83	1	1500	171
631	83	1	1500	171
632	83	1	1500	171
633	84	1	1400	171
634	84	1	1400	171
635	84	1	1400	171
636	84	1	1400	171
637	84	1	1400	171
638	87	1	800	171
639	87	1	800	171
640	87	1	800	171
641	87	1	800	171
642	90	1	2900	171
643	90	1	2900	171
644	90	1	2900	171
645	90	1	2900	171
646	90	1	2900	171
647	90	1	2900	171
648	90	1	2900	171
649	91	1	1000	171
650	88	1	1700	171
651	88	1	1700	171
652	88	1	1700	171
653	91	1	1000	171
654	88	1	1700	171
655	88	1	1700	171
656	91	1	1000	171
657	91	1	1000	171
658	91	1	1000	171
659	90	1	2900	171
660	90	1	2900	171
661	90	1	2900	171
662	86	1	3200	171
663	86	1	3200	171
664	86	1	3200	171
665	94	1	6900	172
666	94	1	6900	172
667	94	1	6900	172
668	95	1	3900	172
669	98	1	2900	172
670	98	1	2900	172
671	95	1	3900	172
672	98	1	2900	172
673	98	1	2900	172
674	100	1	3900	172
675	102	1	3900	172
676	100	1	3900	172
677	99	1	2900	172
678	102	1	3900	172
679	101	1	2400	172
680	99	1	2900	172
681	99	1	2900	172
682	101	1	2400	172
683	102	1	3900	172
684	98	1	2900	172
685	103	1	1900	172
686	103	1	1900	172
687	103	1	1900	172
688	103	1	1900	172
689	103	1	1900	172
690	103	1	1900	172
691	103	1	1900	172
692	103	1	1900	172
693	103	1	1900	172
694	103	1	1900	172
695	101	1	2400	172
696	103	1	1900	172
697	102	1	3900	172
698	101	1	2400	172
699	101	1	2400	172
700	103	1	1900	172
701	99	1	2900	172
702	100	1	3900	172
703	99	1	2900	172
704	100	1	3900	172
705	98	1	2900	172
706	97	1	2600	172
707	98	1	2900	172
708	97	1	2600	172
709	95	1	3900	172
710	94	1	6900	172
711	96	1	3900	172
712	96	1	3900	172
713	96	1	3900	172
714	97	1	2600	172
715	97	1	2600	172
716	97	1	2600	172
717	97	1	2600	172
718	97	1	2600	172
719	98	1	2900	172
720	98	1	2900	172
721	98	1	2900	172
722	98	1	2900	172
723	99	1	2900	172
724	99	1	2900	172
725	99	1	2900	172
726	99	1	2900	172
727	99	1	2900	172
728	100	1	3900	172
729	100	1	3900	172
730	100	1	3900	172
731	102	1	3900	172
732	102	1	3900	172
733	102	1	3900	172
734	102	1	3900	172
735	102	1	3900	172
736	102	1	3900	172
737	102	1	3900	172
738	101	1	2400	172
739	101	1	2400	172
740	101	1	2400	172
741	101	1	2400	172
742	101	1	2400	172
743	101	1	2400	172
744	101	1	2400	172
745	100	1	3900	172
746	99	1	2900	172
747	101	1	2400	172
748	101	1	2400	172
749	102	1	3900	172
750	102	1	3900	172
751	102	1	3900	172
752	103	1	1900	172
753	103	1	1900	172
754	103	1	1900	172
755	103	1	1900	172
756	103	1	1900	172
757	103	1	1900	172
758	95	1	3900	173
759	98	1	2900	173
760	97	1	2600	174
761	98	1	2900	174
762	94	1	6900	174
763	100	1	3900	175
764	99	1	2900	175
765	102	1	3900	175
766	97	1	2600	176
767	101	1	2400	176
768	102	1	3900	176
769	100	1	3900	176
770	94	1	6900	177
771	98	1	2900	177
772	99	1	2900	177
773	102	1	3900	177
774	101	1	2400	177
775	104	1	13900	178
776	105	2	20000	178
777	107	1	9900	178
778	108	1	8900	178
779	105	1	20000	179
780	106	1	3000	179
781	109	1	9900	179
782	110	1	10950	179
783	106	1	3000	180
784	107	1	9900	180
785	105	1	20000	180
786	111	1	10900	180
787	105	1	20000	181
788	104	1	13900	181
789	108	1	8900	181
790	107	1	9900	181
791	112	1	4900	181
792	106	1	3000	182
793	104	1	13900	182
794	112	1	4900	182
795	109	1	9900	182
796	105	1	20000	183
797	107	1	9900	183
798	111	1	10900	183
799	106	1	3000	184
800	107	1	9900	184
801	112	1	4900	184
802	110	1	10950	184
803	106	1	3000	185
804	108	1	8900	185
805	109	1	9900	185
806	110	1	10950	185
807	114	1	11900	186
808	116	1	13900	186
809	117	1	122500	186
810	113	1	10900	186
811	113	1	10900	187
812	115	1	11900	187
813	118	1	14900	187
814	119	1	16900	187
815	116	1	13900	187
816	114	1	11900	188
817	117	1	122500	188
818	116	1	13900	188
819	119	1	16900	188
820	120	1	7700	188
821	114	1	11900	189
822	115	1	11900	189
823	116	1	13900	189
824	119	1	16900	189
825	120	1	7700	189
826	114	1	11900	190
827	117	1	122500	190
828	116	1	13900	190
829	115	1	11900	190
830	113	1	10900	190
831	118	1	14900	190
832	119	1	16900	190
833	113	1	10900	191
834	119	1	16900	191
835	116	1	13900	191
836	120	1	7700	191
837	114	1	11900	192
838	116	1	13900	192
839	117	1	122500	192
840	115	1	11900	193
841	118	1	14900	193
842	120	1	7700	193
843	119	1	16900	193
844	116	1	13900	193
845	125	1	14900	194
846	124	1	13900	194
847	124	1	13900	195
848	126	1	16900	195
849	128	1	12900	195
850	129	1	11900	195
851	125	1	14900	196
852	126	1	16900	196
853	124	1	13900	196
854	129	1	11900	196
855	128	1	12900	196
856	126	1	16900	197
857	127	1	11900	197
858	128	1	12900	197
859	124	1	13900	197
860	125	1	14900	198
861	128	1	12900	198
862	127	1	11900	198
863	125	1	14900	199
864	126	1	16900	199
865	128	1	12900	199
866	129	1	11900	199
867	131	1	11900	200
868	130	1	12900	200
869	134	1	14900	200
870	133	1	16900	200
871	133	1	16900	201
872	135	1	14900	201
873	138	1	32900	201
874	133	1	16900	202
875	138	1	32900	202
876	137	1	14900	202
877	140	1	15900	202
878	141	1	19000	202
879	131	1	11900	203
880	137	1	14900	203
881	140	1	15900	203
882	139	1	13900	203
883	142	1	19000	203
884	138	1	32900	204
885	139	1	13900	204
886	142	1	19000	204
887	144	1	45000	204
888	131	1	11900	205
889	134	1	14900	205
890	133	1	16900	205
891	135	1	14900	205
892	137	1	14900	205
893	133	1	16900	206
894	135	1	14900	206
895	138	1	32900	206
896	141	1	19000	206
897	143	1	3500	206
898	131	1	11900	207
899	134	1	14900	207
900	132	1	14900	207
901	136	1	14900	207
902	140	1	15900	207
903	144	1	45000	207
904	133	1	16900	208
905	131	1	11900	208
906	138	1	32900	208
907	142	1	19000	208
908	144	1	45000	208
909	130	1	12900	209
910	133	1	16900	209
911	135	1	14900	209
912	141	1	19000	209
913	144	1	45000	209
914	147	1	16000	210
915	149	1	16000	210
916	150	1	23000	210
917	152	1	16900	210
918	156	1	39000	210
919	146	1	19000	211
920	149	1	16000	211
921	153	1	14900	211
922	155	1	16900	211
923	157	1	3000	211
924	147	1	16000	212
925	148	1	14000	212
926	153	1	14900	212
927	155	1	16900	212
928	156	1	39000	212
929	146	1	19000	213
930	148	1	14000	213
931	153	1	14900	213
932	151	1	16900	213
933	155	1	16900	213
934	156	1	39000	213
935	157	1	3000	213
936	149	1	16000	214
937	150	1	23000	214
938	151	1	16900	214
939	153	1	14900	214
940	155	1	16900	214
941	156	1	39000	214
942	157	1	3000	214
943	146	1	19000	215
944	150	1	23000	215
945	152	1	16900	215
946	155	1	16900	215
947	156	1	39000	215
948	157	1	3000	215
949	146	1	19000	216
950	147	1	16000	216
951	153	1	14900	216
952	154	1	19000	216
953	155	1	16900	216
954	157	1	3000	216
955	147	1	16000	217
956	152	1	16900	217
957	150	1	23000	217
958	156	1	39000	217
959	157	1	3000	217
960	146	1	19000	218
961	150	1	23000	218
962	155	1	16900	218
963	156	1	39000	218
964	157	1	3000	218
965	148	1	14000	219
966	147	1	16000	219
967	150	1	23000	219
968	149	1	16000	219
969	153	1	14900	219
970	152	1	16900	219
971	154	1	19000	219
972	158	1	19000	220
973	159	1	8000	220
974	162	1	14900	220
975	165	1	15000	220
976	159	1	8000	221
977	161	1	6900	221
978	163	1	11900	221
979	165	1	15000	221
980	158	1	19000	222
981	161	1	6900	222
982	163	1	11900	222
983	162	1	14900	222
984	166	1	19000	222
985	146	1	19000	223
986	147	1	16000	223
987	150	1	23000	223
988	152	1	16900	223
989	160	1	8900	224
990	161	1	6900	224
991	163	1	11900	224
992	165	1	15000	224
993	158	1	19000	225
994	161	1	6900	225
995	163	1	11900	225
996	165	1	15000	225
997	166	1	19000	225
998	159	1	8000	226
999	161	1	6900	226
1000	163	1	11900	226
1001	162	1	14900	226
1002	164	1	99000	226
1003	166	1	19000	226
1004	158	1	19000	227
1005	162	1	14900	227
1006	164	1	99000	227
1007	166	1	19000	227
1008	158	1	19000	228
1009	161	1	6900	228
1010	162	1	14900	228
1011	164	1	99000	228
1012	166	1	19000	228
1013	158	1	19000	229
1014	161	1	6900	229
1015	162	1	14900	229
1016	164	1	99000	229
1017	166	1	19000	229
1018	167	1	14500	230
1019	168	1	14000	230
1020	172	1	13500	230
1021	171	1	15000	230
1022	167	1	14500	231
1023	170	1	14900	231
1024	171	1	15000	231
1025	167	1	14500	232
1026	170	2	14900	232
1027	168	1	14000	232
1028	172	1	13500	232
1029	168	1	14000	233
1030	172	1	13500	233
1031	169	1	14500	234
1032	170	1	14900	234
1033	168	1	14000	234
1034	171	1	15000	234
1035	167	1	14500	235
1036	170	1	14900	235
1037	172	1	13500	235
1038	171	1	15000	235
1039	168	1	14000	236
1040	169	1	14500	236
1041	172	1	13500	236
1042	171	1	15000	236
1043	167	1	14500	237
1044	170	1	14900	237
1045	171	1	15000	237
1046	167	1	14500	238
1047	168	1	14000	238
1048	172	1	13500	238
1049	168	1	14000	239
1050	172	1	13500	239
1051	170	1	14900	239
1052	169	1	14500	240
1053	170	1	14900	240
1054	172	1	13500	240
1055	171	1	15000	240
1056	167	1	14500	241
1057	170	1	14900	241
1058	171	1	15000	241
1059	173	1	8100	242
1060	175	1	7900	242
1061	178	1	14900	242
1062	180	1	10900	242
1063	173	1	8100	243
1064	176	1	8900	243
1065	175	1	7900	243
1066	177	1	14000	243
1067	180	1	10900	243
1068	181	1	11900	243
1069	173	1	8100	244
1070	175	1	7900	244
1071	178	1	14900	244
1072	175	1	7900	244
1073	176	1	8900	244
1074	180	1	10900	244
1075	181	1	11900	244
1076	173	1	8100	245
1077	174	1	13900	245
1078	177	1	14000	245
1079	178	1	14900	245
1080	180	1	10900	245
1081	173	1	8100	246
1082	176	1	8900	246
1083	177	1	14000	246
1084	178	1	14900	246
1085	180	1	10900	246
1086	174	1	13900	247
1087	175	1	7900	247
1088	178	1	14900	247
1089	179	1	12900	247
1090	180	1	10900	247
1091	181	1	11900	247
1092	173	1	8100	248
1093	175	1	7900	248
1094	178	1	14900	248
1095	180	1	10900	248
1096	181	1	11900	248
1097	173	1	8100	249
1098	176	1	8900	249
1099	175	1	7900	249
1100	177	1	14000	249
1101	180	1	10900	249
1102	178	1	14900	249
1103	174	1	13900	250
1104	176	1	8900	250
1105	178	1	14900	250
1106	179	1	12900	250
1107	181	1	11900	250
1108	182	1	12000	251
1109	183	1	10900	251
1110	184	1	12900	251
1111	187	1	10500	251
1112	190	1	11900	251
1113	182	1	12000	252
1114	184	1	12900	252
1115	186	1	9900	252
1116	189	1	9500	252
1117	190	1	11900	252
1118	192	1	10900	252
1119	182	1	12000	253
1120	184	1	12900	253
1121	186	1	9900	253
1122	189	1	9500	253
1123	190	1	11900	253
1124	192	1	10900	253
1125	183	1	10900	254
1126	185	1	8900	254
1127	186	1	9900	254
1128	187	1	10500	254
1129	191	1	11900	254
1130	192	1	10900	254
1131	183	1	10900	255
1132	184	1	12900	255
1133	187	1	10500	255
1134	186	1	9900	255
1135	190	1	11900	255
1136	192	1	10900	255
1137	183	1	10900	256
1138	184	1	12900	256
1139	190	1	11900	256
1140	189	1	9500	256
1141	191	1	11900	256
1142	192	1	10900	256
1143	182	1	12000	257
1144	186	1	9900	257
1145	185	1	8900	257
1146	187	1	10500	257
1147	188	1	11500	257
1148	191	1	11900	257
1149	192	1	10900	257
1150	183	1	10900	258
1151	184	1	12900	258
1152	186	1	9900	258
1153	187	1	10500	258
1154	188	1	11500	258
1155	191	1	11900	258
1156	182	1	12000	259
1157	184	1	12900	259
1158	187	1	10500	259
1159	188	1	11500	259
1160	191	1	11900	259
1161	183	1	10900	260
1162	184	1	12900	260
1163	187	1	10500	260
1164	188	1	11500	260
1165	189	1	9500	260
1166	191	1	11900	260
1167	190	1	11900	260
1168	192	1	10900	260
1169	194	1	14800	261
1170	195	1	9700	261
1171	193	1	12600	262
1172	196	1	10400	262
1173	193	1	12600	263
1174	195	1	9700	263
1175	194	1	14800	264
1176	195	1	9700	264
1177	194	1	14800	265
1178	197	1	9700	265
1179	194	1	14800	266
1180	195	1	9700	266
1181	194	1	14800	267
1182	196	1	10400	267
1183	193	1	12600	268
1184	196	1	10400	268
1185	193	1	12600	269
1186	195	1	9700	269
1187	194	1	14800	270
1188	196	1	10400	270
1189	198	1	10900	271
1190	202	1	1900	271
1191	206	1	3500	271
1192	199	1	9500	272
1193	201	1	2900	272
1194	205	1	9900	272
1195	206	1	3500	272
1196	207	1	4900	272
1197	199	1	9500	273
1198	202	1	1900	273
1199	204	1	9900	273
1200	205	1	9900	273
1201	206	1	3500	273
1202	198	1	10900	274
1203	201	1	2900	274
1204	205	1	9900	274
1205	206	1	3500	274
1206	207	1	4900	274
1207	199	1	9500	275
1208	203	1	1900	275
1209	205	1	9900	275
1210	207	1	4900	275
1211	201	1	2900	276
1212	202	1	1900	276
1213	199	1	9500	276
1214	198	1	10900	277
1215	202	1	1900	277
1216	205	1	9900	277
1217	204	1	9900	277
1218	199	1	9500	278
1219	201	1	2900	278
1220	204	1	9900	278
1221	205	1	9900	278
1222	201	1	2900	279
1223	202	1	1900	279
1224	206	1	3500	279
1225	199	1	9500	280
1226	201	1	2900	280
1227	205	1	9900	280
1228	206	1	3500	280
1229	208	1	900	281
1230	210	1	8900	281
1231	215	1	4900	281
1232	209	1	8300	282
1233	208	1	900	282
1234	215	1	4900	282
1235	208	1	900	283
1236	209	1	8300	283
1237	214	1	13900	283
1238	217	1	1000	283
1239	219	1	2000	283
1240	208	1	900	284
1241	216	1	1000	284
1242	218	1	2000	284
1243	215	1	4900	284
1244	214	1	13900	284
1245	210	1	8900	285
1246	212	1	8900	285
1247	216	1	1000	285
