도서코드	회원ID	대출일자	반납예정일	반납일자	대출연장	예약자	예약일
DJ20187400002	user05	2021-02-24	2021-03-10	2021-03-10	N		
DJ20187700024	user08	2021-02-24	2021-03-10	2021-03-10	N		
DJ20190300048	user07	2021-02-24	2021-03-10	2021-03-10	N		
DJ20190300049	user07	2021-02-24	2021-03-10	2021-03-10	N		
DJ20190300050	user07	2021-02-24	2021-03-10	2021-03-10	N		
DJ20190300051	user07	2021-02-24	2021-03-10	2021-03-10	N		
DJ20197700002	user01	2021-02-25	2021-03-11	2021-03-11	N		
DJ20197700003	user01	2021-02-25	2021-03-11	2021-03-11	N		
DJ20197700016	user04	2021-02-28	2021-03-14	2021-03-14	N		
DJ20210400002	user06	2021-03-01	2021-03-15	2021-03-15	N		
DJ20187400001	user08	2021-03-04	2021-03-18	2021-03-18	N		
DJ20190400028	user04	2021-03-05	2021-03-19	2021-03-19	N		
DJ20190500015	user04	2021-03-05	2021-03-19	2021-03-19	N		
DJ20190500016	user04	2021-03-05	2021-03-19	2021-03-19	N		
DJ20199300003	user06	2021-03-05	2021-03-19	2021-03-19	N		
DJ20190400006	user06	2021-03-05	2021-03-19	2021-03-19	N		
DJ20199300004	user05	2021-03-06	2021-03-20	2021-03-20	N		
DJ20210300040	user10	2021-03-08	2021-03-22	2021-03-22	N		
DJ20211500001	user10	2021-03-08	2021-03-22	2021-03-22	N		
DJ20210300041	user10	2021-03-08	2021-03-22	2021-03-22	N		
DJ20187700024	user07	2021-03-12	2021-03-26	2021-03-26	N		
DJ20180300001	user04	2021-03-14	2021-03-28	2021-03-28	N		
DJ20187400002	user04	2021-03-14	2021-03-28	2021-03-28	N		
DJ20197700007	user01	2021-03-15	2021-03-29	2021-03-29	N		
DJ20197700008	user01	2021-03-15	2021-03-29	2021-03-29	N		
DJ20197700009	user01	2021-03-15	2021-03-29	2021-03-29	N		
DJ20197700010	user01	2021-03-15	2021-03-29	2021-03-29	N		
DJ20190300001	user04	2021-03-15	2021-03-29	2021-03-29	N		
DJ20190300002	user04	2021-03-15	2021-03-29	2021-03-29	N		
DJ20190300052	user07	2021-03-15	2021-03-29	2021-03-29	N		
DJ20194300005	user07	2021-03-15	2021-03-29	2021-03-29	N		
DJ20190300054	user07	2021-03-15	2021-03-29	2021-03-29	N		
DJ20190300055	user07	2021-03-15	2021-03-29	2021-03-29	N		
DJ20180400004	user01	2021-03-16	2021-03-30	2021-03-30	N		
DJ20210400002	user05	2021-03-17	2021-03-31	2021-03-31	N		
DJ20199300003	user03	2021-03-20	2021-04-03	2021-04-03	N		
DJ20187700001	user03	2021-03-20	2021-04-03	2021-04-03	N		
DJ20199300004	user06	2021-03-22	2021-04-05	2021-04-05	N		
DJ20197700011	user01	2021-03-28	2021-04-11	2021-04-11	N		
DJ20197700012	user01	2021-03-28	2021-04-11	2021-04-11	N		
DJ20194300001	user04	2021-03-30	2021-04-04	2021-04-04	N		
DJ20190300003	user04	2021-03-30	2021-04-04	2021-04-04	N		
DJ20191500001	user04	2021-03-30	2021-04-04	2021-04-04	N		
DJ20199300002	user04	2021-03-30	2021-04-04	2021-04-04	N		
DJ20190300004	user04	2021-03-30	2021-04-04	2021-04-04	N		
DJ20197700050	user02	2021-04-01	2021-04-15	2021-04-15	N		
DJ20190400009	user02	2021-04-01	2021-04-15	2021-04-15	N		
DJ20190500017	user02	2021-04-01	2021-04-15	2021-04-15	N		
DJ20187400001	user07	2021-04-01	2021-04-15	2021-04-15	N		
DJ20190300056	user07	2021-04-01	2021-04-15	2021-04-15	N		
DJ20191300011	user07	2021-04-01	2021-04-15	2021-04-15	N		
DJ20190300057	user07	2021-04-01	2021-04-15	2021-04-15	N		
DJ20190400016	user07	2021-04-01	2021-04-15	2021-04-15	N		
DJ20187400001	user06	2021-04-05	2021-04-19	2021-04-19	N		
DJ20187700024	user06	2021-04-05	2021-04-19	2021-04-19	N		
DJ20190300030	user06	2021-04-05	2021-04-19	2021-04-19	N		
DJ20190300031	user06	2021-04-05	2021-04-19	2021-04-19	N		
DJ20190300032	user06	2021-04-05	2021-04-19	2021-04-19	N		
DJ20210400002	user04	2021-04-07	2021-04-15	2021-04-15	N		
DJ20187700001	user04	2021-04-08	2021-04-19	2021-04-19	N		
DJ20187400002	user03	2021-04-10	2021-04-24	2021-04-24	N		
DJ20190300005	user04	2021-04-10	2021-04-24	2021-04-24	N		
DJ20190300006	user04	2021-04-10	2021-04-24	2021-04-24	N		
DJ20190400002	user04	2021-04-10	2021-04-24	2021-04-24	N		
DJ20191300001	user05	2021-04-12	2021-04-26	2021-04-26	N		
DJ20190300017	user05	2021-04-12	2021-04-26	2021-04-26	N		
DJ20191400001	user05	2021-04-12	2021-04-26	2021-04-26	N		
DJ20180300001	user05	2021-04-15	2021-04-29	2021-04-29	N		
DJ20197700016	user01	2021-04-15	2021-04-29	2021-04-29	N		
DJ20197700015	user01	2021-04-15	2021-04-29	2021-04-29	N		
DJ20197700017	user01	2021-04-15	2021-04-29	2021-04-29	N		
DJ20197700018	user01	2021-04-15	2021-04-29	2021-04-29	N		
DJ20190300061	user07	2021-04-15	2021-04-29	2021-04-29	N		
DJ20190300062	user07	2021-04-15	2021-04-29	2021-04-29	N		
DJ20191300013	user07	2021-04-15	2021-04-29	2021-04-29	N		
DJ20190300063	user07	2021-04-15	2021-04-29	2021-04-29	N		
DJ20199300004	user07	2021-04-15	2021-04-29	2021-04-29	N		
DJ20210400002	user03	2021-04-17	2021-05-01	2021-05-01	N		
DJ20210500005	user10	2021-04-17	2021-05-01	2021-05-01	N		
DJ20210500006	user10	2021-04-17	2021-05-01	2021-05-01	N		
DJ20190500002	user04	2021-04-20	2021-04-24	2021-04-24	N		
DJ20190300007	user04	2021-04-20	2021-04-24	2021-04-24	N		
DJ20187400001	user05	2021-04-24	2021-05-08	2021-05-08	N		
DJ20187700001	user05	2021-04-24	2021-05-08	2021-05-08	N		
DJ20199300003	user04	2021-04-25	2021-05-08	2021-05-08	N		
DJ20199300004	user08	2021-04-26	2021-05-10	2021-05-10	N		
DJ20197700019	user01	2021-04-28	2021-05-12	2021-05-12	N		
DJ20197700020	user01	2021-04-30	2021-05-12	2021-05-12	N		
DJ20187400002	user02	2021-05-01	2021-05-15	2021-05-15	N		
DJ20191300014	user07	2021-05-01	2021-05-15	2021-05-15	N		
DJ20190300064	user07	2021-05-01	2021-05-15	2021-05-15	N		
DJ20191300015	user07	2021-05-01	2021-05-15	2021-05-15	N		
DJ20190300065	user07	2021-05-01	2021-05-15	2021-05-15	N		
DJ20191500005	user07	2021-05-01	2021-05-15	2021-05-15	N		
DJ20210400002	user02	2021-05-04	2021-05-18	2021-05-18	N		
DJ20197700022	user01	2021-05-04	2021-05-18	2021-05-18	N		
DJ20197700023	user01	2021-05-04	2021-05-18	2021-05-18	N		
DJ20197700024	user01	2021-05-04	2021-05-18	2021-05-18	N		
DJ20211300002	user08	2021-05-04	2021-05-18	2021-05-18	N		
DJ20210500001	user08	2021-05-04	2021-05-18	2021-05-18	N		
DJ20210300021	user08	2021-05-04	2021-05-18	2021-05-18	N		
DJ20210300003	user10	2021-05-10	2021-05-24	2021-05-24	N		
DJ20210300001	user10	2021-05-10	2021-05-24	2021-05-24	N		
DJ20210300027	user10	2021-05-10	2021-05-24	2021-05-24	N		
DJ20199300004	user01	2021-05-12	2021-05-22	2021-05-22	N		
DJ20191500002	user05	2021-05-12	2021-05-26	2021-05-26	N		
DJ20190300014	user05	2021-05-12	2021-05-26	2021-05-26	N		
DJ20180400004	user10	2021-05-12	2021-05-26	2021-05-26	N		
DJ20187400001	user04	2021-05-14	2021-05-28	2021-05-28	N		
DJ20191300006	user06	2021-05-14	2021-05-28	2021-05-28	N		
DJ20187700001	user06	2021-05-14	2021-05-28	2021-05-28	N		
DJ20190300058	user07	2021-05-16	2021-05-30	2021-05-30	N		
DJ20194300006	user07	2021-05-16	2021-05-30	2021-05-30	N		
DJ20190300059	user07	2021-05-16	2021-05-30	2021-05-30	N		
DJ20191300012	user07	2021-05-16	2021-05-30	2021-05-30	N		
DJ20199300004	user07	2021-05-16	2021-05-30	2021-05-30	N		
DJ20187400002	user01	2021-05-18	2021-06-01	2021-06-01	N		
DJ20210400002	user01	2021-05-20	2021-06-03	2021-06-03	N		
DJ20197700027	user01	2021-05-20	2021-06-03	2021-06-03	N		
DJ20197700030	user01	2021-05-20	2021-06-03	2021-06-03	N		
DJ20199300003	user05	2021-05-20	2021-06-03	2021-06-03	N		
DJ20191300007	user06	2021-05-20	2021-06-03	2021-06-03	N		
DJ20190300033	user06	2021-05-20	2021-06-03	2021-06-03	N		
DJ20190300034	user06	2021-05-20	2021-06-03	2021-06-03	N		
DJ20197700047	user02	2021-05-21	2021-06-04	2021-06-04	N		
DJ20197700048	user02	2021-05-21	2021-06-04	2021-06-04	N		
DJ20197700049	user02	2021-05-21	2021-06-04	2021-06-04	N		
DJ20187700024	user05	2021-05-24	2021-06-07	2021-06-07	N		
DJ20210500007	user10	2021-05-28	2021-06-11	2021-06-11	N		
DJ20210300006	user10	2021-05-28	2021-06-11	2021-06-11	N		
DJ20210300015	user10	2021-05-28	2021-06-11	2021-06-11	N		
DJ20210300012	user10	2021-05-28	2021-06-11	2021-06-11	N		
DJ20210300009	user10	2021-05-28	2021-06-11	2021-06-11	N		
DJ20190300010	user04	2021-05-29	2021-06-11	2021-06-11	N		
DJ20190500003	user04	2021-05-29	2021-06-11	2021-06-11	N		
DJ20199300004	user02	2021-06-01	2021-06-09	2021-06-09	N		
DJ20187400001	user03	2021-06-01	2021-06-15	2021-06-15	N		
DJ20197700016	user03	2021-06-01	2021-06-15	2021-06-15	N		
DJ20197300002	user07	2021-06-01	2021-06-15	2021-06-15	N		
DJ20190300066	user07	2021-06-01	2021-06-15	2021-06-15	N		
DJ20187700001	user07	2021-06-01	2021-06-15	2021-06-15	N		
DJ20190300067	user07	2021-06-01	2021-06-15	2021-06-15	N		
DJ20190400017	user07	2021-06-01	2021-06-15	2021-06-15	N		
DJ20197700029	user01	2021-06-05	2021-06-12	2021-06-12	N		
DJ20197700028	user01	2021-06-05	2021-06-12	2021-06-12	N		
DJ20194300002	user04	2021-06-05	2021-06-19	2021-06-19	N		
DJ20197300001	user04	2021-06-05	2021-06-19	2021-06-19	N		
DJ20210400002	user05	2021-06-06	2021-06-20	2021-06-20	N		
DJ20214400001	user10	2021-06-07	2021-06-21	2021-06-21	N		
DJ20214700001	user10	2021-06-07	2021-06-21	2021-06-21	N		
DJ20210300001	user10	2021-06-07	2021-06-21	2021-06-21	N		
DJ20210500004	user10	2021-06-07	2021-06-21	2021-06-21	N		
DJ20197700031	user01	2021-06-08	2021-06-11	2021-06-11	N		
DJ20197700032	user01	2021-06-08	2021-06-11	2021-06-11	N		
DJ20197700033	user01	2021-06-08	2021-06-11	2021-06-11	N		
DJ20180300001	user06	2021-06-08	2021-06-22	2021-06-22	N		
DJ20190300035	user06	2021-06-08	2021-06-22	2021-06-22	N		
DJ20190300036	user06	2021-06-08	2021-06-22	2021-06-22	N		
DJ20194300004	user06	2021-06-08	2021-06-22	2021-06-22	N		
DJ20190300011	user04	2021-06-12	2021-06-19	2021-06-19	N		
DJ20190400004	user04	2021-06-12	2021-06-19	2021-06-19	N		
DJ20197700034	user01	2021-06-13	2021-06-26	2021-06-26	N		
DJ20197700035	user01	2021-06-13	2021-06-26	2021-06-26	N		
DJ20211300004	user08	2021-06-15	2021-06-29	2021-06-29	N		
DJ20210300024	user08	2021-06-15	2021-06-29	2021-06-29	N		
DJ20210300025	user08	2021-06-15	2021-06-29	2021-06-29	N		
DJ20190300068	user07	2021-06-15	2021-06-29	2021-06-29	N		
DJ20190300069	user07	2021-06-15	2021-06-29	2021-06-29	N		
DJ20190300053	user07	2021-06-15	2021-06-29	2021-06-29	N		
DJ20180300001	user07	2021-06-15	2021-06-29	2021-06-29	N		
DJ20199300004	user03	2021-06-17	2021-07-01	2021-07-01	N		
DJ20199300003	user06	2021-06-18	2021-07-02	2021-07-02	N		
DJ20187400001	user02	2021-06-20	2021-07-04	2021-07-04	N		
DJ20190300018	user05	2021-06-20	2021-07-04	2021-07-04	N		
DJ20190300019	user05	2021-06-20	2021-07-04	2021-07-04	N		
DJ20190300020	user05	2021-06-20	2021-07-04	2021-07-04	N		
DJ20187700001	user08	2021-06-20	2021-07-04	2021-07-04	N		
DJ20180400004	user09	2021-06-21	2021-07-05	2021-07-05	N		
DJ20210400002	user04	2021-06-24	2021-07-08	2021-07-08	N		
DJ20180300001	user08	2021-06-28	2021-07-12	2021-07-12	N		
DJ20210300012	user10	2021-06-29	2021-07-13	2021-07-13	N		
DJ20210300003	user10	2021-06-30	2021-07-14	2021-07-14	N		
DJ20210300006	user10	2021-06-30	2021-07-14	2021-07-14	N		
DJ20210300015	user10	2021-06-30	2021-07-14	2021-07-14	N		
DJ20210300009	user10	2021-06-30	2021-07-14	2021-07-14	N		
DJ20210300027	user10	2021-06-30	2021-07-14	2021-07-14	N		
DJ20199300003	user07	2021-07-08	2021-07-22	2021-07-22	N		
DJ20190300070	user07	2021-07-08	2021-07-22	2021-07-22	N		
DJ20194300007	user07	2021-07-08	2021-07-22	2021-07-22	N		
DJ20194500002	user07	2021-07-08	2021-07-22	2021-07-22	N		
DJ20190300071	user07	2021-07-08	2021-07-22	2021-07-22	N		
DJ20199300004	user04	2021-07-10	2021-07-24	2021-07-24	N		
DJ20197700036	user01	2021-07-13	2021-07-26	2021-07-26	N		
DJ20197700037	user01	2021-07-13	2021-07-26	2021-07-26	N		
DJ20197700038	user01	2021-07-13	2021-07-26	2021-07-26	N		
DJ20190300037	user06	2021-07-14	2021-07-28	2021-07-28	N		
DJ20191300008	user06	2021-07-14	2021-07-28	2021-07-28	N		
DJ20190300042	user06	2021-07-14	2021-07-28	2021-07-28	N		
DJ20190300043	user06	2021-07-14	2021-07-28	2021-07-28	N		
DJ20187400001	user01	2021-07-15	2021-07-29	2021-07-29	N		
DJ20190300021	user05	2021-07-15	2021-07-29	2021-07-29	N		
DJ20190300022	user05	2021-07-15	2021-07-29	2021-07-29	N		
DJ20191300002	user05	2021-07-15	2021-07-29	2021-07-29	N		
DJ20180300001	user09	2021-07-15	2021-07-29	2021-07-29	N		
DJ20210400002	user03	2021-07-20	2021-08-03	2021-08-03	N		
DJ20187700001	user09	2021-07-20	2021-08-03	2021-08-03	N		
DJ20180400004	user08	2021-07-20	2021-08-03	2021-08-03	N		
DJ20210300026	user08	2021-07-21	2021-08-04	2021-08-04	N		
DJ20210300029	user08	2021-07-21	2021-08-04	2021-08-04	N		
DJ20215400001	user08	2021-07-21	2021-08-04	2021-08-04	N		
DJ20199300003	user08	2021-07-23	2021-08-06	2021-08-06	N		
DJ20197700016	user02	2021-07-24	2021-08-07	2021-08-07	N		
DJ20191300016	user07	2021-07-24	2021-08-07	2021-08-07	N		
DJ20190500007	user07	2021-07-24	2021-08-07	2021-08-07	N		
DJ20190300072	user07	2021-07-24	2021-08-07	2021-08-07	N		
DJ20190300073	user07	2021-07-24	2021-08-07	2021-08-07	N		
DJ20190300074	user07	2021-07-24	2021-08-07	2021-08-07	N		
DJ20199300004	user05	2021-07-30	2021-08-12	2021-08-12	N		
DJ20180300001	user10	2021-08-04	2021-08-18	2021-08-18	N		
DJ20190400032	user02	2021-08-05	2021-08-19	2021-08-19	N		
DJ20190400010	user02	2021-08-05	2021-08-19	2021-08-19	N		
DJ20190300076	user02	2021-08-05	2021-08-19	2021-08-19	N		
DJ20190300040	user06	2021-08-05	2021-08-19	2021-08-19	N		
DJ20190400015	user06	2021-08-05	2021-08-19	2021-08-19	N		
DJ20190300041	user06	2021-08-05	2021-08-19	2021-08-19	N		
DJ20199300003	user08	2021-08-07	2021-08-12	2021-08-12	N		
DJ20187400002	user10	2021-08-10	2021-08-24	2021-08-24	N		
DJ20197700016	user01	2021-08-12	2021-08-26	2021-08-26	N		
DJ20190300023	user05	2021-08-13	2021-08-26	2021-08-26	N		
DJ20194500001	user05	2021-08-13	2021-08-26	2021-08-26	N		
DJ20190300024	user05	2021-08-13	2021-08-26	2021-08-26	N		
DJ20199300003	user09	2021-08-14	2021-08-21	2021-08-21	N		
DJ20199300004	user06	2021-08-14	2021-08-28	2021-08-28	N		
DJ20190400018	user07	2021-08-15	2021-08-29	2021-08-29	N		
DJ20190400019	user07	2021-08-15	2021-08-29	2021-08-29	N		
DJ20190400020	user07	2021-08-15	2021-08-29	2021-08-29	N		
DJ20194300003	user07	2021-08-15	2021-08-29	2021-08-29	N		
DJ20207100001	user07	2021-08-15	2021-08-29	2021-08-29	N		
DJ20190300077	user03	2021-08-20	2021-09-03	2021-09-03	N		
DJ20190400011	user03	2021-08-20	2021-09-03	2021-09-03	N		
DJ20197700039	user01	2021-08-20	2021-09-03	2021-09-03	N		
DJ20197700040	user01	2021-08-20	2021-09-03	2021-09-03	N		
DJ20199300003	user10	2021-08-22	2021-09-05	2021-09-05	N		
DJ20209100001	user07	2021-08-25	2021-09-08	2021-09-08	N		
DJ20201100001	user07	2021-08-25	2021-09-08	2021-09-08	N		
DJ20201100002	user07	2021-08-25	2021-09-08	2021-09-08	N		
DJ20201100003	user07	2021-08-25	2021-09-08	2021-09-08	N		
DJ20206100001	user07	2021-08-25	2021-09-08	2021-09-08	N		
DJ20214400001	user10	2021-09-01	2021-09-15	2021-09-15	N		
DJ20210300034	user09	2021-09-01	2021-09-15	2021-09-15	N		
DJ20210500002	user09	2021-09-01	2021-09-15	2021-09-15	N		
DJ20211300005	user09	2021-09-01	2021-09-15	2021-09-15	N		
DJ20210300031	user08	2021-09-01	2021-09-15	2021-09-15	N		
DJ20210300032	user08	2021-09-01	2021-09-22	2021-09-22	Y		
DJ20210300033	user08	2021-09-01	2021-09-22	2021-09-22	Y		
DJ20190400027	user03	2021-09-05	2021-09-19	2021-09-19	N		
DJ20190400026	user03	2021-09-05	2021-09-19	2021-09-19	N		
DJ20190400013	user03	2021-09-05	2021-09-19	2021-09-19	N		
DJ20210300015	user10	2021-09-05	2021-09-19	2021-09-19	N		
DJ20210300012	user10	2021-09-05	2021-09-19	2021-09-19	N		
DJ20210400003	user10	2021-09-05	2021-09-19	2021-09-19	N		
DJ20190300025	user05	2021-09-10	2021-09-24	2021-09-24	N		
DJ20199300004	user07	2021-09-10	2021-09-24	2021-09-24	N		
DJ20201300001	user07	2021-09-10	2021-09-24	2021-09-24	N		
DJ20206100002	user07	2021-09-10	2021-09-24	2021-09-24	N		
DJ20201100004	user07	2021-09-10	2021-09-24	2021-09-24	N		
DJ20200300002	user07	2021-09-10	2021-09-24	2021-09-24	N		
DJ20210400002	user01	2021-09-13	2021-09-27	2021-09-27	N		
DJ20199300004	user08	2021-09-13	2021-09-27	2021-09-27	N		
DJ20190400014	user03	2021-09-14	2021-09-28	2021-09-28	N		
DJ20190500006	user03	2021-09-14	2021-09-28	2021-09-28	N		
DJ20197300005	user03	2021-09-20	2021-09-28	2021-09-28	N		
DJ20210400002	user02	2021-09-20	2021-10-04	2021-10-04	N		
DJ20210500003	user09	2021-09-20	2021-10-04	2021-10-04	N		
DJ20214700001	user10	2021-09-21	2021-10-01	2021-10-01	N		
DJ20197700042	user01	2021-09-21	2021-10-05		N	user04	2021-10-03
DJ20197700045	user02	2021-09-21	2021-10-05		N	user10	2021-10-01
DJ20197700046	user02	2021-09-21	2021-10-05		N	user10	2021-10-01
DJ20210500007	user04	2021-09-21	2021-10-05		N	user01	2021-10-05
DJ20190300026	user05	2021-09-21	2021-10-05		N	user02	2021-10-04
DJ20191500003	user05	2021-09-21	2021-10-05		N	user02	2021-10-04
DJ20210300003	user10	2021-09-21	2021-10-05		N	user07	2021-10-01
DJ20214300001	user09	2021-09-21	2021-10-05		N	user08	2021-10-03
DJ20190300046	user07	2021-09-21	2021-10-05		N	user05	2021-10-03
DJ20190300038	user06	2021-09-21	2021-10-04		N		
DJ20197300004	user03	2021-09-27	2021-10-11		N		
DJ20197700043	user01	2021-09-28	2021-10-12		N		
DJ20214400001	user03	2021-09-28	2021-10-12		N		
DJ20214700001	user03	2021-09-28	2021-10-12		N		
DJ20199300003	user01	2021-10-01	2021-10-15		N		
DJ20210500006	user03	2021-10-01	2021-10-15		N	user08	2021-10-03
DJ20191300003	user05	2021-10-01	2021-10-15		N		
DJ20191300004	user05	2021-10-01	2021-10-15		N		
DJ20210500008	user10	2021-10-01	2021-10-15		N		
DJ20191300009	user07	2021-10-01	2021-10-15		N		
DJ20190300044	user07	2021-10-01	2021-10-15		N		
DJ20191500004	user06	2021-10-01	2021-10-15		N		
DJ20190300039	user06	2021-10-01	2021-10-15		N		
DJ20197700044	user01	2021-10-02	2021-10-16		N		
DJ20214400002	user04	2021-10-02	2021-10-16		N		
DJ20214700002	user04	2021-10-02	2021-10-16		N		
DJ20194400002	user04	2021-10-02	2021-10-16		N		
DJ20210300035	user09	2021-10-02	2021-10-16		N		
DJ20210300036	user09	2021-10-02	2021-10-16		N		
DJ20210400001	user07	2021-10-02	2021-10-16		N		
DJ20210300020	user07	2021-10-02	2021-10-16		N		
DJ20210300006	user10	2021-10-03	2021-10-17		N		
